"herocard.passive_skill.description.addmana.all.allies","Semua sekutu mendapat sedikit mana."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","Karakter ini menerima {POWER} peningkatan kesehatan setiap kali genjotan dienyahkan dari karakter ini. Efek ini hanya bisa diaktifkan sekali per giliran."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","Setiap pukulan dari Antek yang dimiliki karakter ini menimbulkan {DAMAGE} kerusakan Beku selama {TURNS} giliran"
"herocard.passive_skill.description.effectonheal.addmana","Karakter ini menerima mana {POWER}% tiap kali kesehatannya pulih."
"herocard.passive_skill.description.effectonheal.heal","Karakter ini menerima kesehatan {POWER}% tiap kali kesehatannya pulih."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","Karakter ini menerima kesehatan {POWER}% tiap kali kesehatannya pulih."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Karakter ini mendapat {HEALTHBOOST}% peningkatan kesehatan dan {MANA}% mana jika berhasil menampik."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Karakter ini meraih {POWER}% mana setiap kali musuh merapal Keahlian Khusus yang secara langsung meningkatkan kesehatan."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","Karakter ini meraih {POWER} peningkatan kesehatan setiap kali musuh merapal Keahlian Khusus yang secara langsung meningkatkan kesehatan."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","Peluang {CHANCE}% untuk melakukan aksi berikut ketika karakter menggunakan Keahlian Khusus:"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","Saat karakter ini mencetak pukulan kritis dengan Keahlian Khusus, dia membersihkan status pelemahan terbaru yang bisa dibersihkan dari semua sekutu."
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.only_criticals.once","Saat karakter ini mencetak pukulan kritis dengan Keahlian Khusus, dia membersihkan status pelemahan terbaru yang bisa dibersihkan dari semua sekutu. Efek ini dapat diaktifkan sekali per giliran."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","Saat karakter ini mencetak pukulan kritis dengan Keahlian Khusus, kesehatan semua sekutunya meningkat {HEALTHBOOST}%."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals.once","Saat karakter ini mencetak pukulan kritis dengan Keahlian Khusus, kesehatan semua sekutunya meningkat {HEALTHBOOST}%. Efek ini bisa diaktifkan sekali per giliran."
"herocard.passive_skill.description.effectonspecialskilldamagedonebasedonhealthdifference.healthboost.once.effectonspecialskilldamagereceivedbasedonhealthdifference.addmana.once"," Saat Keahlian Khusus karakter ini mengenai karakter dengan HP saat ini yang lebih tinggi, meraih {PASSIVESKILL1HEALTHBOOST}% peningkatan kesehatan.
 Saat karakter ini terkena Keahlian Khusus dari karakter dengan HP saat ini lebih tinggi, meraih {PASSIVESKILL2MANA}% mana.
Setiap efek ini dapat dikatifkan sekali per giliran."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","Saat karakter ini mencetak pukulan kritis dengan Keahlian Khusus, kesehatan semua sekutunya meningkat {HEALTHBOOST}%"
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","Saat musuh merapal Keahlian Khusus, karakter ini berpeluang {CHANCE}% untuk meningkatkan kesehatan karakter ini sebesar {HEALTHBOOST}."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","Saat karakter ini merapal Keahlian Khususnya, karakter ini berpeluang {CHANCE}% untuk memberikan {POWER}% mana kepada semua sekutu. Jika Keahlian Khusus terisi penuh, peluangnya {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","Saat karakter ini merapal Keahlian Khususnya, karakter ini berpeluang {CHANCE}% untuk memberikan {POWER}% mana kepada semua sekutu yang bukan elemen Es. Jika Keahlian Khusus terisi penuh, peluangnya {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","Saat karakter ini merapal Keahlian Khusus, dia mengenyahkan genjotan efek status terbaru dari semua musuh."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","Saat karakter ini merapal Keahlian Khusus, dia membersihkan status pelemahan terbaru dari semua sekutu."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","Saat karakter ini merapal Keahlian Khususnya, karakter ini berpeluang {CHANCE}% untuk menimbulkan {POWER}% kerusakan kepada semua musuh. Jika Keahlian Khusus terisi penuh, peluangnya {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","Saat karakter ini merapal Keahlian Khususnya, karakter ini berpeluang {CHANCE}% untuk menimbulkan {POWER}% kerusakan kepada semua musuh yang bukan elemen Gelap. Jika Keahlian Khusus terisi penuh, peluangnya {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","Saat karakter ini merapal Keahlian Khususnya, karakter ini berpeluang {CHANCE}% untuk menimbulkan {POWER}% kerusakan kepada semua musuh yang bukan elemen Api. Jika Keahlian Khusus terisi penuh, peluangnya {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","Saat karakter ini merapal Keahlian Khususnya, karakter ini berpeluang {CHANCE}% untukmemulihkan {POWER}% kesehatan semua sekutu. Jika Keahlian Khusus terisi penuh, peluangnya {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","Saat karakter ini merapal Keahlian Khususnya, karakter ini berpeluang {CHANCE}% untukmemulihkan {POWER}% kesehatan semua sekutu yang bukan elemen Alam. Jika Keahlian Khusus terisi penuh, peluangnya {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","Saat karakter ini merapal Keahlian Khususnya, karakter ini berpeluang {CHANCE}% untukmemulihkan {POWER}% kesehatan semua sekutu yang bukan elemen Api. Jika Keahlian Khusus terisi penuh, peluangnya {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","Saat karakter ini merapal Keahlian Khususnya, karakter ini berpeluang {CHANCE}% untukmemulihkan {POWER}% kesehatan semua sekutu yang bukan elemen Suci. Jika Keahlian Khusus terisi penuh, peluangnya {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","Saat karakter ini merapal Keahlian Khusus, kesehatan semua sekutunya meningkat  {POWER}%."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","Jika musuh dengan kecepatan mana Rata-rata atau lebih cepat merapal Keahlian Khusus, semua musuh menderita {DAMAGE} kerusakan. Efek ini hanya bisa diaktifkan sekali per giliran."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Setiap kali musuh terkena efek status Ejek, mana karakter ini akan ditingkatkan sebanyak {POWER}%."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Karakter ini meraih{POWER}% mana saat musuh menerima genjotan efek status yang memengaruhi pertahanan. Efek ini hanya bisa diaktifkan sekali per giliran."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","Karakter ini meraih {POWER}% mana saat dia menerima genjotan atau tumpukan positif."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","Karakter ini meraih {POWER}% mana saat dia menerima status pelemahan atau tumpukan negatif."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","Kesehatan karakter ini pulih {POWER}% Saat Menerima genjotan atau tumpukan positif."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","Kesehatan karakter ini pulih {POWER}% Saat Menerima status pelemahan atau tumpukan negatif."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","Kesehatan karakter ini pulih {POWER} HP ketika mereka menerima status pelemahan atau tumpukan negatif."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","Karakter ini berpeluang {CHANCE}% untuk meraih {POWER}% mana Saat Menerima genjotan atau tumpukan positif."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","Karakter ini berpeluang {CHANCE}% untuk memulihkan kesehatan {POWER}% Saat Menerima genjotan atau tumpukan positif."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","Karakter ini berpeluang {CHANCE}% untuk memulihkan kesehatan {POWER}% Saat Menerima genjotan atau tumpukan positif."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","Setiap {TURNS} giliran, membangkitkan semua sekutu terdekat yang kalah dengan {POWER}% HP."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","Mendapatkan sejumlah kecil mana untuk setiap genjotan efek status aktif milik tim musuh di awal setiap giliran (maksimum {MAXSTATUSEFFECTCOUNT} genjotan)."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","Meningkatkan kesehatan karakter ini dan sekutu terdekat sebesar {INCREMENTPERSTATUSEFFECT1}% untuk setiap musuh yang terkena Racun di awal setiap giliran. Kesehatan yang ditingkatkan bisa melampaui HP maksimal"
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Saat Antek dipanggil ke sekutu mana pun, karakter ini meraih {POWER}% mana. Efek ini hanya dapat diaktifkan sekali per giliran."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Saat Antek dipanggil ke sekutu mana pun, karakter ini mendapat {HEALTH}% kesehatan dan {MANA}% mana. Efek ini hanya dapat diaktifkan sekali per giliran."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Saat Iblis dipanggil ke musuh mana pun, karakter ini meraih {POWER}% mana. Efek ini hanya dapat diaktifkan sekali per giliran."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","Saat Iblis dipanggil ke musuh mana pun, karakter ini memberikan {DAMAGE}% kerusakan pada semua musuh. Efek ini hanya dapat diaktifkan sekali per giliran."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","Saat Iblis dipanggil ke musuh mana pun, karakter ini meraih {POWER} peningkatan kesehatan. Efek ini hanya dapat diaktifkan sekali per giliran."
"herocard.passive_skill.description.extraactionsafterspecial","{CHANCE}% peluang untuk melakukan aksi tambahan ketika karakter menggunakan Keahlian Khusus."
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","Semua Antek musuh memiliki akurasi {MINIONMODIFIER}%.
Semua Antek Mega musuh memiliki akurasi {MEGAMINIONMODIFIER}%."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","Inti Konstruksi karakter ini adalah Inti Antek.

Inti Antek aktif setiap kali Keahlian Khusus karakter ini dirapal:

 Dengan Inti Antek  yang terisi penuh, memanggil Antek Bot Pembunuh dengan {FAMILIARHEALTHPERCENT}% HP dan serangan {FAMILIARATTACK}% yang diwarisi dari perapal pada semua sekutu.
 HP dan serangan yang diwarisi dari perapal diskalakan berdasarkan jumlah muatan di Inti. Semua muatan akan habis saat Inti diaktifkan.
 Sebelum Antek Bot Pembunuh mengenai sasaran, ia menghancurkan semua Antek sasaran dan merusak Antek Mega."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","Antek Mega musuh memiliki {HEALTHMODIFIER}% HP."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","Antek musuh memiliki {HEALTHMODIFIER}% HP."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","Antek Mega musuh tidak bisa menyerang atau menggunakan keahlian."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","Antek musuh tidak bisa menyerang atau menggunakan keahlian."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","Karakter ini meraih {POWER}% mana setiap kali musuh mengalami kerusakan Beku."
"herocard.passive_skill.description.growth","Serangan dasar dan pertahanan dasar Pahlawan ini bertambah {STATINCREASE} setiap giliran selama {MAXACTIVATIONCOUNT} giliran."
"herocard.passive_skill.description.guaranteedeffectonspecial","Saat karakter ini merapal Keahlian Khususnya, setiap Keahlian Pasifnya yang memberikan efek ekstra pada perapalan dijamin akan aktif."
"herocard.passive_skill.description.heal.all.allies","Memulihkan kesehatan {HEALTH}% untuk semua sekutu."
"herocard.passive_skill.description.healmodifier","Tambahan {HEALMULTIPLIER}% untuk setiap penyembuhan yang diterima."
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","Semua musuh mendapat {HEALMULTIPLIER}% penyembuhan."
"herocard.passive_skill.description.healmodifier.decrease","Pengurangan {HEALMULTIPLIER}% untuk setiap penyembuhan yang diterima."
"herocard.passive_skill.description.healonheal.can_stack.heal","Karakter ini menerima kesehatan {POWER}% tiap kali kesehatannya pulih."
"herocard.passive_skill.description.healonownfamiliardeath.minion","Kesehatan karakter ini pulih {HEALTH} saat Antek miliknya dihancurkan."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","Peningkatan kesehatan karakter ini pulih {HEALTH} saat Antek miliknya dihancurkan."
"herocard.passive_skill.description.healthboost.all.allies","Meningkatkan kesehatan semua sekutu sebesar {HEALTHBOOST}%. Kesehatan yang ditingkatkan dapat melebihi HP maksimal"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","Di awal setiap pertempuran, serangan karakter ini naik sebesar {ATTACK}% untuk setiap musuh yang bukan elemen Alam. Dalam pertempuran dengan banyak gelombang, efeknya diperbarui di awal setiap gelombang."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","Serangan karakter ini naik sebesar {ATTACK}% untuk setiap musuh yang selamat yang bukan elemen Alam. Efeknya diperbarui di awal setiap gelombang. (Saat ini: {CURRENTMODIFIER}%)"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","Di awal setiap pertempuran, serangan karakter ini naik sebesar {ATTACK}% untuk setiap musuh yang bukan berelemen Api. Dalam pertempuran dengan banyak gelombang, efeknya diperbarui di awal setiap gelombang."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","Serangan karakter ini naik sebesar {ATTACK}% untuk setiap musuh yang selamat yang bukan elemen Api. Efeknya diperbarui di awal setiap gelombang. (Saat ini: {CURRENTMODIFIER}%)"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","Menimbulkan kerusakan {DAMAGEMULTIPLIER}% lebih banyak terhadap Antek."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","Karakter ini menimbulkan kerusakan {DAMAGEMULTIPLIER}% terhadap Antek dan Antek Mega."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","Pukulan dari Keahlian Khusus karakter ini memiliki {POWERADDITION}% kekuatan tambahan jika sasaran memiliki Ejek."
"herocard.passive_skill.description.increasespecialdamage","{MAXACTIVATIONCOUNT} kali pertama saat karakter ini merapal Keahlian Khusus yang menimbulkan kerusakan, ada tambahan {POWERADDITION}% untuk kekuatannya."
"herocard.passive_skill.description.increasespecialdamage.usable_once","Pertama kalinya karakter ini merapal Keahlian Khusus yang menimbulkan kerusakan, ada tambahan {POWERADDITION}% untuk kekuatannya."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","Setiap kali karakter ini merapal Keahlian Khusus yang menimbulkan kerusakan, ada tambahan {POWERADDITION}% untuk kekuatannya."
"herocard.passive_skill.description.insanitydamagereduction","Semua kerusakan yang diterima karakter ini berkurang {DAMAGEREDUCTION}% per {DISPLAYSCALE} Kegilaan bagi karakter ini hingga pengurangan maksimal sebesar {MAXDAMAGEREDUCTION}%."
"herocard.passive_skill.description.iterateeffectonspecial","Saat karakter ini merapal Keahlian Khususnya, setiap Keahlian Pasifnya yang memberikan efek ekstra pada perapalan memiliki {APPLYCOUNT} peluang untuk diaktifkan."
"herocard.passive_skill.description.league.featured_family","Pahlawan ini adalah bagian dari keluarga Unggulan!"
"herocard.passive_skill.description.league.non_featured_family","Pahlawan ini bukan bagian dari keluarga Unggulan!"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","Akurasi {POWERMULTIPLIER}% melawan Pahlawan dari keluarga Unggulan."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","Penyembuhan yang memengaruhi anggota keluarga Unggulan memiliki efektivitas {POWERMULTIPLIER}%."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","{POWERMULTIPLIER}% kerusakan diterima dari keluarga non-Unggulan."
"herocard.passive_skill.description.manadebuffprotection","Semua status pelemahan dan tumpukan negatif yang memengaruhi generasi mana akan digantikan oleh {MANAREGEN}% efek status generasi mana selama {TURNS} giliran. Tidak berlaku untuk status pelemahan yang menghentikan generasi mana atau mencuri mana."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","Mengurangi mana yang ditambahkan oleh keahlian khusus sebanyak {MODIFIER}%. Semua musuh dalam pertempuran akan terkena efek ini."
"herocard.passive_skill.description.managenerationmodifier.none","Generasi mana {MODIFIER}%."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","Karakter ini menerima sedikit mana saat Antek miliknya dihancurkan."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","Karakter ini memiliki keahlian bawaan untuk Menghafal setiap Antek atau Iblis yang dipanggil oleh Keahlian Khusus musuh. Antek dan Iblis terbaru yang dipanggil musuh akan tetap dihafal sampai Keahlian Khusus dirapal."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","Karakter ini memiliki keahlian bawaan untuk Menghafal setiap Antek atau Iblis yang dipanggil oleh Keahlian Khusus musuh. {0} Antek dan Iblis terbaru yang dipanggil musuh akan tetap dihafal sampai Keahlian Khusus dirapal."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","Karakter ini memiliki keahlian bawaan untuk Menghafal setiap Antek atau Iblis yang dipanggil oleh Keahlian Khusus musuh. {0} Antek dan Iblis terbaru yang dipanggil musuh akan tetap dihafal sampai Keahlian Khusus dirapal."
