"specials.name.a_cozy_break","استراحة مريحة"
"specials.name.atlantean_blade","سيف أطلنطي"
"specials.name.atlantean_blade_costume","نصل أطلنطي"
"specials.name.atlantean_charge","هجوم أطلنطي"
"specials.name.atlantean_toon_spear","الرمح الأطلنطي الكرتوني"
"specials.name.atlantean_toon_sword","السيف الأطلنطي الكرتوني"
"specials.name.attack_rally","تجمّع الهجوم"
"specials.name.aura_of_the_fiery_lion","هالة الأسد الناري"
"specials.name.aura_of_twilight","هالة الغسق"
"specials.name.aura_wave","موجة الهالة"
"specials.name.autumnal_wind","رياح الخريف"
"specials.name.avenger_of_mothkind","منتقم موثكيند"
"specials.name.awaken_ki","كاي المستيقظ"
"specials.name.awe_bolt","صعقة سامّة"
"specials.name.axe_of_retribution","فأس العقاب"
"specials.name.axe_throw","رمي الفأس"
"specials.name.azurelight_greatsword","سيف الضوء الأزرق العظيم"
"specials.name.backstab","طعنة خلفية"
"specials.name.bad_fortune","سوء الحظ"
"specials.name.bag_of_necessities","حقيبة الاحتياجات"
"specials.name.bagh_nakh_thrust","باغ ناخ ثرست"
"specials.name.bakers_baguettes","باجيت الخباز"
"specials.name.balanced_teamwork","العمل الجماعي المتوازن"
"specials.name.ballad_of_attraction","أغنية الانجذاب"
"specials.name.ballad_of_condemnation","أغنية الإدانة"
"specials.name.ballad_of_obsession","أغنية الهوس"
"specials.name.ballad_of_pain","أغنية الألم"
"specials.name.ballad_of_passion","أغنية الشغف"
"specials.name.ballad_of_purple_swan","أغنية البجعة السوداء"
"specials.name.ballad_of_restoration","أغنية الإصلاح"
"specials.name.ballad_of_the_purple_swan","أغنية البجعة السوداء"
"specials.name.bandalore_dance","رقصة باندالور"
"specials.name.barb_sting_dragon_pve","وخز النصل"
"specials.name.barbed_arrows","أسهم شائكة"
"specials.name.barbed_bolt_zidane","المسامير الشائكة"
"specials.name.bark_of_protection","لحاء الحماية"
"specials.name.basilisk_breath","نفخة الباسيليسك"
"specials.name.battering_ram","رأس الكبش"
"specials.name.battle_boast","تفاخر بالمعركة"
"specials.name.battleclaw_strike","ضربة مخلب المعركة"
"specials.name.beach_party","حفلة الشاطئ"
"specials.name.beautiful_petals","البتلات الجميلة"
"specials.name.bee_bombast","كلام نحلة المنمق"
"specials.name.bee_bravado","النحلة برافادو"
"specials.name.beetle_strike","ضربة الخنفساء"
"specials.name.berserker_strike","ضربة البرسركي"
"specials.name.bewildering_riddle","اللغز المحير"
"specials.name.bewitched_daggers","الخناجر المسحورة"
"specials.name.bewitching_blast","الانفجار الساحر"
"specials.name.binding_contract","عقد ربط"
"specials.name.birch_blessing","مباركة شجر البتولا"
"specials.name.bite_of_protection","عضة الحماية"
"specials.name.bites_of_disorientation","عضات التشويش"
"specials.name.bitter_berry_blast_dragon_pve","انفجار التوت المر"
"specials.name.bitter_wilting","ذبول مرير"
"specials.name.bizarre_mist","الضباب الغريب"
"specials.name.black_tassel_spear_sting","لدغة رمح الحبل الأسود"
"specials.name.black_tide","الجزر الأسود"
"specials.name.blade_barrage","صدّ النصل"
"specials.name.blade_dance","نصال صالة الرقص"
"specials.name.blade_of_betrayal","نصل الخيانة"
"specials.name.blade_of_bundelkhand","نصل بانديلخاند"
"specials.name.blade_of_horrid_affliction","نصل المعاناة الرهيبة"
"specials.name.blade_tail_swipe","خدش طرف النصل"
"specials.name.blade_venom","أنصال السم"
"specials.name.blade_wings","الأجنحة الحادة"
"specials.name.blazing_beak","منقار ملتهب"
"specials.name.blazing_corolla","الزهرة المتقدة"
"specials.name.blazing_inferno","الجحيم المستعر"
"specials.name.blazing_matchstick","عود الثقاب المتوهج"
"specials.name.blazing_rave_dance","الرقصة المشتعلة"
"specials.name.blazing_slam_dunk","الضربة القاضية الحارقة"
"specials.name.blazing_venom","السم الحارق"
"specials.name.bleed_inducing_daggers","خناجر تحفز النزيف"
"specials.name.bleeding_edge","الحافة الدامية"
"specials.name.bleeding_hammer","المطرقة الدامية"
"specials.name.bleeding_stab","طعنة دامية"
"specials.name.bleeding_thrust","الدفعة الدامية"
"specials.name.blessed_blade","الأنصال المباركة"
"specials.name.blessed_blade_pve","الأنصال المباركة"
"specials.name.blessed_brew","شراب مبارك"
"specials.name.blessed_solo","الانفراد المبارك"
"specials.name.blessed_tankard","تانكارد مبارك"
"specials.name.blessing_from_the_future","مباركة من المستقبل"
"specials.name.blessing_of_gjallarhorn","مباركة غيالارهورن"
"specials.name.blessing_of_the_evergrove","مباركة من البستان الأبدي"
"specials.name.blessing_of_the_skies","مباركة من السماوات"
"specials.name.blind_rage","الغضب الأعمى"
"specials.name.blinding_attack","هجوم مُعمي"
"specials.name.blinding_curse","لعنة تُعمي"
"specials.name.blinding_flash","ومضة معمية"
"specials.name.blinding_flash_s4","ومضة معمية"
"specials.name.blinding_injustice","ظلم أعمى"
"specials.name.blinding_knowledge","المعرفة المسببة للعمى"
"specials.name.blinding_light","الضوء الباهر"
"specials.name.blinding_orb","المدار الباهر"
"specials.name.blinding_pounce","الاقتناص الباهر"
"specials.name.blinding_spell","تعويذة العمى"
"specials.name.blinding_spit","البصاق المُعمي"
"specials.name.blinding_stinger","اللاذع الباهر"
"specials.name.blinding_strike","ضربة العمى"
"specials.name.blinding_wisdom","الحكمة المسببة للعمى"
"specials.name.blizzard","عاصفة ثلجية"
"specials.name.blizzard_roar","دويّ العاصفة الثلجية"
"specials.name.blob_of_fury","كرة الغضب"
"specials.name.blood_illusion","وهم الدم"
"specials.name.blood_petals_of_the_withered","بتلات الدم"
"specials.name.blood_sacrifice","ضربة دامية"
"specials.name.bloodthirst","التعطش للدماء"
"specials.name.blooming_growth","النمو المتوهج"
"specials.name.bludgeoning","الضرب بالهراوة"
"specials.name.blue_lizard_charge","هجوم سحالي تمويه زرقاء"
"specials.name.blue_shroom_wand","عصا الشروم الزرقاء"
"specials.name.blur_of_steel","بقعة الفولاذ"
"specials.name.blur_of_steel_pve","بقعة الفولاذ"
"specials.name.boar_call","نداء الخنزير البري"
"specials.name.boar_charge","شحنة الخنزير"
"specials.name.boar_of_fury","خنزير الغضب"
"specials.name.boat_ride_from_the_beyond","سفينة من العالم الآخر"
"specials.name.bobo_blitz","هجوم بوب الخاطف"
"specials.name.bolstering_rush","هجوم الدعم"
"specials.name.bond_of_avarice","رابطة الجشع"
"specials.name.bone_arrow","سهم عظمي"
"specials.name.bone_club_clonk","طنين مجموعة العظام"
"specials.name.bone_club_party","حفلة العصا العظمية"
"specials.name.bone_ritual","طقوس عظمية"
"specials.name.bone_slam","سلايم عظمي"
"specials.name.bone_toss","العظام الطائرة"
"specials.name.booming_mend","الإصلاح المنفجر"
"specials.name.boon_of_gjallarhorn","هبة بوق غيالارهورن"
"specials.name.boopstrike","بوبسترايك"
"specials.name.boreal_bash","ضربة بورييل"
"specials.name.boulder_smash","تحطيم صاخب"
"specials.name.bound_by_knowledge","مقيّد بالمعرفة"
"specials.name.bound_by_tales","مقدر له الحكايات"
"specials.name.bounty_of_the_spring","مكافأة الربيع"
"specials.name.bouquet_of_the_seas","باقة البحار"
"specials.name.brain_link","وصلة العقل"
"specials.name.brand_of_reckoning","علامة الحساب"
"specials.name.branded_by_fire","بوسم النار"
"specials.name.break_free","التحرر"
"specials.name.break_strike","تصدّي الضربة"
"specials.name.breaker_blade","نصل المخترق"
"specials.name.breaker_blade_pve","نصل المخترق"
"specials.name.breath_of_darkness","نفس الظلام"
"specials.name.breath_of_life","نفس الحياة"
"specials.name.breath_of_the_abyss","نفس الهوة"
"specials.name.brew_of_the_centaurs","مَشروب القنطورات"
"specials.name.brides_kiss","قبلة العروس"
"specials.name.brilliant_brew","مشروب رائع"
"specials.name.brilliant_sweep_dragon_pve","الاجتياح العبقري"
"specials.name.bringer_of_order","جالب النظام"
"specials.name.brittling_burst","الانفجار المتقلقل"
"specials.name.brittling_force","القوة الساحقة"
"specials.name.brittling_strike","الضربة الساحقة"
"specials.name.bruiser_bros","الملاكمون"
"specials.name.brutal_bull_rush","اندفاع الثور الوحشي"
"specials.name.brutal_support","دعم وحشي"
"specials.name.buccaneers_blade","نصل القراصنة"
"specials.name.bugs_shell","قوقعة الحشرة"
"specials.name.building_blocks_bulklug","مكعبات بناء"
"specials.name.bulwark_charge","هجوم المعقل"
"specials.name.burning_ashes","الرماد المحترق"
"specials.name.burning_ashes2","الرماد المحترق"
"specials.name.burning_chains","سلاسل محترقة"
"specials.name.burning_claws_dragon_pve","مخالب حارقة"
"specials.name.burning_javelin","الرمح المشتعل"
"specials.name.burning_pollen_dragon_pve","أجنحة اللهب"
"specials.name.burning_shields","الدروع المحترقة"
"specials.name.burning_spin","اللفة الحارقة"
"specials.name.burning_strike","ضربة حارقة"
"specials.name.burning_thread","الحبل الحارق"
"specials.name.burning_wok","المقلاة الحارقة"
"specials.name.but_a_scratch","مجرد خدش"
"specials.name.butterfly_swarm","سرب الفراشات"
"specials.name.cabbage_barrage","حاجز الكرنب"
"specials.name.calcifying_breath","النَفَس المكلس"
"specials.name.call_of_the_elements","نداء العناصر"
"specials.name.call_to_arms","دعوة لحمل السلاح"
"specials.name.calling_the_bluff","إثبات الصدق"
"specials.name.calm_jab_dragon_pve","اللكمة الهادئة"
"specials.name.calming_mist","ضباب مهدئ"
"specials.name.camouflage_foliage","أوراق التمويه"
"specials.name.candy_vines","كرمة السكاكر"
"specials.name.cannibalizing_munch","افتراس آكل اللحوم"
"specials.name.cannon_blast","انفجار المدفع"
"specials.name.cannonball_splash","دفقة قذيفة المدفع"
"specials.name.capsicum_charge","هجوم الفليفلة"
"specials.name.captains_cutlass","سيف القبطان المقوس"
"specials.name.captivating_illusions","أوهام ساحرة"
"specials.name.carnivore_garden","البستان اللاحم"
"specials.name.carve_a_hole","نحت حفرة"
"specials.name.carve_the_bones","نحت العظام"
"specials.name.cascading_darkness","الظلام المتتالي"
"specials.name.cascading_whirlwind","زوبعة متتالية"
"specials.name.cataclysmic_divination","تكهن مدمر"
"specials.name.catnip_fury","غضب كاتنيب"
"specials.name.caught_and_vicious","المصيدة والشراسة"
"specials.name.cauterizing_flame","شعلة الكي"
"specials.name.cauterizing_touch","لمسة الكي"
"specials.name.cavalier_hat_of_dark_realm","قبعة الفارس من العالم المظلم"
"specials.name.celestial_anvil","سندان سماوي"
"specials.name.celestial_balance","التوازن السماوي"
"specials.name.ceremonial_dance","رقصة احتفالية"
"specials.name.ceremonial_katar","الخنجر الهندي الطقسي"
"specials.name.chain_blasm_strike","ضربة انفجار السلسلة"
"specials.name.chain_lightning","برق متسلسل"
"specials.name.chain_of_pain","سلسلة الألم"
"specials.name.chain_strike","ضربة متسلسلة"
"specials.name.chains_of_legion","سلاسل الفيلق"
"specials.name.chains_of_light","سلاسل النور"
"specials.name.chakram_kick","ركلة شاكرام"
"specials.name.challenge_the_strongest","تحدي الأقوى"
"specials.name.champagne_hammer","مطرقة زجاجة"
"specials.name.champion_maneuver","مناورة البطل"
"specials.name.championship_carrot","جزر البطولة"
"specials.name.change_stance","شطب المراهن"
"specials.name.channel_ki","كاي القناة"
"specials.name.channeler_of_the_cats","وسيط القطط"
"specials.name.channeler_of_the_gods","وسيط الأسياد"
"specials.name.chaos_bolt_volley","رشقة الفوضى"
"specials.name.chaos_venom","سم الفوضى"
"specials.name.charged_fireball_dragon_pve","كرة نارية مندفعة"
"specials.name.charm_of_protection","تعويذة الحماية"
"specials.name.charmed_dual_blade","النصل المزدوج المسحور"
"specials.name.charmers_blades","نصال الفاتن"
"specials.name.cheerful_charm","سحر مبهج"
"specials.name.cheese_wheel_rampage","جنون عجلة الجبن"
"specials.name.cherry_pudding_served","تقديم بودينغ الكرز!"
"specials.name.chieftains_vengeance","انتقام الزعيم"
"specials.name.chilling_counterattack","هجوم الصقيع المضاد"
"specials.name.chilling_slash","شطب مخيف"
"specials.name.chitin_cage","قفص كايتن"
"specials.name.chords_of_distortion","أحبال التشويه"
"specials.name.chords_of_havoc","أحبال الخراب"
"specials.name.chords_of_inferno","أوتار الجحيم"
"specials.name.claw_power","غضب الجنّ"
"specials.name.claw_swipe","خدش من المخالب"
"specials.name.claws_of_fury","مخالب الغضب"
"specials.name.claws_of_the_hunter","مخالب الصياد"
"specials.name.claws_of_the_lioness","مخالب اللبؤة"
"specials.name.claws_of_the_night","مخالب الليل"
"specials.name.claws_of_the_night_ultimate_boss","مخالب الليل"
"specials.name.claws_of_the_north","مخالب الشمال"
"specials.name.cleansing_determination","إصرار التطهير"
"specials.name.cleansing_determination_pve","إصرار التطهير"
"specials.name.cleansing_strike","ضربة مطهّرة"
"specials.name.cleave_and_reflect","التشبث والعكس"
"specials.name.cleave_counter","فرّق تسُد"
"specials.name.clever_stratagem","إستراتيجية ذكية"
"specials.name.cloak_of_feathers","عباءة الريش"
"specials.name.close_order_formation","تشكيل محكم"
"specials.name.cloth_of_constellations","رداء مجموعة النجوم"
"specials.name.cloud_axe","فأس الغيمة"
"specials.name.cloud_hammer","مطرقة الغيوم"
"specials.name.clowns_blessing","مباركة المهرج"
"specials.name.coastal_recharge","إعادة الشحن الساحلي"
"specials.name.coiling_whip","سوط ملفوف"
"specials.name.coins_of_pain","عملات الألم"
"specials.name.cold_blast","عاصفة ثلجية"
"specials.name.cold_blast_single","انفجار بارد"
"specials.name.cold_command","قائد البرد"
"specials.name.cold_fire","النار الباردة"
"specials.name.colossal_bite","العضة الهائلة"
"specials.name.colossal_carry","الحمل الهائل"
"specials.name.colossal_chops","قطع ضخمة"
"specials.name.comet","الشعاع الحارق"
"specials.name.command_pack","قيادة المجموعة"
"specials.name.command_sand_golems","قيادة جولم الرمال"
"specials.name.command_to_advance","القيادة للتقدم"
"specials.name.command_to_advance_costume_fire_bat","أمر بالتقدم"
"specials.name.commanders_gauntlet","قفاز القائد"
"specials.name.commodores_malice","دهاء العميد"
"specials.name.commodores_revenge","انتقام العميد"
"specials.name.compact_lance","الحربة الملتزّة"
"specials.name.concussive_charge","هجوم ارتجاجي"
"specials.name.confident_strategy","إستراتيجية الثقة"
"specials.name.conjure_the_azure_spirit","استحضار الروح الزرقاء"
"specials.name.connect_ki","توصيل كاي"
"specials.name.connect_ki_pve","توصيل كاي"
"specials.name.conquerors_command","قيادة القاهر"
"specials.name.constellation_crush","الدمار النجمي"
"specials.name.corals_of_nourishment","مرجان التغذية"
"specials.name.core_beam","شعاع المركز"
"specials.name.core_blast","انفجار المركز"
"specials.name.core_burst","انفجار المركز"
"specials.name.corroding_cutlass","السيف المُتلف"
"specials.name.corrosive_acid","الحمض القارِض"
"specials.name.corrosive_burn_claws_dragon_pve","مخالب الاحتراق المدمر"
"specials.name.corrosive_claws_dragon_pve","مخالب السم المُتلفة"
"specials.name.corrosive_pollen","حبوب اللقاح المسببة للتآكل"
"specials.name.corrupting_idol","المحبوب الفاسد"
"specials.name.cosmic_clock","الساعة الكونية"
"specials.name.cosmic_devotion","الإخلاص الكوني"
"specials.name.cosmic_spirals","الدوامات الكونية"
"specials.name.countering_hammock","الأرجوحة المتقابلة"
"specials.name.counterstance","موقف مضاد"
"specials.name.couriers_dash","اندفاع الساعي"
"specials.name.cover_slam","هجوم الساتر"
"specials.name.covert_stab","طعنة لا ترحم"
"specials.name.cracked_skull_strike","ضربة الجمجمة المتصدعة"
"specials.name.crawling_vines","الكرمة الزاحفة"
"specials.name.crazed_lunge","الاندفاع الجنوني"
"specials.name.crazed_stampede","التناثر المجنون"
"specials.name.creative_hands","أيادٍ مبدعة"
"specials.name.creeping_venom","السم الزاحف"
"specials.name.creeping_vines","الكرمة الزاحفة"
"specials.name.crescent_moon_strike","ضربة الهلال"
"specials.name.crescent_shield","درع الهلال"
"specials.name.crescent_spear","رمح الهلال"
"specials.name.crimson_blade","النصل القرمزي"
"specials.name.crimson_calamity","الموت القرمزي"
"specials.name.crimson_calamity2","الموت القرمزي"
"specials.name.crimson_hunt","الصيد القرمزي"
"specials.name.crimson_trap","الفخ القرمزي"
"specials.name.crippling_claws","المخالب المدمرة"
"specials.name.crippling_claws_pve","المخالب المدمرة"
"specials.name.crippling_grapple","كُلاّب التقييد"
"specials.name.critical_cookout","الشواء الحاسم"
"specials.name.critical_tactics","التكتيكات الحاسمة"
"specials.name.croc_bite","عضة التمساح"
"specials.name.crush_of_avarice","سحقة الجشع"
"specials.name.crush_of_hel","سحقة هيل"
"specials.name.crush_of_malice","سحق الضغائن"
"specials.name.crush_of_toon_hel","سحقة هيل الكرتونية"
"specials.name.crushing_claws","المخالب الساحقة"
"specials.name.crushing_shot","طلقة ساحقة"
"specials.name.crust_of_divinity","القشرة المقدسة"
"specials.name.cry_for_absolution","صرخة الغفران"
"specials.name.crystal_barrage","الحاجز الكريستالي"
"specials.name.crystal_bombardment","قصف كريستالي"
"specials.name.crystal_embrace","جوف البلورة"
"specials.name.crystalis","بلورة التجميد"
"specials.name.crystalline_strike","الضربة البلورية"
"specials.name.cub_leader_cut","شق القائد الصغير"
"specials.name.cube_of_dark_realm","مكعب العالم المظلم"
"specials.name.cult_of_arachnid","طائفة العنكبوت"
"specials.name.cultivated_manipulation","التلاعب الاحترافي"
"specials.name.cunning_knife","سكين ماكر"
"specials.name.cup_of_mead","كوب الميد"
"specials.name.curing_venom","علاج السم"
"specials.name.curse_of_sargasso","لعنة سارغاسو"
"specials.name.curse_of_the_cephaloid","لعنة ذي الشكل الرأسي"
"specials.name.curse_of_the_depths","لعنة الأعماق"
"specials.name.curse_of_the_sea","لعنة البحار"
"specials.name.curse_of_the_specter","لعنة الشبح"
"specials.name.curse_of_the_specter_pve","لعنة الشبح"
"specials.name.cursed_fumes","الأبخرة الملعونة"
"specials.name.cursed_fumes2","الأبخرة الملعونة"
"specials.name.cursed_garden","حديقة ملعونة"
"specials.name.cursed_painting","لوحة ملعونة"
"specials.name.cursed_plan","خطة ملعونة"
"specials.name.cursed_strike","ضربة ملعونة"
"specials.name.cursed_tail_whip","سوط الذيل الملعون"
"specials.name.cut_cure_and_craze","قطع، وعلاج، وجنون"
"specials.name.cut_down_the_competition","القضاء على المنافسة"
"specials.name.cute_and_dangerous","لطيف وخطير"
"specials.name.cuts_of_hulu","قطعات هولو"
"specials.name.dagger_of_shadows","خنجر الظلال"
"specials.name.dance_of_fire","رقصة النار"
"specials.name.dance_of_flame","رقصة اللهب"
"specials.name.dance_of_glass","الرقصة الزجاجية"
"specials.name.dance_of_ignition","رقصة الاشتعال"
"specials.name.dance_of_siegfried","رقصة سيغفريد"
"specials.name.dance_of_spirits","رقصة الأرواح"
"specials.name.dance_of_the_dunes","رقصة الكثبان"
"specials.name.dance_of_the_heron","رقصة مالك الحزين"
"specials.name.dance_of_the_little_swan","رقصة البجعة الصغيرة"
"specials.name.dance_of_the_queen","رقصة الملكة"
"specials.name.dance_of_the_raven","رقصة البجعة السوداء"
"specials.name.dance_of_the_slimy","رقصة السلايم"
"specials.name.dance_of_the_swan","رقصة البجعة"
"specials.name.dance_of_the_yellow_swan","رقصة بجعة النور"
"specials.name.dance_of_toons","رقصة الكرتون"
"specials.name.dancestance","موقف الرقص"
"specials.name.dancing_dodge","المراوغة بالرقص"
"specials.name.dancing_slash","قطع متمائل"
"specials.name.dantes_inferno","جحيم دانتي"
"specials.name.dark_barrage","سد الظلام"
"specials.name.dark_bolt","صاعقة الظلام"
"specials.name.dark_lord","ضربة الهلاك"
"specials.name.dark_mirror","مرآة اللهب"
"specials.name.dark_orb","كرة الظلام"
"specials.name.dark_shock","صدمة الظلام"
"specials.name.darts_of_the_deep","سهام الأعماق"
"specials.name.dauntless_bladestorm","عاصفة النصال المهيبة"
"specials.name.dawn_strike","ضربة الفجر"
"specials.name.dawnlight_rally","تجمّع ضوء الفجر"
"specials.name.day_of_judgement","يوم الحكم"
"specials.name.day_of_reckoning","يوم الحساب"
"specials.name.dazzling_gleam","البريق الساطع"
"specials.name.dazzling_grin","الابتسامة الباهرة"
"specials.name.dazzling_sweep_dragon_pve","الاجتياح المذهل"
"specials.name.deadly_claw","المخلب القاتل"
"specials.name.deadly_constriction","الانقباض القاتل"
"specials.name.deadly_riposte","الرد القاتل"
"specials.name.deadly_sting","اللدغة المميتة"
"specials.name.deafening_parade","الموكب الصاخب"
"specials.name.deathly_glaive","السيف المميت"
"specials.name.deathstrike","ضربة الموت"
"specials.name.debt_drain_boboosang","استنزاف درين"
"specials.name.deceiving_glow","التوهج الخادع"
"specials.name.deceptive_smalltalk","لغو مخادع"
"specials.name.deep_sea_ritual","طقوس أعماق البحار"
"specials.name.defensive_tactics","استراتيجيات الدفاع"
"specials.name.delay_the_inevitable","تأجيل المحتوم"
"specials.name.delicious_demise","الهلاك الممتع"
"specials.name.delicious_idol","المحبوب اللذيذ"
"specials.name.demolishing_crush","السحق المدمر"
"specials.name.demoralizing_banter","مزحة محبطة"
"specials.name.depth_blast","انفجار الأعماق"
"specials.name.deranged_existence","الوجود المشوش"
"specials.name.desert_blessing","مباركة الصحراء"
"specials.name.desert_hunt","صيد الصحراء"
"specials.name.desert_trap","فخ الصحراء"
"specials.name.destined_curse","لعنة محتومة"
"specials.name.destructive_strike","اندفاع الرمح"
"specials.name.deteriorating_morale","الروح المعنوية المتدهورة"
"specials.name.devastating_slash","القطع المدمر"
"specials.name.devastating_thrust","الطعنة المدمرة"
"specials.name.dewling_strike","ضربة ديولينج"
"specials.name.dewling_sweep","اجتياح ديولينج"
