"herocard.passive_skill.description.addmana.all.allies","Все союзники получают небольшое количество маны."
"herocard.passive_skill.description.effectondamagedone.healthboost.all.allies.specialskill.only_criticals.once","Когда этот герой наносит критический удар своим особым навыком, он увеличивает здоровье всех союзников на {HEALTHBOOST} %. Эффект можно активировать один раз за ход."
"herocard.passive_skill.description.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill.single.allies.onceperturn","Когда особый навык этого героя наносит урон врагу с более высоким показателем текущего здоровья, герой получает {PASSIVESKILL1HEALTHBOOST} % увеличенного здоровья.
 Когда враг с более высоким показателем текущего здоровья наносит герою урон особым навыком, герой получает {PASSIVESKILL2POWER} % маны.
Каждый из этих эффектов можно активировать один раз за ход."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","Когда этот герой получает урон от особых навыков, он получает {POWER} % маны."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","Когда этот герой получает урон от особых навыков или обычных атак, ему дается немного маны (вплоть до {MAXMANAGAINPERTURN} % за один ход)."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","Когда этот герой получает урон от особого навыка или вместо героя под прикрытием, есть {CHANCE} % вероятности нанести {POWER} % полученного урона всем врагам."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","Когда этот герой получает урон от особого навыка, он получает складываемый эффект: +{STATUSEFFECT1ATTACK} % к атаке  (макс. скл. эффектов: {STATUSEFFECT1MAXSTACK}). За ход можно получить только один такой складываемый эффект."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","Когда этому герою наносят урон особым навыком, он получает складываемый эффект: +{STATUSEFFECT1ATTACK} % к атаке  (макс. скл. эффектов: {STATUSEFFECT1MAXSTACK}). За ход можно получить только один такой складываемый эффект."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Когда союзник пытается избавиться от недуга, используя особые навыки, все союзники получают {POWER} увеличенного здоровья. Эффект активируется только один раз за ход."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Когда враг пытается избавиться от недуга, используя особые навыки, все враги получают {POWER} урона. Эффект активируется только один раз за ход."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","Персонаж получает {POWER} % маны каждый раз, когда с него снимают усиление. Эффект срабатывает только один раз за ход."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Герой получает {POWER} % здоровья каждый раз, когда срок действия недуга истекает или его снимают с героя. Эффект срабатывает только один раз за ход."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","У героя есть {CHANCE} % шанса получить {POWER} % здоровья каждый раз, когда срок действия недуга истекает или его снимают с героя. Эффект срабатывает только один раз за ход."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","Персонаж получает {POWER} увеличенного здоровья каждый раз, когда с него снимают усиление. Эффект срабатывает только один раз за ход."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","Каждый удар принадлежащего этому персонажу прислужника наносит {DAMAGE} урона от обморожения в течение {TURNS} х."
"herocard.passive_skill.description.effectonheal.addmana","Этот герой получает {POWER} % маны каждый раз, когда его здоровье восстанавливается."
"herocard.passive_skill.description.effectonheal.heal","Этот герой получает {POWER} % здоровья каждый раз, когда его здоровье восстанавливается."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","Этот герой получает {POWER} % здоровья каждый раз, когда его здоровье восстанавливается."
"herocard.passive_skill.description.effectonownerdeath.damage.single.enemies.specialskill.targetattackerside","Если этот персонаж побежден особым навыком, происходит следующее:
Атакующий получает {DAMAGE} % урона.
Атакующий получает {STATUSEFFECT1DAMAGE} ед. урона от кровотечения в течение {TURNS} х."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","При успешном сопротивлении этот герой увеличивает свое здоровье на {HEALTHBOOST} % и получает {MANA} % маны."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Герой получает {POWER} % маны каждый раз, когда враг использует особый навык, прямо увеличивающий здоровье."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","Герой получает {POWER} увеличенного здоровья каждый раз, когда враг использует особый навык, прямо увеличивающий здоровье."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","{CHANCE} % шанса выполнить следующие действия, когда персонаж использует особый навык:"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","Когда этот герой наносит критический удар своим особым навыком, он безопасно очищает последний очищаемый недуг со всех союзников."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","Когда этот герой наносит критический удар своим особым навыком, он увеличивает здоровье всех союзников на {HEALTHBOOST} %."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","Когда этот герой наносит критический удар своим особым навыком, он увеличивает здоровье всех союзников на {HEALTHBOOST} %"
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_ally_action.does_not_activate_on_owner_action.damage.random.enemies.directeffect1_statuseffects.defensemodifier.always","Когда союзник использует особый навык:
 Этот персонаж наносит {POWER} % урона, а также дает {DIRECTEFFECT1STATUSEFFECT1DEFENSE} % защиты на {DIRECTEFFECT1STATUSEFFECT1TURNS} х. случайному врагу."
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","Когда враг использует особый навык, у этого героя есть шанс {CHANCE} % увеличить свое здоровье на {HEALTHBOOST}."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","При использовании особого навыка герой с вероятностью {CHANCE} % даст {POWER} % маны всем союзникам. Если особый навык полностью заряжен, вероятность {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","При использовании особого навыка герой с вероятностью {CHANCE} % даст {POWER} % маны всем союзникам, которые не относятся к стихии льда. Если особый навык полностью заряжен, вероятность {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","Когда герой использует свой особый навык, он снимает последнее усиление со всех врагов."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","Когда герой использует свой особый навык, он снимает последнее ослабление со всех союзников."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","При использовании особого навыка герой с вероятностью {CHANCE} % нанесет {POWER} % урона всем врагам. Если особый навык полностью заряжен, вероятность {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","При использовании особого навыка герой с вероятностью {CHANCE} % нанесет {POWER} % урона всем врагам, которые не относятся к стихии тьмы. Если особый навык полностью заряжен, вероятность {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","При использовании особого навыка герой с вероятностью {CHANCE} % нанесет {POWER} % урона всем врагам, которые не относятся к стихии огня. Если особый навык полностью заряжен, вероятность {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","При использовании особого навыка герой с вероятностью {CHANCE} % восстановит {POWER} % здоровья всем союзникам. Если особый навык полностью заряжен, вероятность {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","При использовании особого навыка герой с вероятностью {CHANCE} % восстановит {POWER} % здоровья всем союзникам, которые не относятся к стихии природы. Если особый навык полностью заряжен, вероятность {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","При использовании особого навыка герой с вероятностью {CHANCE} % восстановит {POWER} % здоровья всем союзникам, которые не относятся к стихии огня. Если особый навык полностью заряжен, вероятность {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","При использовании особого навыка герой с вероятностью {CHANCE} % восстановит {POWER} % здоровья всем союзникам, которые не относятся к стихии святыни. Если особый навык полностью заряжен, вероятность {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","Когда герой использует свой особый навык, он увеличивает здоровье всех союзников на {POWER} %."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","Если враг со средней или более высокой скоростью маны использует особый навык, все враги получают {DAMAGE} урона. Этот эффект можно активировать всего один раз за ход."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Каждый раз, когда враг получает статусный эффект ""Насмешка"", мана этого героя увеличивается на {POWER} %."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Этот герой получает {POWER} % маны, если враг получает усиление статуса, влияющее на защиту. Эффект активируется один раз за ход."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","При получении усилений или положительных эффектов этот персонаж накапливает {POWER} % маны."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","При получении недугов или отрицательных эффектов этот персонаж накапливает {POWER} % маны."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","Этот персонаж восстанавливает {POWER} % здоровья, когда получает усиление или положительный эффект."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","Этот персонаж восстанавливает {POWER} % здоровья, когда получает недуг или отрицательный эффект."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","Этот персонаж восстанавливает {POWER} ОЗ, когда получает недуг или отрицательный эффект."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","При получении усилений или положительных эффектов этот герой с вероятностью {CHANCE} % накопит {POWER} % маны."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","При получении усилений или положительных эффектов этот герой с вероятностью {CHANCE} % восстановит {POWER} % здоровья."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","При получении усилений или положительных эффектов этот герой с вероятностью {CHANCE} % восстановит {POWER} % здоровья."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","Каждые {TURNS} х. оживляет павших союзников поблизости, давая {POWER} % ОЗ."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","Получает небольшое количество маны за каждое активное усиление, которое есть у команды врага в начале каждого хода (максимум усилений: {MAXSTATUSEFFECTCOUNT})."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","Увеличивает здоровье героя и союзников поблизости на {INCREMENTPERSTATUSEFFECT1} % за каждого врага, зараженного ядом, в начале каждого хода. Увеличенное здоровье может быть больше, чем макс. ОЗ."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Если для любого союзника призван прислужник, герой получает {POWER} % маны. Эффект активируется один раз за ход."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Если для любого союзника призван прислужник, герой восстанавливает {HEALTH} % здоровья и {MANA} % маны. Эффект активируется один раз за ход."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Если для любого врага призван паразит, герой получает {POWER} % маны. Эффект активируется один раз за ход."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","Если для любого врага призван паразит, герой наносит {DAMAGE} % урона всем врагам. Эффект активируется один раз за ход."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","Если для любого врага призван паразит, герой получает {POWER} увеличенного здоровья. Эффект активируется один раз за ход."
"herocard.passive_skill.description.extraactionsafterspecial","{CHANCE} % шанса выполнить дополнительные действия, когда персонаж использует особый навык:"
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","Все вражеские прислужники имеют {MINIONMODIFIER} % меткости.
Все вражеские мегаприслужники имеют {MEGAMINIONMODIFIER} % меткости."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","Структурное ядро этого героя — ядро прислужников.

Ядро прислужников активируется каждый раз при использовании особого навыка героя:

 Полностью заряженное ядро прислужников призывает бота-убийцу с {FAMILIARHEALTHPERCENT} % ОЗ и {FAMILIARATTACK} % атаки героя для всех союзников.
 ОЗ и атака, получаемые от героя, зависят от заряда ядра. Весь заряд расходуется при активации ядра.
 До того, как бот-убийца атакует цель, он уничтожает всех прислужников цели и наносит урон мегаприслужникам."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always.temp.with.wither","Структурное ядро этого героя — ядро прислужников.

Ядро прислужников активируется каждый раз при использовании особого навыка героя:

 Полностью заряженное ядро прислужников призывает бота-убийцу с {FAMILIARHEALTHPERCENT} % ОЗ и {FAMILIARATTACK} % атаки героя для всех союзников.
 ОЗ и атака, получаемые от героя, зависят от заряда ядра. Весь заряд расходуется при активации ядра.
 До того, как бот-убийца атакует цель, он уничтожает всех прислужников цели и наносит урон мегаприслужникам.
 Увядание: Каждый удар бота-убийцы меняет атаку цели на {ATTACKMODIFIER}."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","Вражеские мегаприслужники получают {HEALTHMODIFIER} % ОЗ."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","Вражеские прислужники получают {HEALTHMODIFIER} % ОЗ."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","Мегаприслужники противника не могут атаковать или использовать способности."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","Прислужники противника не могут атаковать или использовать способности."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","Персонаж набирает {POWER} % маны, когда враг получает урон морозом."
"herocard.passive_skill.description.growth","Базовая атака и защита этого героя увеличиваются на {STATINCREASE} каждый ход в течение {MAXACTIVATIONCOUNT} ходов."
"herocard.passive_skill.description.guaranteedeffectonspecial","Когда этот герой использует особый навык, любой пассивный навык, дающий дополнительные эффекты при применении, непременно активируется."
"herocard.passive_skill.description.heal.all.allies","Восстанавливает {HEALTH} % здоровья всех героев."
"herocard.passive_skill.description.healmodifier","Все получаемое лечение увеличено на {HEALMULTIPLIER} %."
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","Все враги получают {HEALMULTIPLIER} % исцеления."
"herocard.passive_skill.description.healmodifier.decrease","Все получаемое лечение уменьшено на  {HEALMULTIPLIER} %."
"herocard.passive_skill.description.healonheal.can_stack.heal","Этот герой получает {POWER} % здоровья каждый раз, когда его здоровье восстанавливается."
"herocard.passive_skill.description.healonownfamiliardeath.minion","Персонаж восстанавливает {HEALTH} здоровья, если его прислужник уничтожен."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","Герой восстанавливает {HEALTH} увеличенного здоровья, если его прислужник уничтожен."
"herocard.passive_skill.description.healthboost.all.allies","Поднимает здоровье всех союзников на {HEALTHBOOST} %. Повышенное здоровье может превысить макс. кол-во очков здоровья."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","Атака этого героя увеличивается на {ATTACK} % за каждого живого члена команды противников, не относящихся к стихии природы."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","Атака этого героя увеличивается на {ATTACK} % за каждого живого члена команды противников, не относящегося к стихии природы. Эффект обновляется в начале каждой волны. (Сейчас: {CURRENTMODIFIER} %)"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","В начале каждого боя атака этого героя увеличивается на {ATTACK} % за каждого члена команды противников, не относящегося к стихии огня. В боях с несколькими волнами эффект обновляется в начале каждой волны."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","Атака этого героя увеличивается на {ATTACK} % за каждого живого члена команды противников, не относящегося к стихии огня. Эффект обновляется в начале каждой волны. (Сейчас: {CURRENTMODIFIER} %)"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","Наносит на {DAMAGEMULTIPLIER} % больше урона прислужникам."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","Этот герой наносит {DAMAGEMULTIPLIER} % урона прислужникам и мегаприслужникам."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","Если цель особого навыка героя спровоцирована насмешкой, попадание по ней будет на {POWERADDITION} % мощнее."
"herocard.passive_skill.description.increasespecialdamage","В первые {MAXACTIVATIONCOUNT} р., когда герой наносит урон особым навыком, к его силе добавляются еще {POWERADDITION} %."
"herocard.passive_skill.description.increasespecialdamage.usable_once","При первом нанесении урона особым навыком к силе персонажа добавляются еще {POWERADDITION} %."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","При каждом нанесении урона особым навыком к его силе добавляются еще {POWERADDITION} %."
"herocard.passive_skill.description.insanitydamagereduction","Весь полученный героем урон уменьшается на {DAMAGEREDUCTION} % за {DISPLAYSCALE} безумия для этого героя вплоть до максимума в {MAXDAMAGEREDUCTION} %."
"herocard.passive_skill.description.iterateeffectonspecial","Когда этот герой использует особый навык, любой пассивный навык, дающий дополнительные эффекты при применении, активируется с вероятностью {APPLYCOUNT}."
"herocard.passive_skill.description.league.featured_family","Этот герой является частью рекомендованной семьи!!"
"herocard.passive_skill.description.league.non_featured_family","Этот герой не является частью рекомендованной семьи!"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","{POWERMULTIPLIER} % меткости при атаках, направленных в членов рекомендованных семей."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","Исцеление членов рекомендованных семей имеет {POWERMULTIPLIER} % эффективности."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","Получает {POWERMULTIPLIER} % урона от членов не рекомендованных семей."
"herocard.passive_skill.description.managenerationmodifier","{MODIFIER} % генерации маны."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","Снижает количество маны, увеличенной особым навыком, на {MODIFIER} %. Эффект применяется ко всем врагам в битве."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect","На {MODIFIER} % снижает количество маны, увеличенной особым навыком, пассивным навыком, эффектом семьи и эффектом статуса. Применяется ко всем врагам в битве."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect.realm","На {MODIFIER} % снижает количество маны, увеличенной особым навыком, пассивным навыком, эффектом семьи и эффектом статуса. Применяется ко всем врагам в битве."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","Этот персонаж получает немного маны, если его прислужник уничтожен."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","Врожденная способность этого героя — запоминать прислужников и паразитов, призванных особым навыком врага. Последний прислужник или паразит, призванные врагом, будут сохранены в памяти до использования навыка."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","Врожденная способность этого героя — запоминать прислужников и паразитов, призванных особым навыком врага. Последние прислужники или паразиты в количестве {0}, призванные врагом, будут сохранены в памяти до использования навыка."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","Врожденная способность этого героя — запоминать прислужников и паразитов, призванных особым навыком врага. Последние прислужники или паразиты в количестве {0}, призванные врагом, будут сохранены в памяти до использования навыка."
"herocard.passive_skill.description.memorizestatuseffects","Персонаж обладает врожденной способностью запоминать недуги. Персонаж запомнит последний полученный недуг до использования особого навыка. Можно запомнить только ограниченные по времени недуги."
"herocard.passive_skill.description.memorizestatuseffects#2","Персонаж обладает врожденной способностью запоминать недуги. Персонаж запомнит последние полученные недуги в количестве {0} до использования особого навыка. Можно запомнить только ограниченные по времени недуги."
"herocard.passive_skill.description.memorizestatuseffects#3","Персонаж обладает врожденной способностью запоминать недуги. Персонаж запомнит последние полученные недуги в количестве {0} до использования особого навыка. Можно запомнить только ограниченные по времени недуги."
"herocard.passive_skill.description.mimiclootonlevelcompleted","Каждый уникальный имитатор в вашем отряде дает шанс получить дополнительную добычу при завершении этапов. Этот имитатор дает шанс получить следующую дополнительную добычу:"
"herocard.passive_skill.description.minioncorruption.all.enemies","В конце каждого хода у врагов с безумием есть шанс превратить своих прислужников в паразитов. По достижении {AUTOMATICTRANSFORMINSANITYTHRESHOLD} ед. безумия превращение происходит автоматически.
 Прислужник превратится в жуткого паразита: {FAMILIAR1FAMILIARATTACK} % атаки, {FAMILIAR1FAMILIARHEALTHPERCENT} % здоровья, налагает {FAMILIAR1INSANITYTOADD} ед. безумия каждый ход.
 Мегаприслужник превратится в жуткого мегапаразита: {FAMILIAR2FAMILIARATTACK} % атаки, {FAMILIAR2FAMILIARHEALTHPERCENT} % здоровья, налагает {FAMILIAR2INSANITYTOADD} безумия каждый ход."
"herocard.passive_skill.description.nevermissspecial","Особый навык этого героя всегда попадает в цель."
"herocard.passive_skill.description.preventboostedhealth.all.enemies","Здоровье врагов не может превышать максимальное значение."
