"herocard.passive_skill.description.addmana.all.allies","Alle allierede får en lille smule mana."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","Denne figurs byggekerne er en ødelæggende kerne.

Den ødelæggende kerne aktiveres, hver gang figurens særlige egenskab kastes:

 En fuldt opladet ødelæggende kerne, giver {CHARGEDPOWER1} % skade mod alle fjender. 
. Skaden afhænger af kernens opladning. Når kernen aktiveres, opbruges den opsparede ladning."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","Denne figur får ryddet sine statuslidelser, når en af deres håndlangere bliver dræbt."
"herocard.passive_skill.description.dodgespecialdamage","Denne figur har {CHANCE} % chance for at undvige særlige egenskaber, der giver skade."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","Når denne figur bruger sin særlige egenskab, ødelægges alle dens djævle."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Æder alle håndlangere fra en tilfældigt udvalgt fjende hver {TURNS}. runde og modtager en lille mængde mana for hver fortæret håndlanger."
"herocard.passive_skill.description.effectondamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.specialskill.only_criticals.once","Hvis denne figur får et kritisk slag, når de bruger deres særlige egenskab, renser det den seneste statuslidelse på alle allierede. Denne effekt kan aktiveres én gang per runde."
"herocard.passive_skill.description.effectondamagedone.healthboost.all.allies.specialskill.only_criticals.once","Hvis denne figur får et kritisk slag, når de bruger deres særlige egenskab, forøger det alle allieredes helbred med {HEALTHBOOST} %. Effekten kan aktiveres en gang pr. tur."
"herocard.passive_skill.description.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill.single.allies.onceperturn"," Når denne figurs særlige egenskab rammer en figur, der har højere aktuelt helbred, får du {PASSIVESKILL1HEALTHBOOST} % øget helbred.
 Når denne figur rammes af en særlig egenskab fra en figur, der har højere aktuelt helbred, får du {PASSIVESKILL2POWER} % mana.
Du kan aktivere en effekt én gang per runde."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","Når denne figur modtager skade fra særlige egenskaber, får den {POWER} % i mana."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","Når denne figur modtager direkte skade fra særlige egenskaber eller almindelige angreb, får de en lille mængde mana. 
 Der kan maksimalt modtages {MAXMANAGAINPERTURN} % mana per runde."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","Når en figur tager skade fra særlige egenskaber, eller i stedet for en figur i Dækning, er der en {CHANCE} % chance for at gøre {POWER} % af den modtagne skade på alle fjender."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","Når denne figur modtager skade fra særlige egenskaber, får den {STATUSEFFECT1ATTACK} % kumulativt angreb (maks.: {STATUSEFFECT1MAXSTACK}). Der kan erhverves én kumulativ effekt pr. runde."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","Når denne figur modtager skade fra særlige egenskaber, får den {STATUSEFFECT1ATTACK} % kumulativt angreb (maks.: {STATUSEFFECT1MAXSTACK}). Der kan erhverves én kumulativ effekt pr. runde."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Når en allieret forsøger at rense ved at bruge særlige egenskaber, modtager alle allierede {POWER} boosted helbred. Denne effekt kan kun aktiveres én gang pr. tur."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Når en fjende forsøger at rense ved at bruge særlige egenskaber, modtager alle fjender {POWER} skade. Denne effekt kan kun aktiveres én gang pr. tur."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","Denne figur får {POWER} % mana, hver gang en buffer ophæves hos figuren. Denne effekt kan kun anvendes én gang per runde."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Denne figur modtager {POWER} % helbred, hver gang en statuslidelse udløber eller renses, fjernes eller omfordeles. Denne effekt kan kun anvendes én gang per runde."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","Denne figur har {CHANCE} % chance for at modtage {POWER} % helbred, hver gang en statuslidelse udløber eller renses, fjernes eller omfordeles. Denne effekt kan kun anvendes én gang per runde."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","Denne figur får {POWER}  helbredsboost, hver gang en buffer ophæves hos figuren. Denne effekt kan kun anvendes én gang per runde."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","Hver træffer fra figurens håndlagere forvolder {DAMAGE} frostskade i {TURNS} runder"
"herocard.passive_skill.description.effectonheal.addmana","Denne figur modtager {POWER} % mana hver gang dens helbreds gendannes."
"herocard.passive_skill.description.effectonheal.heal","Denne figur modtager {POWER} % helbred, hver gang dens helbred gendannes."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","Denne figur modtager {POWER} % helbred, hver gang dens helbred gendannes."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Denne figur får {HEALTHBOOST} % boostet helbred og {MANA} % mana, når den modstår."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Denne figur får {POWER} % mana, hver gang en helt bruger en særlig egenskab, der direkte styrker helbred."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","Denne figur får {POWER} helbredsforøgelse, hver gang en helt bruger en særlig egenskab, der direkte styrker helbred."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","{CHANCE} % chance for at udføre følgende handlinger, når denne figur kaster sin særlige egenskab:"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","Hvis denne figur får et kritisk slag, når de bruger deres særlige egenskab, renser det den seneste statuslidelse på alle allierede."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","Hvis denne figur får et kritisk slag, når de bruger deres særlige egenskab, forøger det alle allieredes helbred med {HEALTHBOOST} %."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","Hvis denne figur får et kritisk slag, når de bruger deres særlige egenskab, forøger det alle allieredes helbred med {HEALTHBOOST} %."
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","Når en fjende bruger sin særlig egenskab, har denne figur {CHANCE} % chance for at øge denne figurs helbred med {HEALTHBOOST}."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","Når denne figur kaster sin særlige egenskab har de en {CHANCE} % chance for at give {POWER} % mana til alle allierede. Hvis den særlige egenskab er fuldt opladt, er chancen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","Når denne figur kaster sin særlige egenskab har de en {CHANCE} % chance for at give {POWER} % mana til alle allierede, som ikke stammer fra is-elementet. Hvis den særlige egenskab er fuldt opladt, er chancen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","Når denne figur bruger sin særlige egenskab, ophæver det den nyeste statuseffekt-buff på alle fjender."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","Når denne figur bruger sin særlige egenskab, renser det den nyeste statuslidelse på alle allierede."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","Når denne figur kaster sin særlige egenskab har de en {CHANCE} % chance for at forvolde {POWER} % skade mod alle fjender. Hvis den særlige egenskab er fuldt opladt, er chancen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","Når denne figur kaster sin særlige egenskab har de en {CHANCE} % chance for at forvolde {POWER} % skade mod alle fjender, som ikke stammer fra det mørke element. Hvis den særlige egenskab er fuldt opladt, er chancen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","Når denne figur kaster sin særlige egenskab har de en {CHANCE} % chance for at forvolde {POWER} % skade mod alle fjender, som ikke stammer fra ild-elementet. Hvis den særlige egenskab er fuldt opladt, er chancen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","Når denne figur kaster sin særlige egenskab har de en {CHANCE} % chance for at give {POWER} % helbredelse til alle allierede. Hvis den særlige egenskab er fuldt opladt, er chancen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","Når denne figur kaster sin særlige egenskab har de en {CHANCE} % chance for at give {POWER} % helbredelse til alle allierede, som ikke stammer fra natur-elementet. Hvis den særlige egenskab er fuldt opladt, er chancen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","Når denne figur kaster sin særlige egenskab har de en {CHANCE} % chance for at give {POWER} % helbredelse til alle allierede, som ikke stammer fra ild-elementet. Hvis den særlige egenskab er fuldt opladt, er chancen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","Når denne figur kaster sin særlige egenskab har de en {CHANCE} % chance for at give {POWER} % helbredelse til alle allierede, som ikke stammer fra det hellige element. Hvis den særlige egenskab er fuldt opladt, er chancen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","Når denne figur bruger sin særlige egenskab, forøger det alle allieredes helbred med {POWER} %."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","Hvis en fjende med gennemsnitlig eller hurtigere manahastighed kaster en særlig egenskab, tager alle fjender {DAMAGE} skade. Denne effekt kan kun aktiveres en gang pr. runde."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Hver gang denne fjende modtager en hån-statuseffekt, bliver denne figurs mana øget med {POWER} %."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Denne figur har opnår {POWER} % mana, når en fjende får en statuseffekt, der påvirker forsvar. Denne effekt kan kun aktiveres en gang pr. tur."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","Denne figur får {POWER} % mana ved modtagelse af en buffer eller en positiv kumulativ effekt."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","Denne figur får {POWER} % mana ved modtagelse af en statuslidelse eller en negativ kumulativ effekt."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","Figuren gendanner {POWER} % helbred ved modtagelse af en buffer eller en positiv kumulativ effekt."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","Figuren gendanner {POWER} % helbred, når de modtager en statuslidelse eller en negativ kumulativ effekt."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","Figuren gendanner {POWER} HP, når den modtager en statuslidelse eller en negativ kumulativ effekt."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","Denne figur får {CHANCE} % chance for at få {POWER} % mana ved modtagelse af en buffer eller en positiv kumulativ effekt."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","Denne figur får {CHANCE} % chance for at gendanne {POWER} % helbred ved modtagelse af en buffer eller en positiv kumulativ effekt."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","Denne figur får {CHANCE} % chance for at gendanne {POWER} % helbred ved modtagelse af en buffer eller en positiv kumulativ effekt."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","Hver {TURNS}. runde lever besejrede allierede i nærheden op med {POWER} % HP."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","Får en lille smule mana for hver aktiv statuseffekt-buffer på det fjendtlige hold i starten af hver tur (højest {MAXSTATUSEFFECTCOUNT} buffere)."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","Forstærker helbredet for denne figur og allierede i nærheden med {INCREMENTPERSTATUSEFFECT1} % for hver fjende, der rammes af gift, når runden starter. Forstærket helbred kan overstige maks. HP."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Når en håndlanger bliver hidkaldt til en allieret, får denne figur {POWER} % mana. Denne effekt kan kun aktiveres én gang pr. tur."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Når en håndlanger bliver hidkaldt til en vilkårlig allieret, får denne figur {HEALTH} % helbred og {MANA} % mana. Denne effekt kan kun aktiveres én gang pr. tur."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Når en djævel bliver hidkaldt til en vilkårlig fjende, får denne figur {POWER} % mana. Denne effekt kan kun aktiveres én gang pr. tur."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","Når en djævel bliver hidkaldt til en vilkårlig fjende, giver denne figur {DAMAGE} % skade til alle fjender. Denne effekt kan kun aktiveres én gang pr. tur."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","Når en djævel bliver hidkaldt til en vilkårlig fjende, får denne figur {POWER} helbredsforøgelse. Denne effekt kan kun aktiveres én gang pr. tur."
"herocard.passive_skill.description.extraactionsafterspecial","{CHANCE} % chance for at kaste ekstra handlinger, når denne figur kaster sin særlige egenskab."
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","Alle fjendtlige håndlangere har {MINIONMODIFIER} % præcision.
Alle fjenders kæmpehåndlangere har {MEGAMINIONMODIFIER} % præcision."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","Denne figurs byggekerne er en håndlangerkerne.

Håndlangerkernen aktiveres, hver gang denne figurs særlige egenskab kastes:

 Med en fuldt opladet håndlangerkerne hidkaldes en  dræberbot-håndlanger med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angreb arvet kasteren på alle allierede.
 De HP og det angreb, der arves fra kasteren, skaleres med ladningen i kernen. Al ladning udtømmes, når kernen aktiveres.
 Før dræberbot-håndlangeren rammer et mål, tilintetgør den alle håndlangere fra målet og skader kæmpehåndlangere."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","Fjendens kæmpehåndlangere har {HEALTHMODIFIER} % HP."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","Fjendens håndlangere har {HEALTHMODIFIER} % HP."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","Fjendens kæmpehåndlangere kan ikke angribe eller bruge evner."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","Fjendens håndlangere kan ikke angribe eller bruge evner."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","Denne figur får {POWER} % mana, hver gang en fjende tager frostskade."
"herocard.passive_skill.description.growth","Heltens grundangreb og -forsvar forøges med {STATINCREASE} for hver runde i {MAXACTIVATIONCOUNT} runder."
"herocard.passive_skill.description.guaranteedeffectonspecial","Når denne figur kaster sin særlige egenskab, vil de passive egenskaber, der giver ekstra effekter ved anvendelse, med garanti blive aktiveret."
"herocard.passive_skill.description.heal.all.allies","Gendanner {HEALTH} % helbred for alle allierede."
"herocard.passive_skill.description.healmodifier","{HEALMULTIPLIER} % forøgelse af enhver modtaget helbredelse."
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","Alle fjender får {HEALMULTIPLIER} % heling."
"herocard.passive_skill.description.healmodifier.decrease","{HEALMULTIPLIER} % forringelse af enhver modtaget helbredelse."
"herocard.passive_skill.description.healonheal.can_stack.heal","Denne figur modtager {POWER} % helbred, hver gang dens helbred gendannes."
"herocard.passive_skill.description.healonownfamiliardeath.minion","Denne figur får gendannet {HEALTH} helbred, når en af deres håndlangere bliver dræbt."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","Denne figur får gendannet {HEALTH} boostet helbred, når en af deres håndlangere bliver dræbt."
"herocard.passive_skill.description.healthboost.all.allies","Forstærker alle allieredes helbred med {HEALTHBOOST} %. Forstærket helbred kan overstige maks. HP."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","I starten af hver kamp bliver denne figurs angreb forøget med {ATTACK} % for fjende, der ikke er fra Natur-elementet. I kampe med flere bølger bliver effekten fornyet ved starten af hver bølge."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","Denne figurs angreb forøges med {ATTACK} % for levende fjende, der ikke er fra Natur-elementet. Effekten fornyes ved starten af hver bølge. (Lige nu: {CURRENTMODIFIER} %)"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","I starten af hver kamp bliver denne figurs angreb forøget med {ATTACK} % for fjende, der ikke er fra Ild-elementet. I kampe med flere bølger bliver effekten fornyet ved starten af hver bølge."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","Denne figurs angreb forøges med {ATTACK} % for levende fjende, der ikke er fra Ild-elementet. Effekten fornyes ved starten af hver bølge. (Lige nu: {CURRENTMODIFIER} %)"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","Gør {DAMAGEMULTIPLIER} % mere skade mod håndlangere."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","Denne figur gør {DAMAGEMULTIPLIER} % skade på håndlangere og kæmpehåndlangere."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","Slag fra denne figurs særlige færdighed har en ekstra {POWERADDITION} % kraft, hvis målet har hån."
"herocard.passive_skill.description.increasespecialdamage","De første {MAXACTIVATIONCOUNT} gange figuren kaster en særlig egenskab, som gør skade, forstærkes den med {POWERADDITION} %."
"herocard.passive_skill.description.increasespecialdamage.usable_once","Første gang figuren kaster en særlig egenskab, som gør skade, forstærkes den med {POWERADDITION} %."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","Hver gang figuren kaster en særlig egenskab, som gør skade, forstærkes den med {POWERADDITION} %."
"herocard.passive_skill.description.insanitydamagereduction","Al skade, som denne figur tager, bliver reduceret med {DAMAGEREDUCTION} % pr. {DISPLAYSCALE} vanvid for denne figur op til en maksimal reduktion på {MAXDAMAGEREDUCTION} %."
"herocard.passive_skill.description.iterateeffectonspecial","Når denne figur kaster sin særlige egenskab, vil de passive egenskaber, der giver ekstra effekter ved anvendelse, få {APPLYCOUNT} chancer for at blive aktiveret."
"herocard.passive_skill.description.league.featured_family","Denne helt er en del af en Fremhævet familie!"
"herocard.passive_skill.description.league.non_featured_family","Denne helt er ikke en del af en Fremhævet familie!"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","{POWERMULTIPLIER} % præcision mod helte fra Fremhævede familie."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","Heling, der berører medlemmer i de Fremhævede familier, har {POWERMULTIPLIER} % effektivitet."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","{POWERMULTIPLIER} % modtaget skade fra familier, der ikke er Fremhævede."
"herocard.passive_skill.description.managenerationmodifier","{MODIFIER} % managendannelse."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","Reducerer mængden af mana, der øges af særlige egenskaber, med {MODIFIER} %. Effekten gælder for alle fjender i kampen."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect","Reducerer mængden af mana, der øges af særlige egenskaber, passive færdighedsfamiliebonusser og statuseffekter med {MODIFIER} %. Effekten gælder for alle fjender i kampen."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect.realm","Reducerer mængden af mana, der øges af særlige egenskaber, passive færdighedsfamiliebonusser og statuseffekter med {MODIFIER} %. Effekten gælder for alle fjender i kampen."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","Denne figur får en lille smule mana, når en af deres håndlangere bliver dræbt."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","Denne figur har en medfødt evne til at memorere enhver håndlanger eller djævel, der er blevet hidkaldt af fjendernes særlige egenskaber. Den seneste håndlanger eller djævel, der er blevet hidkaldt forbliver memoreret indtil den særlige egenskab er kastet."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","Denne figur har en medfødt evne til at memorere enhver håndlanger eller djævel, der er blevet hidkaldt af fjendernes særlige egenskaber. De seneste {0} håndlangere eller djævle, der er blevet hidkaldt forbliver memoreret indtil den særlige egenskab er kastet."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","Denne figur har en medfødt evne til at memorere enhver håndlanger eller djævel, der er blevet hidkaldt af fjendernes særlige egenskaber. Den seneste {0} håndlanger eller djævel, der er blevet hidkaldt forbliver memoreret indtil den særlige egenskab, er kastet. (THIRD FORM)"
"herocard.passive_skill.description.memorizestatuseffects","Figuren har en medfødt evne til at memorere statuslidelser. Den seneste statuslidelse, som kastes på denne figur, memoreres, indtil den særlige egenskab kastes. Kun statuslidelser med varighed kan memoreres."
"herocard.passive_skill.description.memorizestatuseffects#2","Figuren har en medfødt evne til at memorere statuslidelser. De sidste {0} statuslidelser, som kastes på denne figur, memoreres indtil den særlige egenskab kastes. Kun statuslidelser med varighed kan memoreres."
"herocard.passive_skill.description.memorizestatuseffects#3","Figuren har en medfødt evne til at memorere statuslidelser. De sidste {0} statuslidelser, som kastes på denne figur, memoreres indtil den særlige egenskab kastes. Kun statuslidelser med varighed kan memoreres. (THIRD FORM)"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_blue","Denne efterligner giver en chance for at få ekstra bytte, når du gennemfører etaper:

*****
 Alfa-æter
 Isæter III

****
 Isæter II

***
 Isæter I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_green","Denne efterligner giver en chance for at få ekstra bytte, når du gennemfører etaper:

*****
 Alfa-æter
 Naturæter III

****
 Naturæter II

***
 Naturæter I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_purple","Denne efterligner giver en chance for at få ekstra bytte, når du gennemfører etaper:

*****
 Alfa-æter
 Mørkeæter III

****
 Mørkeæter II

***
 Mørkeæter I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_red","Denne efterligner giver en chance for at få ekstra bytte, når du gennemfører etaper:

*****
 Alfa-æter
 Ildæter III

****
 Ildæter II

***
 Ildæter I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_yellow","Denne efterligner giver en chance for at få ekstra bytte, når du gennemfører etaper:

*****
 Alfa-æter
 Hellig æter III

****
 Hellig æter II

***
 Hellig æter I"
