"specials.name.a_cozy_break","아늑한 휴식"
"specials.name.assassins_blades","암살자의 검"
"specials.name.assassins_in_the_night","밤의 암살자"
"specials.name.assassins_in_the_night_pve","밤의 암살자"
"specials.name.asterius","난폭한 황소 돌진"
"specials.name.astral_assistance","아스트랄 지원"
"specials.name.astral_brew","아스트랄 브루"
"specials.name.astral_dominion","아스트랄 영지"
"specials.name.astral_gemstones","아스트랄 보석"
"specials.name.astral_myrrh","아스트랄 몰약"
"specials.name.astral_orb","아스트랄 오브"
"specials.name.astral_pastries","아스트랄 페이스트리"
"specials.name.astral_provocation","아스트랄 도발"
"specials.name.astral_summon","아스트랄 소환"
"specials.name.athenas_arrow","아테나의 화살"
"specials.name.athenas_bow","아테나의 활"
"specials.name.atlantean_blade","아틀란티스 검"
"specials.name.atlantean_blade_costume","아틀란티스 칼"
"specials.name.atlantean_charge","아틀란티스 돌격"
"specials.name.atlantean_toon_spear","아틀란티스 툰 창"
"specials.name.atlantean_toon_sword","아틀란티스 툰 검"
"specials.name.attack_rally","공격 집결"
"specials.name.aura_of_twilight","황혼의 오라"
"specials.name.aura_wave","오라 공세"
"specials.name.autumnal_wind","가을 바람"
"specials.name.avenger_of_mothkind","나방족의 복수"
"specials.name.awaken_ki","깨어난 기"
"specials.name.awe_bolt","독성 화살"
"specials.name.axe_of_retribution","심판의 도끼"
"specials.name.axe_throw","도끼 던지기"
"specials.name.azurelight_greatsword","애저라이트 그레이트소드"
"specials.name.backstab","등 찌르기"
"specials.name.bad_fortune","불행"
"specials.name.bag_of_necessities","필수 아이템 주머니"
"specials.name.bagh_nakh_thrust","바그 나흐 찌르기"
"specials.name.bakers_baguettes","제빵사의 바게트"
"specials.name.balanced_teamwork","균형 잡힌 팀워크"
"specials.name.ballad_of_attraction","매혹의 노래"
"specials.name.ballad_of_condemnation","비난의 노래"
"specials.name.ballad_of_obsession","망상의 노래"
"specials.name.ballad_of_pain","고통의 노래"
"specials.name.ballad_of_passion","열정의 노래"
"specials.name.ballad_of_purple_swan","암흑 백조의 노래"
"specials.name.ballad_of_restoration","복원의 노래"
"specials.name.ballad_of_the_purple_swan","암흑 백조의 노래"
"specials.name.bandalore_dance","반달로어 댄스"
"specials.name.barb_sting_dragon_pve","밥 스팅"
"specials.name.barbed_arrows","가시 화살"
"specials.name.barbed_bolt_zidane","철조망 볼트"
"specials.name.bark_of_protection","보호의 나무껍질"
"specials.name.basilisk_breath","바실리스크의 숨결"
"specials.name.battering_ram","충차"
"specials.name.battle_boast","전투 자랑"
"specials.name.battleclaw_strike","전투 발톱 일격"
"specials.name.beach_party","해변 파티"
"specials.name.beautiful_petals","아름다운 꽃잎"
"specials.name.bee_bombast","벌벌 떨거라"
"specials.name.bee_bravado","벌을 받거라"
"specials.name.beetle_strike","딱정벌레 일격"
"specials.name.berserker_strike","광전사 일격"
"specials.name.bewildering_riddle","알쏭달쏭한 수수께끼"
"specials.name.bewitched_daggers","마법이 걸린 단검"
"specials.name.binding_contract","구속 계약"
"specials.name.birch_blessing","자작나무 축복"
"specials.name.bite_of_protection","순간 방어"
"specials.name.bites_of_disorientation","방향 감각 상실"
"specials.name.bitter_berry_blast_dragon_pve","비터 베리 폭발"
"specials.name.bizarre_mist","기이한 안개"
"specials.name.black_tassel_spear_sting","블랙 술 스피어 스팅"
"specials.name.black_tide","검은 파도"
"specials.name.blade_barrage","검날 폭풍"
"specials.name.blade_dance","무대 위의 칼날"
"specials.name.blade_of_betrayal","배반의 칼날"
"specials.name.blade_of_bundelkhand","분델칸드의 검"
"specials.name.blade_of_horrid_affliction","끔찍한 고통의 검"
"specials.name.blade_tail_swipe","칼날 꼬리 치기"
"specials.name.blade_venom","맹독성 검"
"specials.name.blade_wings","블레이드 윙"
"specials.name.blazing_beak","불타는 부리"
"specials.name.blazing_corolla","불타는 화관"
"specials.name.blazing_inferno","불타는 화염"
"specials.name.blazing_rave_dance","타오르는 격렬한 춤"
"specials.name.blazing_slam_dunk","화려한 슬램덩크"
"specials.name.blazing_venom","타오르는 독"
"specials.name.bleed_inducing_daggers","출혈 유발 단검"
"specials.name.bleeding_edge","출혈의 칼날"
"specials.name.bleeding_hammer","피 흘리는 해머"
"specials.name.bleeding_stab","출혈의 칼끝"
"specials.name.bleeding_thrust","출혈 찌르기"
"specials.name.blessed_blade","축복받은 칼날"
"specials.name.blessed_blade_pve","축복받은 칼날"
"specials.name.blessed_brew","축복받은 음료"
"specials.name.blessed_solo","신들린 독주"
"specials.name.blessed_tankard","축복의 맥주잔"
"specials.name.blessing_from_the_future","미래의 축복"
"specials.name.blessing_of_gjallarhorn","걀라르호른의 축복"
"specials.name.blessing_of_the_evergrove","상록수의 축복"
"specials.name.blessing_of_the_skies","하늘의 축복"
"specials.name.blind_rage","실명의 분노"
"specials.name.blinding_attack","실명 공격"
"specials.name.blinding_curse","실명의 저주"
"specials.name.blinding_flash","실명의 섬광"
"specials.name.blinding_flash_s4","실명의 섬광"
"specials.name.blinding_injustice","눈부신 불의"
"specials.name.blinding_knowledge","눈 먼 지식"
"specials.name.blinding_light","눈부신 빛"
"specials.name.blinding_orb","눈부신 오브"
"specials.name.blinding_pounce","눈부신 도약"
"specials.name.blinding_spell","실명의 주문"
"specials.name.blinding_spit","실명의 타액"
"specials.name.blinding_stinger","눈부신 스팅거"
"specials.name.blinding_strike","실명의 일격"
"specials.name.blinding_wisdom","실명의 지혜"
"specials.name.blizzard","눈보라"
"specials.name.blizzard_roar","눈보라 포효"
"specials.name.blob_of_fury","분노 덩어리"
"specials.name.blood_illusion","핏빛 환영"
"specials.name.blood_petals_of_the_withered","피의 꽃잎"
"specials.name.blood_sacrifice","피의 일격"
"specials.name.bloodthirst","피의 갈망"
"specials.name.blooming_growth","개화 성장"
"specials.name.bludgeoning","구타"
"specials.name.blue_lizard_charge","파란색 카모 도마뱀 공격"
"specials.name.blue_shroom_wand","푸른 버섯 막대"
"specials.name.blur_of_steel","강철의 잔상"
"specials.name.blur_of_steel_pve","강철의 잔상"
"specials.name.boar_call","멧돼지 포효"
"specials.name.boar_charge","멧돼지 돌격"
"specials.name.boar_of_fury","분노의 멧돼지"
"specials.name.boat_ride_from_the_beyond","유람선 여행"
"specials.name.bobo_blitz","보보 블리츠"
"specials.name.bolstering_rush","육중한 돌진"
"specials.name.bond_of_avarice","탐욕의 유대"
"specials.name.bone_arrow","뼈 화살"
"specials.name.bone_club_clonk","뼈 몽둥이 후리기"
"specials.name.bone_club_party","뼈다귀 클럽 파티"
"specials.name.bone_ritual","뼈 의식"
"specials.name.bone_slam","본 슬램"
"specials.name.bone_toss","플라잉 본"
"specials.name.booming_mend","호황기 수정"
"specials.name.boon_of_gjallarhorn","걀라르호른의 축복"
"specials.name.boopstrike","붑스트라이크"
"specials.name.boreal_bash","보레알 배쉬"
"specials.name.boulder_smash","바위 후려치기"
"specials.name.bound_by_knowledge","지식의 속박"
"specials.name.bound_by_tales","꼬리에 꼬리를 무는 이야기들"
"specials.name.bounty_of_the_spring","봄의 너그러움"
"specials.name.bouquet_of_the_seas","바다의 꽃다발"
"specials.name.brain_link","브레인 링크"
"specials.name.branded_by_fire","불의 낙인"
"specials.name.break_free","브레이크 프리"
"specials.name.break_strike","파쇄 일격"
"specials.name.breaker_blade","파괴자의 검"
"specials.name.breaker_blade_pve","파괴자의 검"
"specials.name.breath_of_darkness","암흑의 숨결"
"specials.name.breath_of_life","생명의 숨결"
"specials.name.breath_of_the_abyss","심해의 숨결"
"specials.name.brew_of_the_centaurs","켄타우로스의 양조주"
"specials.name.brides_kiss","신부의 키스"
"specials.name.brilliant_brew","기막힌 목넘김"
"specials.name.brilliant_sweep_dragon_pve","빛나는 휩쓸기"
"specials.name.bringer_of_order","질서의 인도자"
"specials.name.brittling_burst","골절 폭발"
"specials.name.brittling_force","바스러지는 힘"
"specials.name.brittling_strike","바스러지는 일격"
"specials.name.bruiser_bros","난동꾼 형제"
"specials.name.brutal_bull_rush","난폭한 황소 돌진"
"specials.name.brutal_support","난폭한 지원"
"specials.name.buccaneers_blade","해적의 칼"
"specials.name.bugs_shell","벌레 껍질"
"specials.name.building_blocks_bulklug","집짓기 블록"
"specials.name.bulwark_charge","방어막 충전"
"specials.name.burning_ashes","불타는 재"
"specials.name.burning_ashes2","불타는 재"
"specials.name.burning_chains","불타는 사슬"
"specials.name.burning_claws_dragon_pve","불타는 발톱"
"specials.name.burning_javelin","불타는 창"
"specials.name.burning_pollen_dragon_pve","불꽃 날개"
"specials.name.burning_shields","불타는 방패"
"specials.name.burning_spin","불타는 스핀"
"specials.name.burning_strike","불타는 일격"
"specials.name.burning_thread","불타는 실"
"specials.name.burning_wok","뜨거운 웍"
"specials.name.but_a_scratch","긁힐 뿐"
"specials.name.butterfly_swarm","나비떼"
"specials.name.call_of_the_elements","콜 오브 엘리멘트"
"specials.name.call_to_arms","전투동원령"
"specials.name.calling_the_bluff","허세 부리기"
"specials.name.calm_jab_dragon_pve","조용한 찌르기"
"specials.name.calming_mist","고요한 안개"
"specials.name.camouflage_foliage","위장 잎사귀"
"specials.name.candy_vines","캔디 포도나무"
"specials.name.cannibalizing_munch","포식의 한입"
"specials.name.cannon_blast","캐논 블래스트"
"specials.name.cannonball_splash","부식성 물폭탄"
"specials.name.capsicum_charge","고추 충전"
"specials.name.captains_cutlass","캡틴의 커틀러스"
"specials.name.captivating_illusions","매혹적인 환영"
"specials.name.carnivore_garden","식인 정원"
"specials.name.carve_a_hole","구멍 내기"
"specials.name.carve_the_bones","뼈대 만들기"
"specials.name.cascading_darkness","덮쳐오는 어둠"
"specials.name.cascading_whirlwind","계단식 회오리바람"
"specials.name.cataclysmic_divination","대격변의 점술"
"specials.name.catnip_fury","캣닢의 분노"
"specials.name.cauterizing_flame","지지는 불길"
"specials.name.cauterizing_touch","지혈의 손길"
"specials.name.cavalier_hat_of_dark_realm","암흑 왕국의 카발리에 모자"
"specials.name.celestial_anvil","천상의 모루"
"specials.name.ceremonial_dance","의식의 춤"
"specials.name.ceremonial_katar","의식용 카타르"
"specials.name.chain_blasm_strike","연쇄 블라스트 강타"
"specials.name.chain_lightning","연속 번개"
"specials.name.chain_of_pain","고통의 사슬"
"specials.name.chain_strike","연쇄 강타"
"specials.name.chains_of_legion","군단의 사슬"
"specials.name.chains_of_light","빛의 사슬"
"specials.name.chakram_kick","차크람 킥"
"specials.name.challenge_the_strongest","최강자에 도전하기"
"specials.name.champagne_hammer","샴페인 해머"
"specials.name.champion_maneuver","챔피언 기동술"
"specials.name.championship_carrot","챔피언십 당근"
"specials.name.change_stance","도박꾼의 칼날"
"specials.name.channel_ki","운기조식"
"specials.name.channeler_of_the_cats","고양이의 수호자"
"specials.name.channeler_of_the_gods","신의 매개체"
"specials.name.chaos_bolt_volley","혼돈의 번개 계곡"
"specials.name.chaos_venom","카오스 베놈"
"specials.name.charged_fireball_dragon_pve","완성된 불덩어리"
"specials.name.charm_of_protection","보호의 부적"
"specials.name.charmed_dual_blade","마력이 깃든 쌍날검"
"specials.name.charmers_blades","유혹자의 검"
"specials.name.cheerful_charm","활기찬 매력"
"specials.name.cheese_wheel_rampage","치즈 휠 난동"
"specials.name.cherry_pudding_served","체리 푸딩 대령이요!"
"specials.name.chieftains_vengeance","족장의 복수"
"specials.name.chilling_counterattack","냉혹한 반격"
"specials.name.chilling_slash","서늘한 칼날"
"specials.name.chitin_cage","키틴 케이지"
"specials.name.chords_of_distortion","왜곡의 코드"
"specials.name.chords_of_havoc","혼란의 화음"
"specials.name.chords_of_inferno","지옥의 화음"
"specials.name.claw_power","고블린의 분노"
"specials.name.claw_swipe","발톱 긁기"
"specials.name.claws_of_fury","분노의 발톱"
"specials.name.claws_of_the_hunter","사냥꾼의 발톱"
"specials.name.claws_of_the_lioness","암사자의 발톱"
"specials.name.claws_of_the_night","밤의 발톱"
"specials.name.claws_of_the_night_ultimate_boss","밤의 발톱"
"specials.name.cleansing_determination","의지의 정화"
"specials.name.cleansing_determination_pve","의지의 정화"
"specials.name.cleansing_strike","정화의 일격"
"specials.name.cleave_and_reflect","쪼개고 반사하기"
"specials.name.cleave_counter","쪼개고 받아치기"
"specials.name.clever_stratagem","똑똑한 전략"
"specials.name.cloak_of_feathers","깃털 망토"
"specials.name.close_order_formation","폐쇄 명령 포매이션"
"specials.name.cloth_of_constellations","별자리 의상"
"specials.name.cloud_axe","구름 도끼"
"specials.name.cloud_hammer","구름 망치"
"specials.name.clowns_blessing","광대의 축복"
"specials.name.coastal_recharge","해안의 재충전"
"specials.name.coiling_whip","감기는 채찍"
"specials.name.coins_of_pain","고통의 동전"
"specials.name.cold_blast","눈보라"
"specials.name.cold_blast_single","냉기 폭발"
"specials.name.cold_command","냉기 지휘"
"specials.name.cold_fire","차가운 불"
"specials.name.colossal_bite","강력한 물어뜯기"
"specials.name.colossal_carry","콜로살 캐리"
"specials.name.colossal_chops","거대한 베기"
"specials.name.comet","그을리는 광선"
"specials.name.command_pack","팩 명령"
"specials.name.command_sand_golems","모래 골렘 지휘"
"specials.name.command_to_advance","진군 명령"
"specials.name.command_to_advance_costume_fire_bat","사전 주문"
"specials.name.commanders_gauntlet","사령관의 건틀릿"
"specials.name.commodores_malice","준장의 악의"
"specials.name.commodores_revenge","준장의 복수"
"specials.name.compact_lance","소형 창"
"specials.name.concussive_charge","뇌진탕 돌진"
"specials.name.confident_strategy","자신감 넘치는 전략"
"specials.name.conjure_the_azure_spirit","푸른 영혼의 마법사"
"specials.name.connect_ki","기 연결"
"specials.name.connect_ki_pve","기 연결"
"specials.name.conquerors_command","정복자의 명령"
"specials.name.constellation_crush","별자리 크러시"
"specials.name.corals_of_nourishment","영양 산호"
"specials.name.core_beam","코어 광선"
"specials.name.core_blast","코어 블라스트"
"specials.name.core_burst","코어 버스트"
"specials.name.corroding_cutlass","부식성 커틀러스"
"specials.name.corrosive_acid","부식성 산"
"specials.name.corrosive_burn_claws_dragon_pve","부식성 화상 클로"
"specials.name.corrosive_claws_dragon_pve","부식성 독 클로"
"specials.name.corrosive_pollen","부식성 꽃가루"
"specials.name.corrupting_idol","타락의 우상"
"specials.name.cosmic_clock","장대한 시계"
"specials.name.cosmic_devotion","장대한 헌신"
"specials.name.countering_hammock","역습의 해먹"
"specials.name.counterstance","반격"
"specials.name.couriers_dash","운반원의 질주"
"specials.name.cover_slam","커버 슬램"
"specials.name.covert_stab","무자비한 난도질"
"specials.name.cracked_skull_strike","갈라진 뼈로 타격"
"specials.name.crawling_vines","죽음의 덩굴"
"specials.name.crazed_lunge","광분의 찌르기"
"specials.name.crazed_stampede","광분한 무리"
"specials.name.creative_hands","손재주"
"specials.name.creeping_venom","크리핑 베놈"
"specials.name.creeping_vines","엉겨붙는 덩굴"
"specials.name.crescent_moon_strike","초승달 공격"
"specials.name.crescent_shield","초승달 방패"
"specials.name.crescent_spear","초승달 창"
"specials.name.crimson_blade","진홍색 검"
"specials.name.crimson_calamity","진홍색 재앙"
"specials.name.crimson_calamity2","진홍색 재앙"
"specials.name.crimson_hunt","핏빛 사냥"
"specials.name.crippling_claws","치명적 발톱"
"specials.name.crippling_claws_pve","치명적 발톱"
"specials.name.crippling_grapple","치명적인 그래플링"
"specials.name.critical_cookout","위태로운 야외 식사"
"specials.name.critical_tactics","치명적인 전략"
"specials.name.croc_bite","악어 물기"
"specials.name.crush_of_avarice","탐욕의 분쇄"
"specials.name.crush_of_hel","헬의 손아귀"
"specials.name.crush_of_malice","악의로 짓누르기"
"specials.name.crush_of_toon_hel","툰 헬의 손아귀"
"specials.name.crushing_claws","파괴적인 발톱"
"specials.name.crushing_shot","파괴 사격"
"specials.name.crust_of_divinity","신성의 껍질"
"specials.name.cry_for_absolution","완벽을 위한 외침"
"specials.name.crystal_barrage","크리스탈 포화"
"specials.name.crystal_bombardment","크리스탈 폭격"
"specials.name.crystal_embrace","크리스탈 포옹"
"specials.name.crystalis","냉동 크리스탈"
"specials.name.crystalline_strike","크리스탈 일격"
"specials.name.cub_leader_cut","새끼 리더 컷"
"specials.name.cube_of_dark_realm","암흑 왕국의 큐브"
"specials.name.cult_of_arachnid","거미 교단"
"specials.name.cunning_knife","교활한 칼날"
"specials.name.cup_of_mead","벌꿀 술 한 잔"
"specials.name.curse_of_sargasso","사르가소의 저주"
"specials.name.curse_of_the_cephaloid","두족류의 저주"
"specials.name.curse_of_the_depths","심연의 저주"
"specials.name.curse_of_the_sea","바다의 저주"
"specials.name.curse_of_the_specter","유령의 저주"
"specials.name.curse_of_the_specter_pve","유령의 저주"
"specials.name.cursed_fumes","저주받은 향"
"specials.name.cursed_fumes2","저주받은 향"
"specials.name.cursed_garden","저주받은 정원"
"specials.name.cursed_painting","저주받은 그림"
"specials.name.cursed_plan","저주받은 계획"
"specials.name.cursed_strike","저주받은 일격"
"specials.name.cursed_tail_whip","저주받은 꼬리 채찍"
"specials.name.cut_cure_and_craze","상처, 치료 그리고 대유행"
"specials.name.cut_down_the_competition","승부 종료"
"specials.name.cute_and_dangerous","귀엽지만 위험함"
"specials.name.cuts_of_hulu","훌루 컷"
"specials.name.dagger_of_shadows","그림자의 단검"
"specials.name.dance_of_fire","화염의 춤"
"specials.name.dance_of_flame","불의 춤"
"specials.name.dance_of_glass","유리 춤"
"specials.name.dance_of_ignition","점화의 춤"
"specials.name.dance_of_siegfried","지그프리트의 춤"
"specials.name.dance_of_spirits","영혼의 춤"
"specials.name.dance_of_the_dunes","사구의 춤"
"specials.name.dance_of_the_heron","헤론의 춤"
"specials.name.dance_of_the_little_swan","아기 백조의 춤"
"specials.name.dance_of_the_queen","여왕의 춤"
"specials.name.dance_of_the_raven","검은 백조의 춤"
"specials.name.dance_of_the_slimy","물컹물컹 댄스"
"specials.name.dance_of_the_swan","백조의 춤"
"specials.name.dance_of_the_yellow_swan","빛의 백조의 춤"
"specials.name.dance_of_toons","툰의 춤"
"specials.name.dancestance","댄스 자세"
"specials.name.dancing_dodge","춤추는 회피"
"specials.name.dancing_slash","칼춤"
"specials.name.dantes_inferno","단테의 신곡"
"specials.name.dark_barrage","어둠의 포화"
"specials.name.dark_bolt","검은 번개"
"specials.name.dark_lord","멸망의 일격"
"specials.name.dark_mirror","불꽃의 거울"
"specials.name.dark_orb","암흑 구슬"
"specials.name.dark_shock","어둠의 충격"
"specials.name.darts_of_the_deep","심연의 다트"
"specials.name.dauntless_bladestorm","불굴의 블레이드스톰"
"specials.name.dawn_strike","새벽의 강타"
"specials.name.dawnlight_rally","여명의 집회"
"specials.name.day_of_judgement","심판의 날"
"specials.name.day_of_reckoning","심판의 날"
"specials.name.dazzling_gleam","눈부신 빛"
"specials.name.dazzling_grin","아찔한 웃음"
"specials.name.dazzling_sweep_dragon_pve","눈부신 휩쓸기"
"specials.name.deadly_claw","치명적인 발톱"
"specials.name.deadly_constriction","치명적인 속박"
"specials.name.deadly_riposte","치명적인 응수"
"specials.name.deadly_sting","치명적인 독침"
"specials.name.deafening_parade","고음 퍼레이드"
"specials.name.deathly_glaive","죽음의 글레이브"
"specials.name.deathstrike","죽음의 일격"
"specials.name.debt_drain_boboosang","빚 흡수"
"specials.name.deceiving_glow","기만적인 광채"
"specials.name.deceptive_smalltalk","교활한 말솜씨"
"specials.name.deep_sea_ritual","심해의 의식"
"specials.name.defensive_tactics","방어 전술"
"specials.name.delay_the_inevitable","필연 지연"
"specials.name.delicious_demise","맛있는 죽음"
"specials.name.delicious_idol","맛있는 아이돌"
"specials.name.demolishing_crush","산산조각 내기"
"specials.name.demoralizing_banter","썰렁한 농담"
"specials.name.depth_blast","깊숙한 폭발"
"specials.name.deranged_existence","광란의 존재"
"specials.name.desert_blessing","사막 축복"
"specials.name.destructive_strike","삼지창 찌르기"
"specials.name.deteriorating_morale","사기 저하"
"specials.name.devastating_slash","치명적인 슬래시"
"specials.name.devastating_thrust","압도적인 찌르기"
"specials.name.dewling_strike","듀링의 일격"
"specials.name.dewling_sweep","듀링의 휩쓸기"
"specials.name.dewling_warcry","듀링의 전투 포효"
"specials.name.dig_a_hole","구멍 파기"
"specials.name.dinner_with_the_beast","야수와의 저녁식사"
"specials.name.dire_ghost","끔찍한 유령"
"specials.name.directors_blessing","감독의 축복"
"specials.name.directors_blessing_pve","감독의 축복"
"specials.name.disabling_decree","천명 무력화"
"specials.name.disabling_study","학습 비활성화"
"specials.name.disarming_gaze_dragon_pve","무장해제의 눈길"
"specials.name.disheartening_riddle","실망스러운 수수께끼"
"specials.name.dishonorable_ploy","불명예스러운 술책"
"specials.name.disir_of_dreams","디시르의 꿈"
"specials.name.disir_of_dusk","황혼의 디시르"
"specials.name.dispelling_curse","저주 해제"
"specials.name.dispelling_judgement","편견 버리기"
"specials.name.dispelling_potion","해제 물약"
"specials.name.dispelling_strike","일격 해제"
"specials.name.dispelling_willpower","의지의 해제"
"specials.name.dispelling_willpower_pve","의지의 해제"
"specials.name.disquieting_tune","불쾌한 곡조"
"specials.name.disrupting_charge","저지 돌격"
"specials.name.disrupting_charge_costume_tiger_lord","파괴 돌격"
"specials.name.divine_connection","성스러운 연결"
"specials.name.divine_current","신성한 흐름"
"specials.name.divine_light1","신성한 빛"
"specials.name.divine_lunge","신성한 도약"
"specials.name.divine_protection","성스러운 보호"
"specials.name.divine_protection_deadly","성스러운 보호"
"specials.name.divine_reflection","성스러운 반향"
"specials.name.divine_reversal","신성한 반전"
"specials.name.dizzying_strike","아찔한 일격"
"specials.name.donut_to_the_rescue","도넛을 구해줘요!"
"specials.name.doomrend","둠렌드"
"specials.name.doomstrike","멸망의 일격"
"specials.name.double_flail_mayhem","더블 플레일 대참사"
"specials.name.double_strike","더블 스트라이크"
"specials.name.doublebarreled_starstick","더블 배럴 스타스틱"
"specials.name.dozy_mead","몽롱한 벌꿀주"
"specials.name.dragon_autumn_blaze","가을의 불꽃"
"specials.name.dragon_blaze_of_fatigue","피로의 불길"
"specials.name.dragon_blaze_of_mortality","필사의 불길"
"specials.name.dragon_blaze_of_protection","보호의 불길"
"specials.name.dragon_blaze_of_suppression","억압의 불꽃"
"specials.name.dragon_blaze_of_the_hydra","히드라의 불길"
"specials.name.dragon_blaze_of_the_undying","불멸의 불꽃"
"specials.name.dragon_blaze_of_torment","고통의 불길"
"specials.name.dragon_blazing_inferno","불타는 화염"
"specials.name.dragon_blazing_storm","화염 폭풍"
"specials.name.dragon_blinding_blaze","눈부신 불꽃"
"specials.name.dragon_blinding_blaze_duskwing","눈부신 불꽃"
"specials.name.dragon_blinding_blaze_jawbreaker","눈부신 불꽃"
"specials.name.dragon_blinding_blaze_wildheart","눈부신 불꽃"
"specials.name.dragon_breath_of_bulwark","방벽의 숨결"
"specials.name.dragon_breath_of_compassion","연민의 숨결"
"specials.name.dragon_breath_of_nourishment","영양의 숨결"
"specials.name.dragon_breath_of_retribution","응징의 숨결"
"specials.name.dragon_breath_of_revival","회생의 숨결"
"specials.name.dragon_cauterizing_blaze","정화의 불꽃"
"specials.name.dragon_charring_blaze","타오르는 불길"
"specials.name.dragon_claws","용의 발톱"
