"specials.name.a_cozy_break","Eine gemütliche Pause"
"specials.name.aether_mimic_bite_yellow","Verzehrender Biss"
"specials.name.age_old_antlers","Altes Geweih"
"specials.name.aggravating_gaze","Unangenehmer Blick"
"specials.name.alchemy_experiment","Alchemie-Experiment"
"specials.name.alpha_roar","Alpha-Gebrüll"
"specials.name.amazing_deals","Unglaubliche Angebote"
"specials.name.amazing_deals_clearance_sale","Räumungsverkauf"
"specials.name.amazing_deals_dull_swords","Stumpfe Schwerter"
"specials.name.amazing_deals_questionable_snake_oil","Fragwürdiges Schlangenöl"
"specials.name.amphibian_sword_sting","Amphibien-Schwerttreffer"
"specials.name.amphibious_assault","Amphibienangriff"
"specials.name.ancient_dragon_sword","Antikes Drachenschwert"
"specials.name.ancient_enchantment","Alte Verzauberung"
"specials.name.ancient_flames","Uralte Flammen"
"specials.name.ancient_martial_arts","Uralte Kampfkunst"
"specials.name.ancient_mirror","Uralter Spiegel"
"specials.name.ancient_ritual","Uraltes Ritual"
"specials.name.ancient_spell","Uralter Zauber"
"specials.name.ancient_technology","Uralte Technologie"
"specials.name.ancient_vengeance","Antike Rache"
"specials.name.anger_of_forest","Zorn des Waldes"
"specials.name.anger_of_the_jester","Zorn des Narren"
"specials.name.anger_of_the_woods","Zorn der Wälder"
"specials.name.anger_of_the_woods_pve","Zorn der Wälder"
"specials.name.angry_boar","Wütender Eber"
"specials.name.angry_boar_pve","Wütender Eber"
"specials.name.anthem_of_the_lake","Hymne des Sees"
"specials.name.aphotic_maw","Aphotischer Schlund"
"specials.name.aphotic_whisper","Aphotisches Flüstern"
"specials.name.apothecary_kit","Apothekerset"
"specials.name.aquatic_dance","Aquatischer Tanz"
"specials.name.aquatic_outbreak","Aquatischer Ausbruch"
"specials.name.arcane_blast","Arkanes Geschoss"
"specials.name.arcane_shock","Arkaner Schock"
"specials.name.archaic_dread","Archaischer Schrecken"
"specials.name.archaic_sacred_symbol","Archaisches heiliges Symbol"
"specials.name.arctic_breeze","Arktische Brise"
"specials.name.arctic_guard","Arktische Wache"
"specials.name.arctic_veil","Arktischer Schleier"
"specials.name.arctic_wound","Arktische Wunde"
"specials.name.arrow_of_desire","Pfeil des Begehrens"
"specials.name.arrow_of_nujalik","Pfeil von Nujalik"
"specials.name.arrows_and_claws","Pfeile und Klauen"
"specials.name.arrows_of_altruism_liora","Pfeile der Nächstenliebe"
"specials.name.arrows_of_frost","Frostpfeile"
"specials.name.arrows_of_fury","Pfeile der Wut"
"specials.name.artful_backstab","Raffinierter Rückschlag"
"specials.name.artful_recreation","Reparaturmeisterwerk"
"specials.name.artisans_shot","Kunstfertiger Schuss"
"specials.name.ashes_to_ashes","Asche zu Asche"
"specials.name.assassins_blades","Mörderklingen"
"specials.name.assassins_in_the_night","Mörder in der Nacht"
"specials.name.assassins_in_the_night_pve","Mörder in der Nacht"
"specials.name.asterius","Brutaler Bullenlauf"
"specials.name.astral_assistance","Astralassistenz"
"specials.name.astral_brew","Astralgebräu"
"specials.name.astral_dominion","Astralherrschaft"
"specials.name.astral_gemstones","Astraljuwelen"
"specials.name.astral_myrrh","Astralmyrrhe"
"specials.name.astral_orb","Astralkugel"
"specials.name.astral_pastries","Astral-Leckereien"
"specials.name.astral_provocation","Astralprovokation"
"specials.name.astral_summon","Astral-Beschwörung"
"specials.name.athenas_arrow","Athenas Pfeil"
"specials.name.athenas_bow","Athenas Bogen"
"specials.name.atlantean_blade","Atlantisches Schwert"
"specials.name.atlantean_blade_costume","Atlantische Klinge"
"specials.name.atlantean_charge","Atlantischer Sturm"
"specials.name.atlantean_toon_spear","Atlantischer Toon-Speer"
"specials.name.atlantean_toon_sword","Atlantisches Toon-Schwert"
"specials.name.attack_rally","Gemeinsamer Angriff"
"specials.name.aura_of_twilight","Aura der Dämmerung"
"specials.name.aura_wave","Aurawelle"
"specials.name.autumnal_wind","Herbstwind"
"specials.name.avenger_of_mothkind","Mottenrächer"
"specials.name.awaken_ki","Ki erwecken"
"specials.name.awe_bolt","Giftkeil"
"specials.name.axe_of_retribution","Axt der Vergeltung"
"specials.name.axe_throw","Axtwurf"
"specials.name.azurelight_greatsword","Azurleichtes Großschwert"
"specials.name.backstab","Meuchelangriff"
"specials.name.bad_fortune","Pech"
"specials.name.bag_of_necessities","Beutel der Grundausstattung"
"specials.name.bagh_nakh_thrust","Baghnakh-Hieb"
"specials.name.bakers_baguettes","Baguettes des Bäckers"
"specials.name.balanced_teamwork","Ausgeglichene Teamarbeit"
"specials.name.ballad_of_attraction","Ballade der Anziehung"
"specials.name.ballad_of_condemnation","Ballade der Verdammnis"
"specials.name.ballad_of_obsession","Ballade der Besessenheit"
"specials.name.ballad_of_pain","Ballade der Pein"
"specials.name.ballad_of_passion","Ballade der Leidenschaft"
"specials.name.ballad_of_purple_swan","Ballade vom dunklen Schwan"
"specials.name.ballad_of_restoration","Ballade der Wiederherstellung"
"specials.name.ballad_of_the_purple_swan","Ballade vom dunklen Schwan"
"specials.name.bandalore_dance","Bandalore-Tanz"
"specials.name.barb_sting_dragon_pve","Stachelstich"
"specials.name.barbed_arrows","Stacheldrahtpfeile"
"specials.name.barbed_bolt_zidane","Spitzer Bolzen"
"specials.name.bark_of_protection","Schutzrinde"
"specials.name.basilisk_breath","Basiliskhauch"
"specials.name.battering_ram","Rammbock"
"specials.name.battle_boast","Kampfprahlerei"
"specials.name.battleclaw_strike","Kampfklauenschlag"
"specials.name.beach_party","Strandparty"
"specials.name.beautiful_petals","Wunderschöne Blüten"
"specials.name.bee_bombast","Bienen-Bombast"
"specials.name.bee_bravado","Bienen-Bravade"
"specials.name.beetle_strike","Käferangriff"
"specials.name.berserker_strike","Berserkerschlag"
"specials.name.bewildering_riddle","Verwirrendes Rätsel"
"specials.name.bewitched_daggers","Verhexte Dolche"
"specials.name.binding_contract","Bindender Vertrag"
"specials.name.birch_blessing","Birkensegen"
"specials.name.bite_of_protection","Schutzbiss"
"specials.name.bites_of_disorientation","Bisse der Orientierungslosigkeit"
"specials.name.bitter_berry_blast_dragon_pve","Bitterbeeren-Bumm"
"specials.name.bizarre_mist","Seltsamer Nebel"
"specials.name.black_tassel_spear_sting","Schwarzer Quastenstecher"
"specials.name.black_tide","Schwarze Flut"
"specials.name.blade_barrage","Klingensturm"
"specials.name.blade_dance","Klingen auf der Tanzfläche"
"specials.name.blade_of_betrayal","Klinge des Verrats"
"specials.name.blade_of_bundelkhand","Bundelkhand-Klinge"
"specials.name.blade_of_horrid_affliction","Klinge des schrecklichen Gebrechens"
"specials.name.blade_tail_swipe","Klingenschwanzschlag"
"specials.name.blade_venom","Vergiftete Klingen"
"specials.name.blade_wings","Klingenschwingen"
"specials.name.blazing_beak","Schnabelhieb"
"specials.name.blazing_corolla","Lodernde Blumenkrone"
"specials.name.blazing_inferno","Flammendes Inferno"
"specials.name.blazing_rave_dance","Flammender Rave"
"specials.name.blazing_slam_dunk","Flammender Slam-Dunk"
"specials.name.blazing_venom","Flammendes Gift"
"specials.name.bleed_inducing_daggers","Blutungsauslösende Dolche"
"specials.name.bleeding_edge","Blutende Schneide"
"specials.name.bleeding_hammer","Bluthammer"
"specials.name.bleeding_stab","Aderlass"
"specials.name.bleeding_thrust","Blutender Hieb"
"specials.name.blessed_blade","Gesegnete Klingen"
"specials.name.blessed_blade_pve","Gesegnete Klingen"
"specials.name.blessed_brew","Weihwasser"
"specials.name.blessed_solo","Gesegnetes Solo"
"specials.name.blessed_tankard","Gesegneter Krug"
"specials.name.blessing_from_the_future","Segen der Zukunft"
"specials.name.blessing_of_gjallarhorn","Gjallarhorn-Geschenk"
"specials.name.blessing_of_the_evergrove","Segen des Ewighains"
"specials.name.blessing_of_the_skies","Segen des Himmels"
"specials.name.blind_rage","Blinde Wut"
"specials.name.blinding_attack","Blendender Angriff"
"specials.name.blinding_curse","Fluch der Blindheit"
"specials.name.blinding_flash","Greller Blitz"
"specials.name.blinding_flash_s4","Greller Blitz"
"specials.name.blinding_injustice","Blendende Ungerechtigkeit"
"specials.name.blinding_knowledge","Blendendes Wissen"
"specials.name.blinding_light","Blendendes Licht"
"specials.name.blinding_orb","Blendende Kugel"
"specials.name.blinding_pounce","Blendender Sprung"
"specials.name.blinding_spell","Blendender Zauber"
"specials.name.blinding_spit","Blendende Spucke"
"specials.name.blinding_stinger","Blendender Stich"
"specials.name.blinding_strike","Blendender Schlag"
"specials.name.blinding_wisdom","Blendende Weisheit"
"specials.name.blizzard","Schneesturm"
"specials.name.blizzard_roar","Schneesturmgebrüll"
"specials.name.blob_of_fury","Tropfen der Wut"
"specials.name.blood_illusion","Blutillusion"
"specials.name.blood_petals_of_the_withered","Blutblüten"
"specials.name.blood_sacrifice","Bluthieb"
"specials.name.bloodthirst","Blutdurst"
"specials.name.blooming_growth","Blühendes Wachstum"
"specials.name.bludgeoning","Verprügeln"
"specials.name.blue_lizard_charge","Angriff der blauen Tarneidechse"
"specials.name.blue_shroom_wand","Blauer Pilzstab"
"specials.name.blur_of_steel","Verschwommener Stahl"
"specials.name.blur_of_steel_pve","Verschwommener Stahl"
"specials.name.boar_call","Wildschweinruf"
"specials.name.boar_charge","Keilerangriff"
"specials.name.boar_of_fury","Wildschwein des Zorns"
"specials.name.boat_ride_from_the_beyond","Fähre aus dem Jenseits"
"specials.name.bobo_blitz","Bobo-Blitz"
"specials.name.bolstering_rush","Unterstützender Ansturm"
"specials.name.bond_of_avarice","Fessel des Geizes"
"specials.name.bone_arrow","Knochenpfeil"
"specials.name.bone_club_clonk","Knochenknüppelschlag"
"specials.name.bone_club_party","Knochenknüppelparty"
"specials.name.bone_ritual","Knochenritual"
"specials.name.bone_slam","Knochenschlag"
"specials.name.bone_toss","Fliegende Knochen"
"specials.name.booming_mend","Florierende Genesung"
"specials.name.boon_of_gjallarhorn","Segen von Gjallarhorn"
"specials.name.boopstrike","Stupsschlag"
"specials.name.boreal_bash","Nordschlag"
"specials.name.boulder_smash","Felsstoß"
"specials.name.bound_by_knowledge","Von Wissen gebunden"
"specials.name.bound_by_tales","Gefesselt von Geschichten"
"specials.name.bounty_of_the_spring","Frühlingssegen"
"specials.name.bouquet_of_the_seas","Blumenstrauß der Meere"
"specials.name.brain_link","Hirnverbindung"
"specials.name.branded_by_fire","Vom Feuer gezeichnet"
"specials.name.break_free","Ausbrechen"
"specials.name.break_strike","Bruchschlag"
"specials.name.breaker_blade","Brecherklinge"
"specials.name.breaker_blade_pve","Brecherklinge"
"specials.name.breath_of_darkness","Atem der Dunkelheit"
"specials.name.breath_of_life","Lebensatem"
"specials.name.breath_of_the_abyss","Atem des Abgrunds"
"specials.name.brew_of_the_centaurs","Gebräu der Zentauren"
"specials.name.brides_kiss","Kuss der Braut"
"specials.name.brilliant_brew","Geniales Gebräu"
"specials.name.brilliant_sweep_dragon_pve","Geniales Fegen"
"specials.name.bringer_of_order","Bringer der Ordnung"
"specials.name.brittling_burst","Zerbröselnde Salve"
"specials.name.brittling_force","Zerbrechende Kraft"
"specials.name.brittling_strike","Spröder Schlag"
"specials.name.bruiser_bros","Bruiser Bros"
"specials.name.brutal_bull_rush","Brutaler Bullenlauf"
"specials.name.brutal_support","Brutale Unterstützung"
"specials.name.buccaneers_blade","Piratenklinge"
"specials.name.bugs_shell","Käferpanzer"
"specials.name.building_blocks_bulklug","Bausteine"
"specials.name.bulwark_charge","Bollwerk-Angriff"
"specials.name.burning_ashes","Brennende Asche"
"specials.name.burning_ashes2","Brennende Asche"
"specials.name.burning_chains","Brennende Ketten"
"specials.name.burning_claws_dragon_pve","Brennende Klauen"
"specials.name.burning_javelin","Brennender Wurfspeer"
"specials.name.burning_pollen_dragon_pve","Flammenschwingen"
"specials.name.burning_shields","Brennende Schilde"
"specials.name.burning_spin","Brennender Dreh"
"specials.name.burning_strike","Flammenhieb"
"specials.name.burning_thread","Brennender Faden"
"specials.name.burning_wok","Brennender Wok"
"specials.name.but_a_scratch","Nur ein Kratzer"
"specials.name.butterfly_swarm","Schmetterlingsschwarm"
"specials.name.call_of_the_elements","Ruf der Elemente"
"specials.name.call_to_arms","Ruf zu den Waffen"
"specials.name.calling_the_bluff","Den Bluff durchschaut"
"specials.name.calm_jab_dragon_pve","Ruhiger Stoß"
"specials.name.calming_mist","Nebel der Besänftigung"
"specials.name.camouflage_foliage","Tarnblätter"
"specials.name.candy_vines","Bonbonranken"
"specials.name.cannibalizing_munch","Kannibalenbiss"
"specials.name.cannon_blast","Kanonensprengung"
"specials.name.cannonball_splash","Arschbomben-Spritzer"
"specials.name.capsicum_charge","Paprika-Ansturm"
"specials.name.captains_cutlass","Kapitänssäbel"
"specials.name.captivating_illusions","Fesselnde Illusionen"
"specials.name.carnivore_garden","Fleischfressergarten"
"specials.name.carve_a_hole","Lochgrabung"
"specials.name.carve_the_bones","Die Knochen schnitzen"
"specials.name.cascading_darkness","Kaskadenhafte Dunkelheit"
"specials.name.cascading_whirlwind","Kaskaden-Wirbelwind"
"specials.name.cataclysmic_divination","Kataklysmische Weissagung"
"specials.name.catnip_fury","Katzenminze-Wut"
"specials.name.cauterizing_flame","Brenneisenflamme"
"specials.name.cauterizing_touch","Ätzende Berührung"
"specials.name.cavalier_hat_of_dark_realm","Reiterhut des Schattenreiches"
"specials.name.celestial_anvil","Himmelsamboss"
"specials.name.ceremonial_dance","Zeremonieller Tanz"
"specials.name.ceremonial_katar","Zeremoniekatar"
"specials.name.chain_blasm_strike","Kettensprengschlag"
"specials.name.chain_lightning","Kettenblitz"
"specials.name.chain_of_pain","Schmerzkette"
"specials.name.chain_strike","Kettenschlag"
"specials.name.chains_of_legion","Ketten der Legion"
"specials.name.chains_of_light","Ketten des Lichts"
"specials.name.chakram_kick","Chakram-Tritt"
"specials.name.challenge_the_strongest","Fordere den Stärksten heraus"
"specials.name.champagne_hammer","Flaschenhammer"
"specials.name.champion_maneuver","Championmanöver"
"specials.name.championship_carrot","Meisterschaftsbelohnung"
"specials.name.change_stance","Schnitt des Glücksspielers"
"specials.name.channel_ki","Ki kanalisieren"
"specials.name.channeler_of_the_cats","Beschwörer der Katzen"
"specials.name.channeler_of_the_gods","Beschwörer der Götter"
"specials.name.chaos_bolt_volley","Chaos-Blitzsalve"
"specials.name.chaos_venom","Chaosgift"
"specials.name.charged_fireball_dragon_pve","Aufgeladener Feuerball"
"specials.name.charm_of_protection","Schutztalisman"
"specials.name.charmed_dual_blade","Verzauberte Doppelklinge"
"specials.name.charmers_blades","Zaubererklingen"
"specials.name.cheerful_charm","Fröhlicher Zauber"
"specials.name.cheese_wheel_rampage","Käserad-Randale"
"specials.name.cherry_pudding_served","Servierfertiger Kirschpudding!"
"specials.name.chieftains_vengeance","Vergeltung des Häuptlings"
"specials.name.chilling_counterattack","Erschreckender Gegenangriff"
"specials.name.chilling_slash","Eishieb"
"specials.name.chitin_cage","Chitingefängnis"
"specials.name.chords_of_distortion","Akkorde der Verzerrung"
"specials.name.chords_of_havoc","Akkorde der Verwüstung"
"specials.name.chords_of_inferno","Saiten des Infernos"
"specials.name.claw_power","Goblin-Wut"
"specials.name.claw_swipe","Klauenhieb"
"specials.name.claws_of_fury","Klauen der Wut"
"specials.name.claws_of_the_hunter","Klauen des Jägers"
"specials.name.claws_of_the_lioness","Krallen der Löwin"
"specials.name.claws_of_the_night","Klauen der Nacht"
"specials.name.claws_of_the_night_ultimate_boss","Klauen der Nacht"
"specials.name.cleansing_determination","Reinigende Entschlossenheit"
"specials.name.cleansing_determination_pve","Reinigende Entschlossenheit"
"specials.name.cleansing_strike","Reinigender Schlag"
"specials.name.cleave_and_reflect","Spalten und reflektieren"
"specials.name.cleave_counter","Spalten und Parieren"
"specials.name.clever_stratagem","Clevere Strategie"
"specials.name.cloak_of_feathers","Federmantel"
"specials.name.close_order_formation","Enge Formation"
"specials.name.cloth_of_constellations","Tuch der Konstellationen"
"specials.name.cloud_axe","Wolkenaxt"
"specials.name.cloud_hammer","Wolkenhammer"
"specials.name.clowns_blessing","Segen des Clowns"
"specials.name.coastal_recharge","Küstenladung"
"specials.name.coiling_whip","Wickelpeitsche"
"specials.name.coins_of_pain","Münzen des Schmerzes"
"specials.name.cold_blast","Schneesturm"
"specials.name.cold_blast_single","Eisstoß"
"specials.name.cold_command","Kaltes Kommando"
"specials.name.cold_fire","Kaltes Feuer"
"specials.name.colossal_bite","Gewaltiger Biss"
"specials.name.colossal_carry","Kolossaler Träger"
"specials.name.colossal_chops","Gewaltiger Hieb"
"specials.name.comet","Brennender Strahl"
"specials.name.command_pack","Kommandiere die Gruppe"
"specials.name.command_sand_golems","Kommandiere die Sandgolems"
"specials.name.command_to_advance","Befehl zum Vorrücken"
"specials.name.command_to_advance_costume_fire_bat","Befehl zum Vorrücken"
"specials.name.commanders_gauntlet","Kommandantenhandschuh"
"specials.name.commodores_malice","Bosheit des Kommodores"
"specials.name.commodores_revenge","Kommodores Vergeltung"
"specials.name.compact_lance","Kompaktlanze"
"specials.name.concussive_charge","Erschütterungsangriff"
"specials.name.confident_strategy","Selbstbewusste Strategie"
"specials.name.conjure_the_azure_spirit","Beschwöre den Azurgeist"
"specials.name.connect_ki","Ki verbinden"
"specials.name.connect_ki_pve","Ki verbinden"
"specials.name.conquerors_command","Befehl des Eroberers"
"specials.name.constellation_crush","Gedränge der Konstellationen"
"specials.name.corals_of_nourishment","Korallen der Nahrung"
"specials.name.core_beam","Kernstrahl"
"specials.name.core_blast","Kernsprengung"
"specials.name.core_burst","Kernbruch"
"specials.name.corroding_cutlass","Zersetzungssäbel"
"specials.name.corrosive_acid","Zersetzende Säure"
"specials.name.corrosive_burn_claws_dragon_pve","Ätzende Brennklauen"
"specials.name.corrosive_claws_dragon_pve","Ätzende Giftklauen"
"specials.name.corrosive_pollen","Zersetzende Pollen"
"specials.name.corrupting_idol","Verderbender Götze"
"specials.name.cosmic_clock","Kosmische Uhr"
"specials.name.cosmic_devotion","Kosmische Hingabe"
"specials.name.countering_hammock","Gegenhängematte"
"specials.name.counterstance","Konterhaltung"
"specials.name.couriers_dash","Botensprint"
"specials.name.cover_slam","Deckungsschlag"
"specials.name.covert_stab","Erbarmungsloser Stich"
"specials.name.cracked_skull_strike","Schädelknackerschlag"
"specials.name.crawling_vines","Kriechende Ranken"
"specials.name.crazed_lunge","Wirrer Angriff"
"specials.name.crazed_stampede","Verrückte Stampede"
"specials.name.creative_hands","Kreative Hände"
"specials.name.creeping_venom","Schleichendes Gift"
"specials.name.creeping_vines","Finsterranken"
"specials.name.crescent_moon_strike","Halbmondangriff"
"specials.name.crescent_shield","Halbmondschild"
"specials.name.crescent_spear","Halbmondspeer"
"specials.name.crimson_blade","Blutrote Klinge"
"specials.name.crimson_calamity","Blutrotes Unheil"
"specials.name.crimson_calamity2","Blutrotes Unheil"
"specials.name.crimson_hunt","Blutrote Jagd"
"specials.name.crippling_claws","Lähmende Klauen"
"specials.name.crippling_claws_pve","Lähmende Klauen"
"specials.name.crippling_grapple","Lähmendes Handgemenge"
"specials.name.critical_cookout","Kritisches Dinner"
"specials.name.critical_tactics","Kritische Taktik"
"specials.name.croc_bite","Krokobiss"
"specials.name.crush_of_avarice","Zorn der Gier"
"specials.name.crush_of_hel","Hels Stoß"
"specials.name.crush_of_malice","Stoß der Bösartigkeit"
"specials.name.crush_of_toon_hel","Toon-Hels Stoß"
"specials.name.crushing_claws","Zermalmende Klauen"
"specials.name.crushing_shot","Zermalmender Schuss"
"specials.name.crust_of_divinity","Schale der Heiligkeit"
"specials.name.cry_for_absolution","Ruf nach Absolution"
"specials.name.crystal_barrage","Kristallsalve"
"specials.name.crystal_bombardment","Kristallbeschuss"
"specials.name.crystal_embrace","Kristallumarmung"
"specials.name.crystalis","Frostkristall"
"specials.name.crystalline_strike","Kristallschlag"
"specials.name.cub_leader_cut","Junglöwenleiter-Schnitt"
"specials.name.cube_of_dark_realm","Würfel des Schattenreiches"
"specials.name.cult_of_arachnid","Arachnidkult"
"specials.name.cunning_knife","Hinterlistiges Messer"
"specials.name.cup_of_mead","Metbecher"
"specials.name.curse_of_sargasso","Fluch des Sargasso"
"specials.name.curse_of_the_cephaloid","Fluch des Kopfförmigen"
"specials.name.curse_of_the_depths","Fluch der Tiefen"
"specials.name.curse_of_the_sea","Fluch des Meeres"
"specials.name.curse_of_the_specter","Fluch des Geistes"
"specials.name.curse_of_the_specter_pve","Fluch des Geistes"
"specials.name.cursed_fumes","Verfluchte Dämpfe"
"specials.name.cursed_fumes2","Verfluchte Dämpfe"
"specials.name.cursed_garden","Verfluchter Garten"
"specials.name.cursed_painting","Verfluchtes Gemälde"
"specials.name.cursed_plan","Verfluchter Plan"
"specials.name.cursed_strike","Fluchhieb"
"specials.name.cursed_tail_whip","Verfluchte Schwanzpeitsche"
"specials.name.cut_cure_and_craze","Verwunden, verarzten, verrückt machen"
"specials.name.cut_down_the_competition","Mach die Konkurrenz platt"
"specials.name.cute_and_dangerous","Süß und gefährlich"
"specials.name.cuts_of_hulu","Hulu-Schnitte"
"specials.name.dagger_of_shadows","Dolch der Schatten"
"specials.name.dance_of_fire","Feuertanz"
"specials.name.dance_of_flame","Tanz der Flammen"
"specials.name.dance_of_glass","Glastanz"
"specials.name.dance_of_ignition","Funkentanz"
"specials.name.dance_of_siegfried","Siegfrieds Tanz"
"specials.name.dance_of_spirits","Tanz der Geister"
"specials.name.dance_of_the_dunes","Tanz der Dünen"
"specials.name.dance_of_the_heron","Tanz des Reihers"
"specials.name.dance_of_the_little_swan","Tanz des kleinen Schwans"
"specials.name.dance_of_the_queen","Tanz der Königin"
"specials.name.dance_of_the_raven","Tanz des Schwarzen Schwans"
"specials.name.dance_of_the_slimy","Tanz der Schleimigen"
"specials.name.dance_of_the_swan","Tanz des Schwans"
"specials.name.dance_of_the_yellow_swan","Tanz des Licht-Schwans"
"specials.name.dance_of_toons","Tanz der Toons"
"specials.name.dancestance","Tanzhaltung"
"specials.name.dancing_dodge","Tanzendes Ausweichen"
"specials.name.dancing_slash","Tanzhieb"
"specials.name.dantes_inferno","Dantes Inferno"
"specials.name.dark_barrage","Schattensalve"
"specials.name.dark_bolt","Dunkler Bolzen"
"specials.name.dark_lord","Verderbensschlag"
"specials.name.dark_mirror","Flammenspiegel"
"specials.name.dark_orb","Dunkle Kugel"
"specials.name.dark_shock","Dunkler Schock"
"specials.name.darts_of_the_deep","Pfeile aus der Tiefe"
"specials.name.dauntless_bladestorm","Kühner Klingensturm"
"specials.name.dawn_strike","Dämmerschlag"
"specials.name.dawnlight_rally","Zusammenkunft im Morgenlicht"
"specials.name.day_of_judgement","Tag des Urteils"
"specials.name.day_of_reckoning","Tag der Abrechnung"
"specials.name.dazzling_gleam","Schillernder Glanz"
"specials.name.dazzling_grin","Umwerfendes Grinsen"
"specials.name.dazzling_sweep_dragon_pve","Bezauberndes Fegen"
"specials.name.deadly_claw","Tödliche Klaue"
"specials.name.deadly_constriction","Tödliche Verengung"
"specials.name.deadly_riposte","Tödlicher Konter"
"specials.name.deadly_sting","Tödlicher Stich"
"specials.name.deafening_parade","Ohrenbetäubende Parade"
"specials.name.deathly_glaive","Tödliche Gleve"
"specials.name.deathstrike","Todesstoß"
"specials.name.debt_drain_boboosang","Schuldenentzug"
"specials.name.deceiving_glow","Täuschungsglanz"
"specials.name.deceptive_smalltalk","Trügerischer Smalltalk"
"specials.name.deep_sea_ritual","Tiefseeritual"
"specials.name.defensive_tactics","Defensivtaktik"
"specials.name.delay_the_inevitable","Hinauszögern des Unausweichlichen"
"specials.name.delicious_demise","Köstlicher Untergang"
"specials.name.delicious_idol","Leckeres Idol"
"specials.name.demolishing_crush","Vernichtendes Zerschmettern"
"specials.name.demoralizing_banter","Demoralisierendes Geplänkel"
"specials.name.depth_blast","Intensive Detonation"
"specials.name.deranged_existence","Gestörte Existenz"
"specials.name.desert_blessing","Wüstensegen"
"specials.name.destructive_strike","Dreizackschlag"
"specials.name.deteriorating_morale","Verschlechternde Moral"
"specials.name.devastating_slash","Vernichtender Schlag"
"specials.name.devastating_thrust","Vernichtender Stoß"
"specials.name.dewling_strike","Tauling-Angriff"
"specials.name.dewling_sweep","Tauling-Streich"
"specials.name.dewling_warcry","Tauling-Kriegsschrei"
"specials.name.dig_a_hole","Loch graben"
"specials.name.dinner_with_the_beast","Abendessen mit dem Biest"
"specials.name.dire_ghost","Grässlicher Geist"
"specials.name.directors_blessing","Direktorsegen"
"specials.name.directors_blessing_pve","Direktorsegen"
"specials.name.disabling_decree","Lähmender Erlass"
"specials.name.disabling_study","Lähmende Untersuchung"
"specials.name.disarming_gaze_dragon_pve","Entwaffnender Blick"
"specials.name.disheartening_riddle","Entmutigendes Rätsel"
"specials.name.dishonorable_ploy","Ehrloser Trick"
"specials.name.disir_of_dreams","Träume-Dise"
"specials.name.disir_of_dusk","Dämmerungs-Dise"
"specials.name.dispelling_curse","Entfernungsfluch"
"specials.name.dispelling_judgement","Urteil ausräumen"
"specials.name.dispelling_potion","Entfernungstrank"
"specials.name.dispelling_strike","Bannender Schlag"
"specials.name.dispelling_willpower","Bannende Willensstärke"
"specials.name.dispelling_willpower_pve","Bannende Willensstärke"
"specials.name.disquieting_tune","Beunruhigende Melodie"
"specials.name.disrupting_charge","Störende Offensive"
