"herocard.passive_skill.description.addmana.all.allies","Kaikki liittolaiset saavat pienen määrän manaa."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","Tuottaa {DAMAGEPERTURN} vauriota kaikille vihollisen käskyläisille ja megakäskyläisille jokaisen vuoron alussa."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Kaikki tämän hahmon normaalihyökkäyksillä ja erikoistaidoilla tuottama vaurio kasvaa {DAMAGEINCREASEPERSTEP} % jokaista tällä hahmolla olevaa {INSANITYPERSTEP} hulluuspistettä kohti, yhteensä enintään {MAXDAMAGEINCREASE} %."
"herocard.passive_skill.description.dealtdamagemodifieragainststatuseffect.bloodlily.stacks.troop.specialskill.npcnormalattack.add_modifier_per_stack","Kaikki tämän hahmon normaaleilla hyökkäyksillä ja erikoistaidoilla tuottama vaurio kasvaa {MODIFIER} % jokaista kohteella olevaa verililja-kasaumaa kohti."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","Tämän sankarin joukot tuottavat ylimääräistä elementaalivauriota heikompaa elementtiä vastaan.

Tuotettu ylimääräinen elementaalivaurio: +{MODIFIER} %"
"herocard.passive_skill.description.debuffdamagereduction","Vaivojen aiheuttamaa vahinkoa vähennetään {DAMAGEREDUCTION} %"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","Vaivojen aiheuttamaa vahinkoa vähennetään {DAMAGEREDUCTION} % tältä hahmolta."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","Tämän hahmon rakennelmaydin on tuhoydin.

Tuhoydin aktivoituu aina kun tämän hahmon erikoistaitoa käytetään:

 Täyteen ladattu tuhoydin tuottaa {CHARGEDPOWER1} % vauriota kaikille vihollisille. 
 Vaurio skaalautuu ytimessä olevan latauksen määrän mukaan. Lataus tyhjenee kokonaan, kun ydin aktivoituu."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","Hahmon vaivat puhdistetaan, kun hänen omistamansa käskyläinen tuhotaan."
"herocard.passive_skill.description.dodgespecialdamage","Tällä hahmolla on {CHANCE} %:n mahdollisuus väistää vauriota tekevät erikoistaidot."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","Kun tämä hahmo käyttää erikoistaitoaan, hänen kaikki riiviönsä tuhoutuvat."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Syö {TURNS} vuoron välein satunnaiselta viholliselta kaikki käskyläiset ja saa pienen määrän manaa jokaisesta syömästään käskyläisestä."
"herocard.passive_skill.description.effectondamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.specialskill.only_criticals.once","Kun tämä hahmo saa kriittisen osuman erikoistaidollaan, hän puhdistaa turvallisesti uusimman puhdistettavan vaivan kaikilta liittolaisilta. Tämä vaikutus voi aktivoitua kerran vuorossa."
"herocard.passive_skill.description.effectondamagedone.healthboost.all.allies.specialskill.only_criticals.once","Kun tämä hahmo saa kriittisen osuman erikoistaidollaan, hän tehostaa kaikkien liittolaistensa terveyttä {HEALTHBOOST} %. Tämä vaikutus voi aktivoitua kerran vuorossa."
"herocard.passive_skill.description.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill.single.allies.onceperturn"," Kun tämän hahmon erikoistaito osuu hahmoon, jonka nykyinen terveys on korkeampi, tämä hahmo saa {PASSIVESKILL1HEALTHBOOST} % tehostettua terveyttä.
 Kun hahmo, jonka nykyinen terveys on korkeampi, iskee tätä hahmoa erikoistaidolla, tämä hahmo saa {PASSIVESKILL2POWER} % manaa.
Kukin näistä vaikutuksista voi aktivoitua kerran vuorossa."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","Kun tämä hahmo kärsii vauriota erikoistaidoista, hän saa {POWER} % manaa."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","Kun tämä hahmo kärsii suoraa vauriota erikoistaidoista tai normaaleista hyökkäyksistä, hän saa pienen määrän manaa. 
 Enintään {MAXMANAGAINPERTURN} % manaa vuorossa."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","Kun tämä hahmo kärsii vauriota erikoistaidoista tai suojatun hahmon sijaan, hänellä on {CHANCE} %:n mahdollisuus tuottaa {POWER} % kärsimästään vauriosta kaikille vihollisille."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","Kun tämä hahmo kärsii vauriota erikoistaidoista, hän saa {STATUSEFFECT1ATTACK} %:n hyökkäyskasauman (maksimi: {STATUSEFFECT1MAXSTACK}). Vain yksi kasauma vuoroa kohti."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","Kun tämä hahmo kärsii vauriota erikoistaidoista, hän saa {STATUSEFFECT1ATTACK} %:n hyökkäyskasauman (maksimi: {STATUSEFFECT1MAXSTACK}). Vain yksi kasauma vuoroa kohti."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Kun liittolainen yrittää puhdistaa erikoistaidolla, kaikki liittolaiset saavat {POWER} tehostettua terveyttä. Tämä vaikutus voi aktivoitua vain kerran vuorossa."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Kun vihollinen yrittää puhdistaa erikoistaidolla, kaikki viholliset saavat {POWER} vauriota. Tämä vaikutus voi aktivoitua vain kerran vuorossa."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","Hahmo saa {POWER} % manaa joka kerta, kun häneltä häivytetään tehoste. Vaikutus voi aktivoitua vain kerran vuorossa."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Hahmo saa {POWER} % terveyttä aina kun jokin hänellä oleva vaiva vanhenee, puhdistetaan, poistetaan tai siirretään. Vaikutus voi aktivoitua vain kerran vuorossa."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","Hahmolla on {CHANCE} %:n mahdollisuus saada {POWER} % terveyttä aina kun jokin hänellä oleva vaiva vanhenee, puhdistetaan, poistetaan tai siirretään. Vaikutus voi aktivoitua vain kerran vuorossa."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","Hahmo saa {POWER} tehostettua terveyttä joka kerta, kun hahmolta häivytetään tehoste. Vaikutus voi aktivoitua vain kerran vuorossa."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","Jokainen osuma hahmon omistamilta käskyläisiltä tuottaa {DAMAGE} jäävauriota {TURNS} vuoron aikana."
"herocard.passive_skill.description.effectonheal.addmana","Tämä hahmo saa {POWER} % manaa aina kun hän saa terveyttä takaisin."
"herocard.passive_skill.description.effectonheal.heal","Tämä hahmo saa {POWER} % terveyttä aina kun hän saa terveyttä takaisin."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","Tämä hahmo saa {POWER} % terveyttä aina kun hän saa terveyttä takaisin."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Tämä hahmo saa {HEALTHBOOST} % tehostettua terveyttä ja {MANA} % manaa onnistuneesta vastustuksesta."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Tämä hahmo saa {POWER} % manaa aina kun vihollinen käyttää suoraan terveyttä tehostavaa erikoistaitoa."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","Tämä hahmo saa {POWER} tehostettua terveyttä aina kun vihollinen käyttää suoraan terveyttä tehostavaa erikoistaitoa."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","{CHANCE} %:n mahdollisuus seuraaviin toimintoihin, kun tämä hahmo käyttää erikoistaitoaan:"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","Kun tämä hahmo saa kriittisen osuman erikoistaidollaan, hän puhdistaa turvallisesti uusimman puhdistettavan vaivan kaikilta liittolaisilta."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","Kun tämä hahmo saa kriittisen osuman erikoistaidollaan, hän tehostaa kaikkien liittolaistensa terveyttä {HEALTHBOOST} %."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","Kun tämä hahmo saa kriittisen osuman erikoistaidollaan, hän tehostaa kaikkien liittolaistensa terveyttä {HEALTHBOOST} %."
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","Kun vihollinen loitsii erikoistaitonsa, tällä hahmolla on {CHANCE} %:n mahdollisuus tehostaa tämän hahmon terveyttä {HEALTHBOOST}."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","Kun tämä hahmo käyttää erikoistaitoaan, hänellä on {CHANCE} %:n mahdollisuus antaa {POWER} % manaa kaikille liittolaisille. Jos erikoistaito on ladattu täyteen, mahdollisuus on {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","Kun tämä hahmo käyttää erikoistaitoaan, hänellä on {CHANCE} %:n mahdollisuus antaa {POWER} % manaa kaikille liittolaisille, jotka eivät ole jääelementtiä. Jos erikoistaito on ladattu täyteen, mahdollisuus on {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","Kun tämä hahmo käyttää erikoistaitoaan, hän häivyttää uusimman tilaefektitehosteen kaikilta vihollisilta."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","Kun tämä hahmo käyttää erikoistaitoaan, hän puhdistaa uusimman vaivan kaikilta liittolaisilta."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","Kun tämä hahmo käyttää erikoistaitoaan, hänellä on {CHANCE} %:n mahdollisuus antaa {POWER} % vahinkoa kaikille vihollisille. Jos erikoistaito on ladattu täyteen, mahdollisuus on {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","Kun tämä hahmo käyttää erikoistaitoaan, hänellä on {CHANCE} %:n mahdollisuus antaa {POWER} % vahinkoa kaikille vihollisille, jotka eivät ole pimeyden elementtiä. Jos erikoistaito on ladattu täyteen, mahdollisuus on {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","Kun tämä hahmo käyttää erikoistaitoaan, hänellä on {CHANCE} %:n mahdollisuus antaa {POWER} % vahinkoa kaikille vihollisille, jotka eivät ole tulielementtiä. Jos erikoistaito on ladattu täyteen, mahdollisuus on {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","Kun tämä hahmo käyttää erikoistaitoaan, hänellä on {CHANCE} %:n mahdollisuus palauttaa {POWER} % terveyttä kaikille liittolaisille. Jos erikoistaito on ladattu täyteen, mahdollisuus on {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","Kun tämä hahmo käyttää erikoistaitoaan, hänellä on {CHANCE} %:n mahdollisuus palauttaa {POWER} % terveyttä kaikille liittolaisille, jotka eivät ole luontoelementtiä. Jos erikoistaito on ladattu täyteen, mahdollisuus on {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","Kun tämä hahmo käyttää erikoistaitoaan, hänellä on {CHANCE} %:n mahdollisuus palauttaa {POWER} % terveyttä kaikille liittolaisille, jotka eivät ole tulielementtiä. Jos erikoistaito on ladattu täyteen, mahdollisuus on {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","Kun tämä hahmo käyttää erikoistaitoaan, hänellä on {CHANCE} %:n mahdollisuus palauttaa {POWER} % terveyttä kaikille liittolaisille, jotka eivät ole pyhää elementtiä. Jos erikoistaito on ladattu täyteen, mahdollisuus on {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","Kun tämä hahmo käyttää erikoistaitoaan, hän tehostaa kaikkien liittolaistensa terveyttä {POWER} %."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","Jos vihollinen, jonka mananopeus on vähintään keskiverto, käyttää erikoistaitoa, kaikki viholliset kärsivät {DAMAGE} vauriota. Vaikutus voi aktivoitua vain kerran vuorossa."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Aina kun vihollinen saa Piikittely-tilaefektin, tämän hahmon mana nousee {POWER} %."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Hahmo saa {POWER} % manaa, kun joku vihollinen saa puolustukseen vaikuttavan tilaefektin tehosteen. Vaikutus voi aktivoitua vain kerran vuorossa."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","Hahmo saa {POWER} % manaa, kun hän saa tehosteen tai positiivisen kasauman."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","Hahmo saa {POWER} % manaa, kun hän saa vaivan tai negatiivisen kasauman."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","Hahmo saa {POWER} % terveyttä, kun hän saa tehosteen tai positiivisen kasauman."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","Hahmo saa {POWER} % terveyttä, kun hän saa vaivan tai negatiivisen kasauman."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","Hahmo saa {POWER} terveyspistettä, kun hän saa vaivan tai negatiivisen kasauman."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","Hahmolla on {CHANCE} %:n mahdollisuus saada {POWER} % manaa, kun hän saa tehosteen tai positiivisen kasauman."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","Hahmolla on {CHANCE} %:n mahdollisuus saada takaisin {POWER} % terveyttä, kun hän saa tehosteen tai positiivisen kasauman."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","Hahmolla on {CHANCE} %:n mahdollisuus saada takaisin {POWER} % terveyttä, kun hän saa tehosteen tai positiivisen kasauman."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","Elvyttää kukistuneet lähellä olevat liittolaiset {TURNS} vuoron välein {POWER} % terveyteen."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","Saa pienen määrän manaa jokaista vihollisryhmällä kunkin vuoron alussa olevaa aktiivista tilaefektien tehostetta kohti (enintään {MAXSTATUSEFFECTCOUNT} tehostetta)."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","Tehostaa tämän hahmon ja lähellä olevien liittolaisten terveyttä {INCREMENTPERSTATUSEFFECT1} % jokaista myrkytyksestä kärsivää vihollista kohti kunkin vuoron alussa. Tehostettu terveys voi ylittää maksiterveyspisteet."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Kun liittolaiselle kutsutaan käskyläinen, tämä hahmo saa {POWER} % manaa. Tämä vaikutus voi aktivoitua vain kerran vuorossa."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Kun liittolaiselle kutsutaan käskyläinen, tämä hahmo saa {HEALTH} % terveyttä ja {MANA} % manaa. Tämä vaikutus voi aktivoitua vain kerran vuorossa."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Kun viholliselle kutsutaan riiviö, tämä hahmo saa {POWER} % manaa. Tämä vaikutus voi aktivoitua vain kerran vuorossa."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","Kun viholliselle kutsutaan riiviö, tämä hahmo tekee {DAMAGE} % vauriota kaikille vihollisille. Tämä vaikutus voi aktivoitua vain kerran vuorossa."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","Kun viholliselle kutsutaan riiviö, tämä hahmo saa {POWER} tehostettua terveyttä. Tämä vaikutus voi aktivoitua vain kerran vuorossa."
"herocard.passive_skill.description.extraactionsafterspecial","{CHANCE} %:n mahdollisuus ylimääräisiin toimintoihin, kun tämä hahmo käyttää erikoistaitoaan."
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","Kaikkien vihollisten käskyläiset saavat {MINIONMODIFIER} % tarkkuutta.
Kaikkien vihollisten megakäskyläiset saavat {MEGAMINIONMODIFIER} % tarkkuutta."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","Tämän hahmon rakennelmaydin on käskyläisydin.

Käskyläisydin aktivoituu aina kun tämän hahmon erikoistaitoa käytetään:

 Täysin ladattu käskyläisydin kutsuu kaikille liittolaisille tappajabottikäskyläisen, joka perii loitsijalta {FAMILIARHEALTHPERCENT} % terveyttä ja {FAMILIARATTACK} % hyökkäystä.
 Loitsijalta peritty terveys ja hyökkäys skaalautuvat ytimen latauksen mukaan. Ytimen lataus tyhjenee kokonaan, kun ydin aktivoituu.
 Ennen kuin tappajabottikäskyläinen osuu kohteeseen, se tuhoaa kohteen kaikki käskyläiset ja vaurioittaa sen megakäskyläisiä."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","Vihollisen megakäskyläisillä on {HEALTHMODIFIER} % terveyttä."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","Vihollisen käskyläisillä on {HEALTHMODIFIER} % terveyttä."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","Vihollisen megakäskyläiset eivät voi hyökätä tai käyttää kykyjään."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","Vihollisen käskyläiset eivät voi hyökätä tai käyttää kykyjään."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","Hahmo saa {POWER} % manaa aina, kun vihollinen saa jäävaurioita."
"herocard.passive_skill.description.growth","Tämän sankarin perushyökkäykseen ja peruspuolustuksseen lisätään {STATINCREASE} joka vuorolla {MAXACTIVATIONCOUNT} vuoron ajan."
"herocard.passive_skill.description.guaranteedeffectonspecial","Kun tämä hahmo loitsii erikoistaitonsa, kaikki hänen loitsittaessa lisävaikutuksia antavat passiiviset taitonsa aktivoituvat varmasti."
"herocard.passive_skill.description.heal.all.allies","Palauttaa {HEALTH} % liittolaisten terveyttä."
"herocard.passive_skill.description.healmodifier","{HEALMULTIPLIER} % tehokkaampi parannus"
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","Kaikki viholliset saavat {HEALMULTIPLIER} % parannusta."
"herocard.passive_skill.description.healmodifier.decrease","{HEALMULTIPLIER} % tehottomampi parannus."
"herocard.passive_skill.description.healonheal.can_stack.heal","Tämä hahmo saa {POWER} % terveyttä aina kun hän saa terveyttä takaisin."
"herocard.passive_skill.description.healonownfamiliardeath.minion","Hahmo saa {HEALTH} terveyttä, kun hänen omistamansa käskyläinen tuhotaan."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","Hahmo saa {HEALTH} tehostettua terveyttä, kun hänen omistamansa käskyläinen tuhotaan."
"herocard.passive_skill.description.healthboost.all.allies","Lisää {HEALTHBOOST} % kaikkien liittolaisten terveyteen. Tehostettu terveys voi ylittää maksimiterveyden."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","Tämän hahmon hyökkäys nousee taistelun alussa {ATTACK} % jokaisesta vihollisesta, jonka elementti ei ole luonto. Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","Tämän hahmon hyökkäys nousee {ATTACK} % jokaisesta elävästä vihollisesta, jonka elementti ei ole luonto. Vaikutus uudistuu jokaisen aallon alussa. (Tällä hetkellä: {CURRENTMODIFIER} %)"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","Tämän hahmon hyökkäys nousee taistelun alussa {ATTACK} % jokaisesta vihollisesta, jonka elementti ei ole tuli. Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","Tämän hahmon hyökkäys nousee {ATTACK} % jokaisesta elävästä vihollisesta, jonka elementti ei ole tuli. Vaikutus uudistuu jokaisen aallon alussa. (Tällä hetkellä: {CURRENTMODIFIER} %)"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","Tuottaa {DAMAGEMULTIPLIER} % enemmän vauriota käskyläisille."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","Tämä hahmo tuottaa {DAMAGEMULTIPLIER} % enemmän vauriota käskyläisille ja megakäskyläisille."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","Tämän hahmon erikoistaidon osumien voima kasvaa {POWERADDITION} %, jos kohteella on piikittely."
"herocard.passive_skill.description.increasespecialdamage","{MAXACTIVATIONCOUNT} ensimmäisellä kerralla, kun hahmo käyttää vauriota tuottavaa erikoistaitoa, sen tehoon lisätään {POWERADDITION} %."
"herocard.passive_skill.description.increasespecialdamage.usable_once","Kun hahmo käyttää ensimmäisen kerran vauriota tuottavaa erikoistaitoa, sen tehoon lisätään {POWERADDITION} %."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","Aina kun hahmo käyttää vauriota tuottavaa erikoistaitoa, sen tehoon lisätään {POWERADDITION} %."
"herocard.passive_skill.description.insanitydamagereduction","Kaikkea tämän hahmon kärsimää vauriota vähennetään {DAMAGEREDUCTION} % jokaista {DISPLAYSCALE} hulluuspistettä kohti (enintään {MAXDAMAGEREDUCTION} %)."
"herocard.passive_skill.description.iterateeffectonspecial","Kun tämä hahmo loitsii erikoistaitonsa, kaikki hänen loitsittaessa lisävaikutuksia antavat passiiviset taitonsa saavat {APPLYCOUNT} aktivoitumisyritystä."
"herocard.passive_skill.description.league.featured_family","Tämä sankari kuuluu esittelyssä olevaan perheeseen!"
"herocard.passive_skill.description.league.non_featured_family","Tämä sankari ei kuulu esittelyssä olevaan perheeseen!"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","{POWERMULTIPLIER} % tarkkuutta esittelyssä olevien perheiden sankareita vastaan."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","Esittelyssä oleviin perheisiin vaikuttavat parannukset saavat {POWERMULTIPLIER} % tehokkuutta."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","{POWERMULTIPLIER} % kärsittyä vauriota ei esittelyssä olevilta perheiltä."
"herocard.passive_skill.description.managenerationmodifier","{MODIFIER} % manatuotantoa."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","Vähentää erikoistaitojen nostaman manan määrää {MODIFIER} %. Vaikutus koskee kaikkia vihollisia tässä taistelussa."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect","Vähentää erikoistaitojen, passiivisten taitojen, perhebonusten ja tilaefektien nostaman manan määrää {MODIFIER} %. Vaikutus koskee kaikkia vihollisia tässä taistelussa."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect.realm","Vähentää erikoistaitojen, passiivisten taitojen, perhebonusten ja tilaefektien nostaman manan määrää {MODIFIER} %. Vaikutus koskee kaikkia vihollisia tässä taistelussa."
