"herocard.passive_skill.description.addmana.all.allies","يكتسب جميع الحلفاء كمية صغيرة من القوة."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","عندما تتلقى هذه الشخصية ضررًا من  مهارات خاصة، فإنها تحصل على تراكم هجوم بنسبة {STATUSEFFECT1ATTACK}% (بحد أقصى: {STATUSEFFECT1MAXSTACK}). يمكن الحصول على تراكم واحد في كل جولة."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","عندما تتلقى هذه الشخصية ضررًا من  مهارات خاصة، فإنها تحصل على تراكم هجوم بنسبة {STATUSEFFECT1ATTACK}% (بحد أقصى: {STATUSEFFECT1MAXSTACK}). يمكن الحصول على تراكم واحد في كل جولة."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","عندما يحاول حليف التطهير باستخدام مهارات خاصة، تُعزز صحة جميع حلفائه بنسبة {POWER}. يمكن تنشيط هذا التأثير مرة واحدة لكل جولة."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","عندما يحاول عدو التطهير باستخدام مهارات خاصة، يتلقى جميع الأعداء ضررًا يساوي {POWER}. يمكن تنشيط هذا التأثير مرة واحدة لكل جولة."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","تحصل هذه الشخصية على {POWER}% من القوة في كل مرة يتم فيها تبديد علاوة منها. لا يمكن تفعيل هذا التأثير إلا مرة واحدة في الجولة."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","تحصل هذه الشخصية على {POWER}% من الصحة في كل مرة تنتهي مدة مرض، أو يُطهَّر منها، أو يُزال منها، أو ينتقل إلى شخصية أخرى. لا يمكن تفعيل هذا التأثير إلا مرة واحدة في الجولة."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","لدى هذه الشخصية فرصة بنسبة {CHANCE}% للحصول على {POWER}% من الصحة في كل مرة تنتهي مدة مرض، أو يُطهَّر منها، أو يُزال منها، أوينتقل إلى شخصية أخرى. لا يمكن تفعيل هذا التأثير إلا مرة واحدة في الجولة."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","تحصل هذه الشخصية على {POWER} من الصحة المعززة في كل مرة يتم فيها تبديد علاوة منها. لا يمكن تفعيل هذا التأثير إلا مرة واحدة في الجولة."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","تُلحق كل ضربة من التوابع التي تملكها الشخصية {DAMAGE} من ضرر الصقيع طوال {TURNS} من الأدوار"
"herocard.passive_skill.description.effectonheal.addmana","تتلقى هذه الشخصية {POWER}% من القوة كل مرة تستعيد صحتها."
"herocard.passive_skill.description.effectonheal.heal","تتلقى هذه الشخصية {POWER}% من الصحة كل مرة تستعيد صحتها."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","تتلقى هذه الشخصية {POWER}% من الصحة كل مرة تستعيد صحتها."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","تحصل هذه الشخصية على تعزيز بنسبة {HEALTHBOOST}% في الصحة و{MANA}% في حالة المقاومة الناجحة."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","تكتسب هذه الشخصية {POWER}% من القوة في كل مرة يلقي فيها أحد الأعداء مهارة خاصة تعزز الصحة بشكل مباشر."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","تحصل هذه الشخصية على {POWER} من الصحة المعززة في كل مرة يلقي فيها أحد الأعداء مهارة خاصة تعزز الصحة بشكل مباشر."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","فرصة {CHANCE}% لأداء الحركات التالية عندما تُلقي هذه الشخصية مهارتها الخاصة:"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","عندما تسجل هذه الشخصية ضربة حرجة باستخدام مهارتها الخاصة، تطهّر آخر حالة مرضية يمكن تطهيرها من جميع الحلفاء بأمان."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","عندما تسجل هذه الشخصية ضربة حرجة باستخدام مهارتها الخاصة، تزيد صحة جميع حلفائها بنسبة {HEALTHBOOST}%."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","عندما تسجل هذه الشخصية ضربة حرجة باستخدام مهارتها الخاصة، تزيد صحة جميع حلفائها بنسبة {HEALTHBOOST}%."
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","عندما يقذف عدو مهارته الخاصة، فإن هذه الشخصية لديها {CHANCE}% فرصة لتعزيز صحة هذه الشخصية بمقدار {HEALTHBOOST}."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","عندما تُطلق هذه الشخصية مهارتها الخاصة، فإن لها فرصة {CHANCE}% لتمنح {POWER}% من القوة لجميع الحلفاء. إذا تم شحن المهارة الخاصة بالكامل، تصبح الفرصة {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","عندما تُطلق هذه الشخصية مهارتها الشخصية، فإن لها فرصة {CHANCE}% لتمنح {POWER}% من القوة لجميع الحلفاء ممن هم ليسوا من عنصر الثلج. إذا تم شحن المهارة الخاصة بالكامل، تصبح الفرصة {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","عندما تلقي هذه الشخصية مهارتها الخاصة، فإنها تبدد أحدث علاوة تأثير على الحالة من جميع الأعداء."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","عندما تلقي هذه الشخصية مهارتها الخاصة، فإنها تطهر مرض الحالة الأحدث من جميع الحلفاء."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","عندما تُطلق هذه الشخصية مهارتها الخاصة، فإن لها فرصة {CHANCE}% لإلحاق {POWER}% من الضرر بجميع الأعداء. إذا تم سحن المهارة الخاصة بالكامل، تصبح الفرصة {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","عندما تُطلق هذه الشخصية مهارتها الخاصة، فإن لها فرصة {CHANCE}% لإلحاق {POWER}% من الضرر بجميع الأعداء ممن هم ليسوا من عنصر الظلام. إذا تم شحن المهارة الخاصة بالكامل، تصبح الفرصة {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","عندما تُطلق هذه الشخصية مهارتها الخاصة، فإن لها فرصة {CHANCE}% لإلحاق {POWER}% من الضرر بجميع الأعداء ممن هم ليسوا من عنصر النار. إذا تم شحن المهارة الخاصة بالكامل، تصبح الفرصة {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","عندما تُطلق هذه الشخصية مهارتها الخاصة، فإن لها فرصة {CHANCE}% لاستعادة {POWER}% من الصحة لجميع الحلفاء. إذا تم شحن المهارة الخاصة بالكامل، تصبح الفرصة {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","عندما تُطلق هذه الشخصية مهارتها الخاصة، فإن لها فرصة {CHANCE}% لاستعادة {POWER}% من الصحة لجميع الحلفاء ممن هم ليسوا من عنصر الطبيعة. إذا تم شحن المهارة الخاصة بالكامل، تصبح الفرصة {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","عندما تُطلق هذه الشخصية مهارتها الخاصة، فإن لها فرصة {CHANCE}% لاستعادة {POWER}% من الصحة لجميع الحلفاء ممن هم ليسوا من عنصر النار. إذا تم شحن المهارة الخاصة بالكامل، تصبح الفرصة {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","عندما تُطلق هذه الشخصية مهارتها الخاصة، فإن لها فرصة {CHANCE}% لاستعادة {POWER}% من الصحة لجميع الحلفاء ممن هم ليسوا من العنصر المقدس. إذا تم شحن المهارة الخاصة بالكامل، تصبح الفرصة {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","عندما تلقي هذه الشخصية مهاراتها الخاصة، فإنها تعزز صحة جميع حلفائها بنسبة {POWER}%."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","إذا ألقى عدو لديه Average من سرعة القوة أو أسرع مهارة خاصة، فسيتلقى جميع الأعداء {DAMAGE} من الضرر. يمكن تنشيط هذا التأثير مرة واحدة فقط كل جولة."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","في كل مرة يتلقى فيها عدو تأثير حالة استهزاء، تزداد قوة هذه الشخصية بنسبة {POWER}%."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","تكتسب هذه الشخصية {POWER}% من القوة عندما يتلقى العدو علاوة تأثير الحالة التي تؤثر على الدفاع. لا يمكن تفعيل هذا التأثير إلا مرة واحدة في الجولة."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","تكتسب هذه الشخصية {POWER}% من القوة عندما تتلقى علاوة أو تراكمًا إيجابيًّا."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","تكتسب هذه الشخصية {POWER}% من القوة عندما تتلقى حالة مرض أو تراكم سلبي."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","تستعيد هذه الشخصية {POWER}% من الصحة عندما تتلقى علاوة أو تراكمًا إيجابيًّا."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","تستعيد هذه الشخصية {POWER}% من الصحة عندما تتلقى حالة مرض أو تراكمًا سلبيًّا."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","تستعيد هذه الشخصية {POWER} من نقاط الصحة عندما تتلقى حالة مرض أو تراكمًا سلبيًّا."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","لدى هذه الشخصية فرصة بنسبة {CHANCE}% لاكتساب {POWER}% من القوة عندما تتلقى علاوة أو تراكمًا إيجابيًّا."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","لدى هذه الشخصية فرصة بنسبة {CHANCE}% لاستعادة {POWER}% من الصحة عندما تتلقى علاوة أو تراكمًا إيجابيًّا."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","لدى هذه الشخصية فرصة بنسبة {CHANCE}% لاستعادة {POWER}% من الصحة عندما تتلقى علاوة أو تراكمًا إيجابيًّا."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","في كل {TURNS} من الجولات، يُعيد إحياء الحلفاء المهزومين القريبين بنسبة {POWER}% من نقاط الصحة."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","يكتسب قدرًا صغيرًا من القوة لكل علاوات التأثيرات على الحالة يمتلكه فريق العدو في بداية كل جولة (بحد أقصى {MAXSTATUSEFFECTCOUNT} من العلاوات)."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","يعزز صحة هذه الشخصية والحلفاء القريبين بمقدار {INCREMENTPERSTATUSEFFECT1}% لكل عدو يُصاب بالسم في بداية كل جولة. يمكن أن تتخطى الصحة المعززة الحد الأقصى لنقاط الصحة."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","عندما يتم استدعاء تابع لأحد الحلفاء، تكتسب هذه الشخصية {POWER}% من القوة. يمكن تنشيط هذا التأثير مرة واحدة لكل جولة."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","عندما يتم استدعاء تابع لأي من الحلفاء، تكتسب هذه الشخصية {HEALTH}% من الصحة و{MANA}% من القوة. يمكن تنشيط هذا التأثير مرة واحدة لكل جولة."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","عندما يتم استدعاء شرير لأي من الأعداء، تكتسب هذه الشخصية {POWER}% من القوة. يمكن تنشيط هذا التأثير مرة واحدة لكل جولة."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","عندما يتم استدعاء شرير لأي من الأعداء، تُلحق هذه الشخصية {DAMAGE}% من الضرر بجميع الأعداء. يمكن تنشيط هذا التأثير مرة واحدة لكل جولة."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","عندما يتم استدعاء شرير لأي من الأعداء، تحصل هذه الشخصية على {POWER} من الصحة المعززة. يمكن تنشيط هذا التأثير مرة واحدة لكل جولة."
"herocard.passive_skill.description.extraactionsafterspecial","فرصة {CHANCE}% لإلقاء الحركات الإضافية عندما تُلقي هذه الشخصية مهارتها الخاصة:"
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","كل أتباع الأعداء يتمتعون بدقة بنسبة {MINIONMODIFIER}%.
كل الأتباع الضخام الخاصين بالأعداء يتمتعون بدقة بنسبة {MEGAMINIONMODIFIER}%."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","مركز بناء هذه الشخصية مركز تابع.

يتم تفعيل مركز التابع كلما يتم إلقاء مهارة هذه الشخصية الخاصة:

 مع مركز تابع مشحون بالكامل، يتم استدعاء تابع آلي قاتل مع صحة بنسبة {FAMILIARHEALTHPERCENT}% وهجوم بنسبة {FAMILIARATTACK}% موروث من الملقي لكل الحلفاء.
 يتم تحديد الصحة والهجوم الموروثين من الملقي حسب مقدار شحنة المركز. يتم استنفاد كل الشحنات عند تفعيل المركز.
 قبل أن يصيب التابع الآلي القاتل هدفًا، يدمر كل تابعي الهدف، ويلحق الضرر بالتابعين الضخام."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","الأعداء الأتباع الضخام لديهم {HEALTHMODIFIER}% نقاط صحة."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","الأعداء الأتباع لديهم {HEALTHMODIFIER}% نقاط صحة."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","لا يمكن لأتباع العدو الضخام الهجوم أو استخدام قدراتهم."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","لا يمكن لأتباع العدو الهجوم أو استخدام قدراتهم."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","تكتسب هذه الشخصية {POWER}% من القوة في كل مرة يتلقى فيها العدو ضرر صقيع."
"herocard.passive_skill.description.growth","ازداد هجوم هذا البطل ودفاعه الأساسيان بمقدار {STATINCREASE} كل جولة لعدد {MAXACTIVATIONCOUNT} من الجولات."
"herocard.passive_skill.description.guaranteedeffectonspecial","عندما تلقي هذه الشخصية مهارتها الخاصة، يتم ضمان تفعيل أي من مهاراتها الخاملة التي تمنح تأثيرات إضافية عند الإلقاء."
"herocard.passive_skill.description.heal.all.allies","لاستعادة {HEALTH}% من الصحة لجميع الحلفاء."
"herocard.passive_skill.description.healmodifier","{HEALMULTIPLIER}% إضافية لكل شفاء مُتلقى."
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","يحصل جميع الأعداء على {HEALMULTIPLIER}% من التعافي."
"herocard.passive_skill.description.healmodifier.decrease","انخفاض بنسبة {HEALMULTIPLIER}% لكل شفاء مُتلقى."
"herocard.passive_skill.description.healonheal.can_stack.heal","تتلقى هذه الشخصية {POWER}% من الصحة كل مرة تستعيد صحتها."
"herocard.passive_skill.description.healonownfamiliardeath.minion","تستعيد هذه الشخصية {HEALTH} من الصحة عند تدمير أحد أتباعها."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","تستعيد هذه الشخصية {HEALTH} من الصحة المعززة عند تدمير أحد أتباعها"
"herocard.passive_skill.description.healthboost.all.allies","لتعزيز صحة جميع الحلفاء بنسبة {HEALTHBOOST}%. يمكن أن تتخطى الصحة المعززة الحد الأقصى لنقاط الصحة."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","في بداية كل معركة، يزداد هجوم هذه الشخصية بنسبة {ATTACK}% لكل عدو لا ينتمي لعناصر الطبيعة. في المعارك ذات الموجات المتعددة، يتم تحديث التأثير في بداية كل موجة."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","يزداد هجوم هذه الشخصية بنسبة {ATTACK}% لكل عدو على قيد الحياة، ولا ينتمي لعناصر الطبيعة. يتم تحديث التأثير في بداية كل موجة. (حاليًّا: {CURRENTMODIFIER}%)"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","في بداية كل معركة، يزداد هجوم هذه الشخصية بنسبة {ATTACK}% لكل عدو لا ينتمي لعنصر النار. في المعارك ذات الموجات المتعددة، يتم تحديث التأثير في بداية كل موجة."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","يزداد هجوم هذه الشخصية بنسبة {ATTACK}% لكل عدو على قيد الحياة، ولا ينتمي لعنصر النار. يتم تحديث التأثير في بداية كل موجة. (حاليًّا: {CURRENTMODIFIER}%)"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","إلحاق {DAMAGEMULTIPLIER}% أكثر من الضرر ضد التوابع."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","تتسبب هذه الشخصية {DAMAGEMULTIPLIER}% من الضرر للأتباع والأتباع الضخام."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","تتمتع الضربات من المهارة الخاصة لهذه الشخصية بقوة إضافية بنسبة {POWERADDITION}% إذا كان لدى الهدف استهزاء."
"herocard.passive_skill.description.increasespecialdamage","في أول {MAXACTIVATIONCOUNT} من المرات تستخدم فيها هذه الشخصية المهارة الخاصة التي تسبب أضرارًا، تتم إضافة {POWERADDITION}% إضافية إلى قوتها."
"herocard.passive_skill.description.increasespecialdamage.usable_once","في المرة الأولى التي تستخدم فيها هذه الشخصية المهارة الخاصة التي تسبب أضرارًا، تتم إضافة {POWERADDITION}% إضافية إلى قوتها."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","في كل مرة تلقي فيها هذه الشخصية مهارة خاصة تسبب ضررًا، تتم إضافة {POWERADDITION}% إضافية إلى قوتها."
