"heroes.name.astral_cosmicspeaker","المتحدث الكوني"
"heroes.name.beachparty_mazoga","مازوغا"
"heroes.name.beachparty_misty","ميستي"
"heroes.name.beachparty_mortimer","مورتيمر"
"heroes.name.beachparty_serena","سرينا"
"heroes.name.beachparty_zenukwa","زينوكوا"
"heroes.name.beauty_beast_beauty","الجمال"
"heroes.name.beauty_beast_cerissa","سيريسا"
"heroes.name.beauty_beast_chandel","شاندل"
"heroes.name.beauty_beast_dominique","دومينيك"
"heroes.name.beauty_beast_glamiera","غلاميرا"
"heroes.name.beauty_beast_henriette","هنريتا"
"heroes.name.beauty_beast_ivete","إيفيت"
"heroes.name.beauty_beast_jacquespierre","جاك بيير"
"heroes.name.beauty_beast_laurent","لوران"
"heroes.name.beauty_beast_lucas","لوكاس"
"heroes.name.beauty_beast_mirielle","ميريل"
"heroes.name.beauty_beast_pendulus_clonk","بيندولاس كلونك"
"heroes.name.beauty_beast_rose_de_flo","روز دي فلو"
"heroes.name.beauty_beast_seraphine","سيرافين"
"heroes.name.beauty_beast_the_beast","الوحش"
"heroes.name.beowulf_aeschere","إيشيري"
"heroes.name.beowulf_beowulf","بيوولف"
"heroes.name.beowulf_breca","بريكا"
"heroes.name.beowulf_ecgtheow","إيكثيو"
"heroes.name.beowulf_freawaru","فرياوارو"
"heroes.name.beowulf_grendel","غريندل"
"heroes.name.beowulf_grendels_mother","والدة غريندل"
"heroes.name.beowulf_hrothgar","هروثجار"
"heroes.name.beowulf_hygd","هيجد"
"heroes.name.beowulf_modthryth","مودثريث"
"heroes.name.beowulf_nithgaest","نيثغيست"
"heroes.name.beowulf_unferth","أونفيرث"
"heroes.name.beowulf_wealhtheow","ويلثيو"
"heroes.name.beowulf_weland","ويلاند"
"heroes.name.beowulf_wiglaf","ويجلاف"
"heroes.name.blackguard_commander","تيبورتوس"
"heroes.name.blackguard_female_archer","الباذنجانية"
"heroes.name.blackguard_female_captain","بريسكا"
"heroes.name.blackguard_knight","ريكار"
"heroes.name.blackguard_scout","جوليوس"
"heroes.name.blackguard_skulker","رينفيلد"
"heroes.name.castle_bear_armel","أرميل"
"heroes.name.castle_bear_bearnadette","برناديت"
"heroes.name.castle_bear_humbert","همبرت"
"heroes.name.castle_bear_koda","كودا"
"heroes.name.castle_bear_teddy","تيدي"
"heroes.name.castle_bear_torben","توربين"
"heroes.name.castle_bear_winnie","ويني"
"heroes.name.castle_bear_yona","يونا"
"heroes.name.castle_raven_aderyn","أدرين"
"heroes.name.castle_raven_eloise","إلويز"
"heroes.name.castle_raven_franz","فرانز"
"heroes.name.castle_raven_lewena","لوينا"
"heroes.name.castle_raven_quintin","كوينتين"
"heroes.name.castle_raven_rayne","راين"
"heroes.name.castle_raven_wren","رين"
"heroes.name.castle_stag_alvar","ألفار"
"heroes.name.castle_stag_cecilia","سيسيليا"
"heroes.name.castle_stag_daemon","دايمون"
"heroes.name.castle_stag_fawn","فاون"
"heroes.name.castle_stag_lysanor","ليسانور"
"heroes.name.castle_stag_raleigh","رالي"
"heroes.name.castle_stag_siofra","سيوفرا"
"heroes.name.castle_stag_xiamara","شيامارا"
"heroes.name.castle_wolf_bertulf","بيرتولف"
"heroes.name.castle_wolf_esme","إيسمي"
"heroes.name.castle_wolf_ferant","فيرانت"
"heroes.name.castle_wolf_ludwig","لودفيج"
"heroes.name.castle_wolf_quenell","كوينيل"
"heroes.name.castle_wolf_wolfgang","وولف جانج"
"heroes.name.champions_lazara","لازارا"
"heroes.name.champions_mistra","ميسترا"
"heroes.name.champions_nogu","نوجو"
"heroes.name.champions_norman","نورمان"
"heroes.name.champions_ramona","رامونا"
"heroes.name.champions_satori","ساتوري"
"heroes.name.christmas_albin","ألبين"
"heroes.name.christmas_augustus","أغسطس"
"heroes.name.christmas_buster","باستر"
"heroes.name.christmas_carol","كارول"
"heroes.name.christmas_cookie","كوكي"
"heroes.name.christmas_dizzy","ديزي"
"heroes.name.christmas_elf","صديق"
"heroes.name.christmas_florencia","فلورنسا"
"heroes.name.christmas_frosty","المجمّد"
"heroes.name.christmas_ginger","جينجر"
"heroes.name.christmas_holly","هولي"
"heroes.name.christmas_jolly","جولي"
"heroes.name.christmas_krampus","كرامبوس"
"heroes.name.christmas_mr_pengi","السيد بينجي"
"heroes.name.christmas_mrs_claus","الأم الشمالية"
"heroes.name.christmas_noel","نويل"
"heroes.name.christmas_ottilia","أوتيليا"
"heroes.name.christmas_peppermint","بيبرمنت"
"heroes.name.christmas_reindeer","رودولف"
"heroes.name.christmas_santa","بابا نويل"
"heroes.name.christmas_tinsel","تنسل"
"heroes.name.christmas_zappa","زابا"
"heroes.name.circus_bobo","بوبو"
"heroes.name.circus_candy","كاندي"
"heroes.name.circus_dandre","دي أندريه"
"heroes.name.circus_director_zuri","المدير زوري"
"heroes.name.circus_eichbelborg","إيشبلبورج"
"heroes.name.circus_eiora_and_fluffy","إيورا وفلافي"
"heroes.name.circus_emilio","إميليو"
"heroes.name.circus_faline","فالاين"
"heroes.name.circus_marcel","مارسيل"
"heroes.name.circus_theobald","ثيوبالد"
"heroes.name.circus_whacker","واكر"
"heroes.name.construct_arzen","آرزن"
"heroes.name.construct_blue_mage","غيلاش"
"heroes.name.construct_bonechill","بونتشيل"
"heroes.name.construct_brimstone","كبريتي"
"heroes.name.construct_carta","كارتا"
"heroes.name.construct_dancrag","دانكريغ"
"heroes.name.construct_ferrus","الحديدي"
"heroes.name.construct_frond","ورقي"
"heroes.name.construct_glacivolt","غلاسيفولت"
"heroes.name.construct_gwynn","جوين"
"heroes.name.construct_halwinter","هالوينتر"
"heroes.name.construct_haulstone","الحجر الجليدي"
"heroes.name.construct_hornfel","هورنفل"
"heroes.name.construct_hotspin","هوتسبين"
"heroes.name.construct_ironheart","القلب الحديدي"
"heroes.name.construct_ironvein","الوريد الحديدي"
"heroes.name.construct_japanese_doll","بلوسوم"
"heroes.name.construct_nautica","بحري"
"heroes.name.construct_nocturne","سكاث"
"heroes.name.construct_rhineglow","راينغلو"
"heroes.name.construct_rustbeak","راستبيك"
"heroes.name.construct_scoria","سكوريا"
"heroes.name.construct_shaal","شال"
"heroes.name.construct_shacklebolt","شاكلبولت"
"heroes.name.construct_sizzleomatic","سيزلوماتيك"
"heroes.name.construct_skarn","سكارن"
"heroes.name.construct_sylosis","سيلوسيس"
"heroes.name.construct_tenebrae","تينيبراي"
"heroes.name.construct_zavok","زافوك"
"heroes.name.cultist_female_poisoner","ليلى"
"heroes.name.cultist_inventor","كينتوس"
"heroes.name.cultist_mage","بلتزار"
"heroes.name.cultist_sorceress","سارتانا"
"heroes.name.cultist_thief","فليتشير"
"heroes.name.dark_god_aeron","آييرون"
"heroes.name.dark_god_akilius","أكيليوس"
"heroes.name.dark_god_anoushka","أنوشكا"
"heroes.name.dark_god_arfanias","أرفانياس"
"heroes.name.dark_god_chakkoszrot","شكوسزروت"
"heroes.name.dark_god_clarissa","كلاريسا"
"heroes.name.dark_god_eldwren","إيلدرن"
"heroes.name.dark_god_grimble","غريمبل"
"heroes.name.dark_god_hel","هيل"
"heroes.name.dark_god_kunchen","كونشين"
"heroes.name.dark_god_malicna","ماليكنا"
"heroes.name.dark_god_morax","موراكس"
"heroes.name.dark_god_september","كيونا"
"heroes.name.dark_god_seshat","سشات"
"heroes.name.dark_god_sir_casmir","السير كازمير"
"heroes.name.dark_god_turgruk","تورجروك"
"heroes.name.dark_god_uthragan","أثريغن"
"heroes.name.dark_god_viscaro","فيسكارو"
"heroes.name.dark_god_zed","زيد"
"heroes.name.dark_god_zulag","زولاج"
"heroes.name.draugr","دروغر"
"heroes.name.dwarven_guard","بوريل"
"heroes.name.dwarven_scout","توريل"
"heroes.name.dwarven_smasher","كاريل"
"heroes.name.dwarwen_brewmaster","كيريل"
"heroes.name.easter_archie","آرشي"
"heroes.name.easter_chick_jr","الصوص الأصغر"
"heroes.name.easter_jasper","جاسبر"
"heroes.name.easter_killhare","كيلهار"
"heroes.name.easter_lady_woolerton","السيدة الصوفية"
"heroes.name.easter_miss_ethel","ميس إثيل"
"heroes.name.easter_sadie","سادي"
"heroes.name.easter_sir_roostley","السيد دكّوك"
"heroes.name.easter_timothy","تيموثي"
"heroes.name.easter_viscount_cluckwood","الفيكونت كلوكوود"
"heroes.name.eldritch_host","مضيف الشعوذة"
"heroes.name.elemental_aconia","أكونيا"
"heroes.name.elemental_alfie","ألفي"
"heroes.name.elemental_anzia","أنزيا"
"heroes.name.elemental_ash","آش"
"heroes.name.elemental_craum","كراوم"
"heroes.name.elemental_desmond","ديزموند"
"heroes.name.elemental_doxan","دوكسان"
"heroes.name.elemental_farrah","فرح"
"heroes.name.elemental_gastille","غاستيل"
"heroes.name.elemental_griffex","جريفكس"
"heroes.name.elemental_grilka","غريلكا"
"heroes.name.elemental_ignazio","إجنازيو"
"heroes.name.elemental_ironmaw","أيرونماو"
"heroes.name.elemental_jequn","جاكن"
"heroes.name.elemental_jolt","الصعقة"
"heroes.name.elemental_lexi","ليكسي"
"heroes.name.elemental_linus","لاينوس"
"heroes.name.elemental_niki","نيكي"
"heroes.name.elemental_nova","نوفا"
"heroes.name.elemental_nylora","نايلورا"
"heroes.name.elemental_quinn","كوين"
"heroes.name.elemental_roz","روز"
"heroes.name.elemental_vander","فاندر"
"heroes.name.elemental_xandrella","زاندريلا"
"heroes.name.elemental_xavier","زافيير"
"heroes.name.elemental_zandria","زاندريا"
"heroes.name.elemental_zaria","زاريا"
"heroes.name.elemental_zengar","زنجار"
"heroes.name.elemental_zione","زيون"
"heroes.name.elemental_zuni","زوني"
"heroes.name.elven_archer","ليانا"
"heroes.name.elven_captain","قدمون"
"heroes.name.exalted_female_statue","جاستيس"
"heroes.name.exalted_warrior","ماغني"
"heroes.name.fables_boss_wolf","الذئب الزعيم"
"heroes.name.fables_cinderella","سندريلا"
"heroes.name.fables_frog_prince","الأمير الضفدع"
"heroes.name.fables_gnomer","نومر"
"heroes.name.fables_gretel","غريتيل"
"heroes.name.fables_hansel","هانزيل"
"heroes.name.fables_pixie","بيكسي"
"heroes.name.fables_puss_in_boots","الهر أبو جزمة"
"heroes.name.fables_rapunzel","ريبونزل"
"heroes.name.fables_red_hood","ريد هود"
"heroes.name.fables_rumpelstiltskin","جعيدان"
"heroes.name.fables_snow_white","بيضاء الثلج"
"heroes.name.faun_araminta","أرامينتا"
"heroes.name.faun_ascian","أسيان"
"heroes.name.faun_bramble","برامبل"
"heroes.name.faun_gideon","غديون"
"heroes.name.faun_isidore","إيزيدور"
"heroes.name.faun_jolyon","جوليون"
"heroes.name.faun_maud","مود"
"heroes.name.faun_myrtle","ميرتل"
"heroes.name.faun_peregrine","بيريغرين"
"heroes.name.faun_philomena","فيلومينا"
"heroes.name.faun_saskia","ساسكيا"
"heroes.name.faun_tamlin","تاملن"
"heroes.name.faun_verity","فريتي"
"heroes.name.faun_yolanda","يولاندا"
"heroes.name.faun_ysabel","يسابيل"
"heroes.name.fire_god_andre","آندر دي كلايرمونت"
"heroes.name.fire_god_anzogh","أنزوغ"
"heroes.name.fire_god_ares","آريس"
"heroes.name.fire_god_doom","صانع القبور"
"heroes.name.fire_god_eliane","إليان"
"heroes.name.fire_god_jean_francois","جان فرنسوا"
"heroes.name.fire_god_maple","مابل"
"heroes.name.fire_god_nadnog","غرازول"
"heroes.name.fire_god_natalya","ناتاليا"
"heroes.name.fire_god_neema","نيما"
"heroes.name.fire_god_noor","نور"
"heroes.name.fire_god_reuben","روبن"
"heroes.name.fire_god_roughian_and_nurgib","روجيان ونرجيب"
"heroes.name.fire_god_russell","راسل"
"heroes.name.fire_god_skargremar","سكارجريمار"
"heroes.name.fire_god_tahir","طاهر"
"heroes.name.fire_god_yang_mai","يانج ماي"
"heroes.name.fire_god_zagrog","زاغروج"
"heroes.name.fire_god_zarga","زارجا"
"heroes.name.fire_god_zidane","زيدان"
"heroes.name.fire_god_zimkitha","زيميكيتا"
"heroes.name.fleur_elyzabel","إليزابيل دي تويليير"
"heroes.name.fleur_eumachius","يوماكيوس"
"heroes.name.fleur_guillemette","غيلميت"
"heroes.name.fleur_lavinia","لافينيا"
"heroes.name.fleur_ludovico","لودوفيكو"
"heroes.name.fleur_talesie","تاليسيا"
"heroes.name.forest_archer","بيردين"
"heroes.name.forest_female_druid","بريين"
"heroes.name.forest_female_elf","كاديلة"
"heroes.name.forest_female_illusionist","جنى"
"heroes.name.forest_female_spirit","بيليث"
"heroes.name.forest_female_warrior","آيف"
"heroes.name.forest_friar","الأب تاك"
"heroes.name.forest_god_elinor","مارغريت"
"heroes.name.forest_god_elradir","إلرادير"
"heroes.name.forest_god_evelyn","إيفلين"
"heroes.name.forest_god_grace","غريس"
"heroes.name.forest_god_gregorion","غريغوريون"
"heroes.name.forest_god_kingston","كينغستون"
"heroes.name.forest_god_oberon","ألبيريش"
"heroes.name.forest_god_telluria","تيلوريا"
"heroes.name.forest_god_zeline","زيلاين"
"heroes.name.forest_god_zocc","زوك"
"heroes.name.forest_mage","ميليندور"
"heroes.name.forest_male_elf","إيلكانين"
"heroes.name.forest_thug","بروغان"
"heroes.name.forest_titan","هورغال"
"heroes.name.forest_woodsman","ديريك"
"heroes.name.forest_woodsman_warrior","جون الصغير"
"heroes.name.forsaken_demhalar","ديمهالار"
"heroes.name.forsaken_inanis","إينانيس"
"heroes.name.forsaken_jax","جاكس"
"heroes.name.forsaken_kadath","كاداث"
"heroes.name.forsaken_khatrox","كاتروكس"
"heroes.name.forsaken_lamentia","لامينتيا"
"heroes.name.fox_ashen","آشن"
"heroes.name.fox_ember","إمبر"
"heroes.name.fox_foxglove","فوكسجلوف"
"heroes.name.fox_foxley","فوكسلي"
"heroes.name.fox_halcyon","هالكيون"
"heroes.name.fox_nettletail","نيتلتيل"
"heroes.name.fox_nibbles","نيبلز"
"heroes.name.fox_reynard","رينارد"
"heroes.name.fox_riverfang","ريفرفانج"
"heroes.name.fox_rust","راصت"
"heroes.name.fox_sable","سابل"
"heroes.name.fox_shadowfang","شادوفانغ"
"heroes.name.fox_silverpaw","المخلب الفضي"
"heroes.name.fox_spiff","سبيف"
"heroes.name.fox_swiftpaw","سويفتبو"
"heroes.name.fox_whitefang","وايتفانغ"
"heroes.name.gargoyle_arco","أركو"
"heroes.name.gargoyle_bellerive","بيلريف"
"heroes.name.gargoyle_betty","بيتي"
"heroes.name.gargoyle_budatin","بوداتين"
"heroes.name.gargoyle_el_duque","الدوق"
"heroes.name.gargoyle_gaillard","جيلارد"
"heroes.name.gargoyle_garten","جارتن"
"heroes.name.gargoyle_goseck","جوسيك"
"heroes.name.gargoyle_grumbl","غرمبل"
"heroes.name.gargoyle_guffa","غوفا"
"heroes.name.gargoyle_hilda","هيلدا"
"heroes.name.gargoyle_hohenwerf","هوهنويرف"
"heroes.name.gargoyle_kalo","كالو"
"heroes.name.gargoyle_kemeny","كميني"
"heroes.name.gargoyle_matrera","ماتريرا"
"heroes.name.gargoyle_mena","مينا"
"heroes.name.gargoyle_penolite","بينوليت"
"heroes.name.gargoyle_pophit","بوفيت"
"heroes.name.gargoyle_soroca","سوروكا"
"heroes.name.gargoyle_uwe","أوي"
"heroes.name.gargoyle_vincent","فينسنت"
"heroes.name.gargoyle_vonreine","فونراين"
"heroes.name.garrison_archibald","أرشيبالد"
"heroes.name.garrison_beatrice","بياتريس"
"heroes.name.garrison_caelen","كايلين"
"heroes.name.garrison_ciara","سيارا"
"heroes.name.garrison_dima","ديما"
"heroes.name.garrison_fergus","فيرغوس"
"heroes.name.garrison_flamehide","فلامهايد"
"heroes.name.garrison_frank_fangs_brimwell","فرانك ""الأنياب"" بريمويل"
"heroes.name.garrison_frostsnout","فروست سنوت"
"heroes.name.garrison_godfrey","غودفري"
"heroes.name.garrison_greg","غريج"
"heroes.name.garrison_iarlaith","إيرليث"
"heroes.name.garrison_iocantha","لوكانثا"
"heroes.name.garrison_kolya","كوليا"
"heroes.name.garrison_maisie","مايزي"
"heroes.name.garrison_pip","بيب"
"heroes.name.garrison_rosalind","روزاليند"
"heroes.name.garrison_shimmerscale","شيمرسكيل"
"heroes.name.garrison_theodosius","ثيودوسيوس"
"heroes.name.garrison_vanya","فانيا"
"heroes.name.garrison_violet_potts","فيوليت بوتس"
"heroes.name.garrison_william","ويليام"
"heroes.name.goblin_acidfire","أسيدفاير"
"heroes.name.goblin_archer","مطلق الإبر"
"heroes.name.goblin_boom_and_fang","بوم وفانغ"
"heroes.name.goblin_boots","بوتس"
"heroes.name.goblin_darkfeather","داركفيذر"
"heroes.name.goblin_deadboot","ديدبوت"
"heroes.name.goblin_fighter","نحات"
"heroes.name.goblin_fizzcoil","فيزكويل"
"heroes.name.goblin_goldie","غولدي"
"heroes.name.goblin_grimsteel","غريمستيل"
"heroes.name.goblin_kettle","كيتل"
"heroes.name.goblin_leafwizzle","ليفويسك"
"heroes.name.goblin_madhammer","مادهامر"
"heroes.name.goblin_mage","سكيتلسكال"
"heroes.name.goblin_pepperflame","بيبرفلايم"
"heroes.name.goblin_ratgrub","نبَّاش الجرذ"
"heroes.name.goblin_rocket","روكيت"
"heroes.name.goblin_scrollbeast","سكرولبيست"
"heroes.name.goblin_smarttongue","سمارتانغ"
"heroes.name.goblin_soursting","اللدغة اللاذعة"
"heroes.name.guardian_bat","الخفاش الحارس"
"heroes.name.guardian_cat_warrior","الكوجر الحارس"
"heroes.name.guardian_chameleon","الحرباء الحارسة"
"heroes.name.guardian_elephant","الفيل الحارس"
"heroes.name.guardian_falcon_priest","الصقر الحارس"
"heroes.name.guardian_gazelle","الغزال الحارس"
"heroes.name.guardian_gorilla_chieftain","غوريلا حارسة"
"heroes.name.guardian_hippo","فرس النهر الحارس"
"heroes.name.guardian_jackal_assassin","الثعلب الحارس"
"heroes.name.guardian_lemur","القرد الحارس"
"heroes.name.guardian_owl_gentleman","البومة الحارسة"
"heroes.name.guardian_zebra","زيبرا الحارس"
"heroes.name.halloween_alucard","ألوكارد"
"heroes.name.halloween_amber","أمبر"
"heroes.name.halloween_ana_belle","آنا-بيل"
"heroes.name.halloween_chester","تشيستر"
"heroes.name.halloween_edwin","إدوين"
"heroes.name.halloween_francine","فرانسين"
"heroes.name.halloween_frank","فرانك"
"heroes.name.halloween_goopy","جوبي"
"heroes.name.halloween_hortensia","هورتنسيا"
"heroes.name.halloween_jack","جاك"
"heroes.name.halloween_lucinda","لوسيندا"
"heroes.name.halloween_matilda","ماتيلدا"
"heroes.name.halloween_miriam_and_midnight","ميريام و ميدنايت"
"heroes.name.halloween_vanda","فاندا"
"heroes.name.halloween_wayne","واين"
"heroes.name.hidden_dark_god_myztero","ميزتيرو"
"heroes.name.holy_god_aurox","أوروكس"
"heroes.name.holy_god_aviana","آفيانا"
"heroes.name.holy_god_bai_yeong","باي يونج"
"heroes.name.holy_god_celidana","سيليدانا"
"heroes.name.holy_god_delilah","دليلة"
"heroes.name.holy_god_devana","ديفانا"
"heroes.name.holy_god_drake_lee","درايك فونغ"
"heroes.name.holy_god_faeona","فايونا"
"heroes.name.holy_god_gilda","غيلدا"
"heroes.name.holy_god_gilligan","جيليجان"
"heroes.name.holy_god_hanitra","هانتيترا"
"heroes.name.holy_god_ithar","إيثار"
"heroes.name.holy_god_kara","كارا"
"heroes.name.holy_god_malosi","مالوزي"
"heroes.name.holy_god_may","ماي"
"heroes.name.holy_god_musashi","موساشي"
"heroes.name.holy_god_neith","نايث"
"heroes.name.holy_god_onatel","أوناتل"
"heroes.name.holy_god_ranvir","رانفير"
"heroes.name.holy_god_uraeus","الحية المقدسة"
"heroes.name.holy_god_zora","زورا"
"heroes.name.ice_god_alexandrine","ألكسندرين"
"heroes.name.ice_god_areax","إرياكس"
"heroes.name.ice_god_athena","أثينا"
"heroes.name.ice_god_balur","بالور"
"heroes.name.ice_god_callum","جلاديوس"
"heroes.name.ice_god_claeg","كلايج"
"heroes.name.ice_god_dvalin","دفالين"
"heroes.name.ice_god_eskimo","ألازي"
"heroes.name.ice_god_frida","فريدا"
"heroes.name.ice_god_frosth","فروست"
"heroes.name.ice_god_glenda","جليندا"
"heroes.name.ice_god_iris","إيريس"
"heroes.name.ice_god_klaern","كليرن"
"heroes.name.ice_god_mene","ميني"
"heroes.name.ice_god_miki","ميكي"
"heroes.name.ice_god_nerasis","نيراسيس"
"heroes.name.ice_god_october","أجيرا"
"heroes.name.ice_god_perseus","بيرسيوس"
"heroes.name.ice_god_raffaele","رافاييل"
"heroes.name.ice_god_sini","سيني"
"heroes.name.ice_god_suzuna","سوزونا"
"heroes.name.ice_god_vela","فيلا"
"heroes.name.institute_ellery","إيلري"
"heroes.name.institute_emilie","إيميلي"
"heroes.name.institute_piper","بايبر"
"heroes.name.institute_professor_morryster","البروفيسور موريستر"
"heroes.name.institute_ryleh","رليه"
"heroes.name.institute_wilcox","ويلوكس"
"heroes.name.journey_change","تشينج"
"heroes.name.journey_erlang_shen","إرلانج شن"
"heroes.name.journey_general_yin","الجينرال ين"
"heroes.name.journey_heifeng_guai","الشيطان ذو الأجنحة السوداء"
"heroes.name.journey_nineheaded_beast","الوحش ذو الرؤوس التسعة"
"heroes.name.journey_queen_guowang","الملكة جو وا وونغ"
"heroes.name.journey_sha_wujing","شا ووجينغ"
"heroes.name.journey_sun_wukong","سان واكونج"
"heroes.name.journey_tang_sanzang","تانغ سانزانغ"
"heroes.name.journey_xie_zi_jing","شي زي جينغ"
"heroes.name.journey_xiong_shanjun","شاون شان جينغ"
"heroes.name.journey_xiwangmu","شوانغمو"
"heroes.name.kalevala_aino","أينو"
"heroes.name.kalevala_iku_turso","أيكو تورسو"
"heroes.name.kalevala_ilmarinen","إلمارينين"
"heroes.name.kalevala_joukahainen","جوكاهينين"
"heroes.name.kalevala_kullervo","كاليرفو"
"heroes.name.kalevala_lemminkainen","ليمنكاينين"
"heroes.name.kalevala_louhi","لوهي"
"heroes.name.kalevala_mielikki","ميليكي"
"heroes.name.kalevala_mother_lemminkainen","الأم ليمينكينين"
"heroes.name.kalevala_otso","أوتسو"
"heroes.name.kalevala_para","بارا"
"heroes.name.kalevala_suomuhauki","سوموهاوكي"
"heroes.name.kalevala_ukkonen","أكونن"
"heroes.name.kalevala_vainamoinen","فينموينين"
"heroes.name.kingdom_cao_cao","تساو تساو"
"heroes.name.kingdom_diaochan","دياوتشان"
"heroes.name.kingdom_guan_yu","غوان يو"
"heroes.name.kingdom_jing","جينغ"
"heroes.name.kingdom_li","لي"
"heroes.name.kingdom_liu_bei","ليو باي"
"heroes.name.kingdom_lu_bu","لو بيو"
"heroes.name.kingdom_sun_quan","سون كوان"
"heroes.name.kingdom_sun_shangxiang","سون شانغشيانغ"
"heroes.name.kingdom_wang_yuanji","وانغ يوانجي"
"heroes.name.kingdom_xiahou_dun","شياو دان"
"heroes.name.kingdom_yao","ياو"
"heroes.name.kingdom_zhang_fei","شانغ فاي"
"heroes.name.kingdom_zhou_yu","تشو يو"
"heroes.name.kingdom_zhuge_liang","تشوغ ليانغ"
"heroes.name.knights_bauchan","بوشان"
"heroes.name.knights_black_knight","الفارس الأسود"
"heroes.name.knights_gawain","غاواين"
"heroes.name.knights_green_knight","الفارس الأخضر"
"heroes.name.knights_guinevere","غينوفير"
"heroes.name.knights_king_arthur","الملك آرثر"
"heroes.name.knights_lady_of_the_lake","سيدة البحيرة"
"heroes.name.knights_merlin","مرلين"
"heroes.name.knights_mordred","موردريد"
"heroes.name.knights_morgan_le_fay","مورغان الجنية"
"heroes.name.knights_sir_lancelot","سير لانسلوت"
"heroes.name.knights_treevil","وحش الشجرة"
"heroes.name.lionman_barbarian","آزلار"
"heroes.name.lizardman_trapper","كاشريك"
"heroes.name.lizardman_warrior","إشتاك"
"heroes.name.lunar_new_year_baishu","بايشو"
"heroes.name.lunar_new_year_gongniu","غونغنيو"
"heroes.name.lunar_new_year_laohu","لاوهو"
"heroes.name.lunar_new_year_qinglong","تشينغ لونج"
"heroes.name.lunar_new_year_xiaoqing","شاوكينغ"
"heroes.name.lunar_new_year_xiaotu","شياوتو"
"heroes.name.magic_agrafena","أجرافينا"
