"quests.name.ancient_dragon","الجذور العتيقة"
"quests.name.food","اجنِ الطعام"
"quests.name.gargoyles","ملاذ المزاريب"
"quests.name.gargoyles2","عودة إلى الملاذ"
"quests.name.gem","اجمع الجواهر"
"quests.name.gem_uncommon","اجمع الجواهر II"
"quests.name.goblin","قرية الجن"
"quests.name.guestip1","حدث الضيوف الخاصين"
"quests.name.halloween_2018","العودة إلى مورلوفيا"
"quests.name.halloween_2025","الوليمة الدموية"
"quests.name.hotm_quest1","حانة الأساطير"
"quests.name.iron","نقب عن الحديد"
"quests.name.kalevala","كاليفالا"
"quests.name.legendary_troop","ثكنات الأساطير"
"quests.name.limit_breaker_dark","سراب أوميجا"
"quests.name.limit_breaker_fire","سراب أوميجا"
"quests.name.limit_breaker_holy","سراب أوميجا"
"quests.name.limit_breaker_ice","سراب أوميجا"
"quests.name.limit_breaker_nature","سراب أوميجا"
"quests.name.lunar_new_year","السنة القمرية الجديدة"
"quests.name.magic","برج السحر"
"quests.name.magic_impossible","برج السحر: مستحيل"
"quests.name.masquerade","كرنفال الأسياد"
"quests.name.mighty_pets","الحيوانات الأليفة القوية"
"quests.name.monster_island_horde","حشد الوحوش"
"quests.name.monster_island_horde_large","حشد الوحوش الكبير"
"quests.name.monster_island_horde_large_blue","حشد كبير من سحالي التمويه"
"quests.name.monster_island_horde_large_green","حشد كبير من نباتات الزينة"
"quests.name.monster_island_horde_large_purple","حشد البيتلويد الكبير"
"quests.name.monster_island_horde_large_red","حشد كبير من سحالي التمويه"
"quests.name.monster_island_horde_large_yellow","حشد البيتلويد الكبير"
"quests.name.monster_island_horde_medium","حشد الوحوش المتوسط"
"quests.name.monster_island_horde_medium_blue","حشد متوسط من سحالي التمويه"
"quests.name.monster_island_horde_medium_green","حشد متوسط من نباتات الزينة"
"quests.name.monster_island_horde_medium_purple","حشد بيتلويد متوسط"
"quests.name.monster_island_horde_medium_red","حشد متوسط من سحالي التمويه"
"quests.name.monster_island_horde_medium_yellow","حشد بيتلويد متوسط"
"quests.name.monster_island_horde_small","حشد الوحوش الصغير"
"quests.name.monster_island_horde_small_blue","حشد صغير من سحالي التمويه"
"quests.name.monster_island_horde_small_green","حشد صغير من نباتات الزينة"
"quests.name.monster_island_horde_small_purple","حشد بيتلويد صغير"
"quests.name.monster_island_horde_small_red","حشد صغير من سحالي التمويه"
"quests.name.monster_island_horde_small_yellow","حشد بيتلويد صغير"
"quests.name.moths","ليل العثة"
"quests.name.musketeers","الشجاع والجميلة"
"quests.name.ninja","برج النينجا"
"quests.name.ninja_impossible","برج النينجا: مستحيل"
"quests.name.opera","أسرار الأوبرا"
"quests.name.owl","برج البوم"
"quests.name.owl_impossible","برج البوم: المستحيل"
"quests.name.recruits","اعثر على المجندين"
"quests.name.recruits_uncommon","اعثر على المجندين II"
"quests.name.scavenging","جمع الموارد"
"quests.name.shadow_quest","ظلال الأعماق"
"quests.name.slayers","قتلة الأشباح الشرسة"
"quests.name.spring_2018","مهرجان سبرينغفايل"
"quests.name.starter","مهمة المبتدئين"
"quests.name.styx","برج ستيكس"
"quests.name.styx_impossible","برج ستيكس: المستحيل"
"quests.name.summer_2018","امبراطورية الرمال"
"quests.name.super_class_barbarian","اختبارات البربريين الرئيسية"
"quests.name.super_class_cleric","اختبارات الإكليركيين الرئيسية"
"quests.name.super_class_druid","اختبارات الكهنة الرئيسية"
"quests.name.super_class_fighter","اختبارات المقاتلين الرئيسية"
"quests.name.super_class_monk","اختبارات الرهبان الرئيسية"
"quests.name.super_class_paladin","اختبارات البالادين الرئيسية"
"quests.name.super_class_ranger","اختبارات الحراس الجوالين الرئيسية"
"quests.name.super_class_rogue","اختبارات المحتالين الرئيسية"
"quests.name.super_class_sorcerer","اختبارات المشعوذين الرئيسية"
"quests.name.super_class_wizard","اختبارات السحرة الرئيسية"
"quests.name.super_elemental","مسابقة العناصر"
"quests.name.treasure_quest","مهمة الكنز"
"quests.name.valentines","موسم الحب"
"quests.name.villains","عصابة الأشرار"
"quests.name.xmas_2017","أنقذ الشتاء"
"quests.name.xmas_2018","تحدّي بابا نويل"
"quests.name.xp","اكتسب الخبرة"
"quests.special_rule.name.assist_dragon_mastery","براعة التنين المساعد"
"quests.special_rule.name.astralelves","الأقزام النجميين"
"quests.special_rule.name.covenant","معاهدة الأبطال"
"quests.special_rule.name.event_bonus","مكافأة بطل الحدث"
"quests.special_rule.name.family_bonus","العائلات المميزة"
"quests.special_rule.name.goblin","قرية الجن"
"quests.special_rule.name.hero_roster_mastery","إتقان لائحة الأبطال"
"quests.special_rule.name.magiccurse","لعنة السحر"
"quests.special_rule.name.onicurse","لعنة الغول"
