"specials.name.a_cozy_break","舒適小憩"
"specials.name.ashes_to_ashes","化為灰燼"
"specials.name.assassins_blades","刺客之刃"
"specials.name.assassins_in_the_night","深夜刺客"
"specials.name.assassins_in_the_night_pve","深夜刺客"
"specials.name.asterius","野蠻群牛猛衝"
"specials.name.astral_assistance","星界協助"
"specials.name.astral_brew","星界之釀"
"specials.name.astral_dominion","星界主宰"
"specials.name.astral_gemstones","星界寶石"
"specials.name.astral_myrrh","星界末藥"
"specials.name.astral_orb","星界之球"
"specials.name.astral_pastries","星界糕點"
"specials.name.astral_provocation","星界挑釁"
"specials.name.astral_summon","星界召喚"
"specials.name.athenas_arrow","雅典娜之箭"
"specials.name.athenas_bow","雅典娜之弓"
"specials.name.atlantean_blade","亞特蘭蒂斯刀劍"
"specials.name.atlantean_blade_costume","亞特蘭蒂斯之刃"
"specials.name.atlantean_charge","亞特蘭蒂斯衝鋒"
"specials.name.atlantean_toon_spear","亞特蘭蒂斯長矛公仔"
"specials.name.atlantean_toon_sword","亞特蘭蒂斯刀劍公仔"
"specials.name.attack_rally","攻擊動員"
"specials.name.aura_of_twilight","暮光光環"
"specials.name.aura_wave","光環波"
"specials.name.autumnal_wind","秋風"
"specials.name.avenger_of_mothkind","蛾族復仇者"
"specials.name.awaken_ki","氣之覺醒"
"specials.name.awe_bolt","劇毒閃電"
"specials.name.axe_of_retribution","懲戒之斧"
"specials.name.axe_throw","扔斧頭"
"specials.name.azurelight_greatsword","碧光巨劍"
"specials.name.backstab","背刺"
"specials.name.bad_fortune","厄運"
"specials.name.bag_of_necessities","必需物品包"
"specials.name.bagh_nakh_thrust","虎爪突刺"
"specials.name.bakers_baguettes","烘焙師法棍"
"specials.name.balanced_teamwork","和諧團隊合作"
"specials.name.ballad_of_attraction","愛慕民謠"
"specials.name.ballad_of_condemnation","譴責民謠"
"specials.name.ballad_of_obsession","癡迷民謠"
"specials.name.ballad_of_pain","痛苦民謠"
"specials.name.ballad_of_passion","熱情民謠"
"specials.name.ballad_of_purple_swan","黑暗天鵝民謠"
"specials.name.ballad_of_restoration","復原之歌"
"specials.name.ballad_of_the_purple_swan","黑暗天鵝民謠"
"specials.name.bandalore_dance","溜溜球舞"
"specials.name.barb_sting_dragon_pve","倒鉤尖刺"
"specials.name.barbed_arrows","倒鉤箭"
"specials.name.barbed_bolt_zidane","倒鉤弩箭"
"specials.name.bark_of_protection","保護之青棕戰士"
"specials.name.basilisk_breath","翼蜥之息"
"specials.name.battering_ram","攻城槌"
"specials.name.battle_boast","戰前自誇"
"specials.name.battleclaw_strike","戰爪打擊"
"specials.name.beach_party","海灘派對"
"specials.name.beautiful_petals","絢麗花瓣"
"specials.name.bee_bombast","蜂式衝擊"
"specials.name.bee_bravado","蜂式蠻進"
"specials.name.beetle_strike","甲殼蟲來襲"
"specials.name.berserker_strike","狂戰士打擊"
"specials.name.bewildering_riddle","難解之謎"
"specials.name.bewitched_daggers","蠱惑匕首"
"specials.name.binding_contract","約束契約"
"specials.name.birch_blessing","樺木祝福"
"specials.name.bite_of_protection","保護之咬"
"specials.name.bites_of_disorientation","迷惘咬擊"
"specials.name.bitter_berry_blast_dragon_pve","苦莓果爆裂"
"specials.name.bizarre_mist","怪異迷霧"
"specials.name.black_tassel_spear_sting","黑色流蘇長槍針尖"
"specials.name.black_tide","黑潮"
"specials.name.blade_barrage","利刃之雨"
"specials.name.blade_dance","舞池刀刃"
"specials.name.blade_of_betrayal","背叛之刃"
"specials.name.blade_of_bundelkhand","蛾族之刃"
"specials.name.blade_of_horrid_affliction","可怕痛苦之刃"
"specials.name.blade_tail_swipe","刃尾橫掃"
"specials.name.blade_venom","利刃毒液"
"specials.name.blade_wings","刀之翼"
"specials.name.blazing_beak","熾焰之喙"
"specials.name.blazing_corolla","熾熱花冠"
"specials.name.blazing_inferno","熾焰煉獄"
"specials.name.blazing_rave_dance","熾焰狂舞"
"specials.name.blazing_slam_dunk","熾焰灌籃"
"specials.name.blazing_venom","熾焰毒液"
"specials.name.bleed_inducing_daggers","流血匕首"
"specials.name.bleeding_edge","流血利刃"
"specials.name.bleeding_hammer","流血大錘"
"specials.name.bleeding_stab","流血戳擊"
"specials.name.bleeding_thrust","流血推力"
"specials.name.blessed_blade","祝福之刃"
"specials.name.blessed_blade_pve","祝福之刃"
"specials.name.blessed_brew","祝福之釀"
"specials.name.blessed_solo","祝福之人"
"specials.name.blessed_tankard","庇佑酒杯"
"specials.name.blessing_from_the_future","來自未來的祝福"
"specials.name.blessing_of_gjallarhorn","加拉爾號角庇佑"
"specials.name.blessing_of_the_evergrove","常青林的祝福"
"specials.name.blessing_of_the_skies","天空的祝福"
"specials.name.blind_rage","失智狂怒"
"specials.name.blinding_attack","致盲攻擊"
"specials.name.blinding_curse","致盲詛咒"
"specials.name.blinding_flash","致盲炫閃電"
"specials.name.blinding_flash_s4","致盲炫閃電"
"specials.name.blinding_injustice","致盲不義"
"specials.name.blinding_knowledge","致盲知識"
"specials.name.blinding_light","致盲之光"
"specials.name.blinding_orb","致盲之球"
"specials.name.blinding_pounce","致盲猛撲"
"specials.name.blinding_spell","致盲咒語"
"specials.name.blinding_spit","致盲噴吐"
"specials.name.blinding_stinger","致盲刺針"
"specials.name.blinding_strike","致盲打擊"
"specials.name.blinding_wisdom","致盲智慧"
"specials.name.blizzard","暴風雪"
"specials.name.blizzard_roar","暴風雪之吼"
"specials.name.blob_of_fury","怒氣體"
"specials.name.blood_illusion","血之幻象"
"specials.name.blood_petals_of_the_withered","血花瓣"
"specials.name.blood_sacrifice","血祭打擊"
"specials.name.bloodthirst","嗜血攻擊"
"specials.name.blooming_growth","興盛成長"
"specials.name.bludgeoning","連環重擊"
"specials.name.blue_lizard_charge","藍色迷彩蜥蜴衝鋒"
"specials.name.blue_shroom_wand","藍色迷幻蘑菇魔杖"
"specials.name.blur_of_steel","刃影殘光"
"specials.name.blur_of_steel_pve","刃影殘光"
"specials.name.boar_call","野豬呼喚"
"specials.name.boar_charge","野豬衝鋒"
"specials.name.boar_of_fury","野豬之怒"
"specials.name.boat_ride_from_the_beyond","從天渡運而來"
"specials.name.bobo_blitz","波波閃電戰"
"specials.name.bolstering_rush","振奮速攻"
"specials.name.bond_of_avarice","貪婪連結"
"specials.name.bone_arrow","骨箭"
"specials.name.bone_club_clonk","骨棒重擊"
"specials.name.bone_club_party","骨棒派對"
"specials.name.bone_ritual","骨儀式"
"specials.name.bone_slam","骨頭猛撞"
"specials.name.bone_toss","飛翔之骨"
"specials.name.booming_mend","蓬勃發展"
"specials.name.boon_of_gjallarhorn","加拉爾號角"
"specials.name.boopstrike","干擾打擊"
"specials.name.boreal_bash","近北極猛擊"
"specials.name.boulder_smash","巨石粉碎"
"specials.name.bound_by_knowledge","知識束縛"
"specials.name.bound_by_tales","束縛傳說"
"specials.name.bounty_of_the_spring","春季賞金"
"specials.name.bouquet_of_the_seas","海之花束"
"specials.name.brain_link","腦連結"
"specials.name.branded_by_fire","火之烙印"
"specials.name.break_free","掙脫"
"specials.name.break_strike","摧毀打擊"
"specials.name.breaker_blade","開拓者之刃"
"specials.name.breaker_blade_pve","開拓者之刃"
"specials.name.breath_of_darkness","暗黑之息"
"specials.name.breath_of_life","生命之息"
"specials.name.breath_of_the_abyss","深淵之息"
"specials.name.brew_of_the_centaurs","人馬釀造"
"specials.name.brides_kiss","新娘之吻"
"specials.name.brilliant_brew","精純釀造"
"specials.name.brilliant_sweep_dragon_pve","絢爛橫掃"
"specials.name.bringer_of_order","秩序降臨"
"specials.name.brittling_burst","尖脆爆裂"
"specials.name.brittling_force","碎裂之力"
"specials.name.brittling_strike","碎裂打擊"
"specials.name.bruiser_bros","格鬥兄弟"
"specials.name.brutal_bull_rush","野蠻群牛猛衝"
"specials.name.brutal_support","野蠻支援"
"specials.name.buccaneers_blade","海盜利刃"
"specials.name.bugs_shell","蟲殼"
"specials.name.building_blocks_bulklug","建造磚"
"specials.name.bulwark_charge","壁壘衝鋒"
"specials.name.burning_ashes","燃燒灰燼"
"specials.name.burning_ashes2","燃燒灰燼"
"specials.name.burning_chains","燃燒鏈鎖"
"specials.name.burning_claws_dragon_pve","燃燒利爪"
"specials.name.burning_javelin","燃燒標槍"
"specials.name.burning_pollen_dragon_pve","火焰之翼"
"specials.name.burning_shields","燃燒護盾"
"specials.name.burning_spin","燃燒旋轉"
"specials.name.burning_strike","燃燒打擊"
"specials.name.burning_thread","燃燒線"
"specials.name.burning_wok","燃燒鍋"
"specials.name.but_a_scratch","毫髮無傷"
"specials.name.butterfly_swarm","蝴蝶沼澤"
"specials.name.call_of_the_elements","元素召喚"
"specials.name.call_to_arms","仁義之師"
"specials.name.calling_the_bluff","吹牛唬人"
"specials.name.calm_jab_dragon_pve","平靜猛刺"
"specials.name.calming_mist","平靜迷霧"
"specials.name.camouflage_foliage","偽裝枝葉"
"specials.name.candy_vines","糖果藤蔓"
"specials.name.cannibalizing_munch","毀滅咀嚼"
"specials.name.cannon_blast","大砲爆裂"
"specials.name.cannonball_splash","濺水砲彈"
"specials.name.capsicum_charge","甜椒衝鋒"
"specials.name.captains_cutlass","船長彎刀"
"specials.name.captivating_illusions","誘人幻象"
"specials.name.carnivore_garden","肉食者花園"
"specials.name.carve_a_hole","挖洞"
"specials.name.carve_the_bones","雕刻骨頭"
"specials.name.cascading_darkness","層疊黑暗"
"specials.name.cascading_whirlwind","層疊旋風"
"specials.name.cataclysmic_divination","災難占卜"
"specials.name.catnip_fury","貓薄荷之怒"
"specials.name.cauterizing_flame","燒灼火焰"
"specials.name.cauterizing_touch","燒灼之觸"
"specials.name.cavalier_hat_of_dark_realm","黑暗王國的騎兵帽"
"specials.name.celestial_anvil","天界鐵砧"
"specials.name.ceremonial_dance","典禮之舞"
"specials.name.ceremonial_katar","儀式短刺"
"specials.name.chain_blasm_strike","鏈鎖爆炸打擊"
"specials.name.chain_lightning","連鎖閃電"
"specials.name.chain_of_pain","苦痛之鍊"
"specials.name.chain_strike","鏈鎖打擊"
"specials.name.chains_of_legion","軍團鎖鍊"
"specials.name.chains_of_light","光明鎖鏈"
"specials.name.chakram_kick","環刃踢"
"specials.name.challenge_the_strongest","挑戰最強者"
"specials.name.champagne_hammer","香檳之錘"
"specials.name.champion_maneuver","勇士調動"
"specials.name.championship_carrot","英勇胡蘿蔔"
"specials.name.change_stance","賭徒劈斬"
"specials.name.channel_ki","氣之引導"
"specials.name.channeler_of_the_cats","貓類的媒介"
"specials.name.channeler_of_the_gods","眾神的媒介"
"specials.name.chaos_bolt_volley","混沌閃電齊射"
"specials.name.chaos_venom","渾沌毒液"
"specials.name.charged_fireball_dragon_pve","衝鋒火球"
"specials.name.charm_of_protection","保護護符"
"specials.name.charmed_dual_blade","雀躍雙刃"
"specials.name.charmers_blades","巫師之刃"
"specials.name.cheerful_charm","歡欣魅力"
"specials.name.cheese_wheel_rampage","起司輪大暴走"
"specials.name.cherry_pudding_served","櫻桃布丁上桌了！"
"specials.name.chieftains_vengeance","酋長的復仇"
"specials.name.chilling_counterattack","冰寒反擊"
"specials.name.chilling_slash","冰寒連斬"
"specials.name.chitin_cage","甲殼素牢籠"
"specials.name.chords_of_distortion","失真合音"
"specials.name.chords_of_havoc","浩劫和弦"
"specials.name.chords_of_inferno","煉獄和弦"
"specials.name.claw_power","哥布林暴怒"
"specials.name.claw_swipe","利爪揮擊"
"specials.name.claws_of_fury","憤怒之爪"
"specials.name.claws_of_the_hunter","獵人之爪"
"specials.name.claws_of_the_lioness","母獅利爪"
"specials.name.claws_of_the_night","暗夜之爪"
"specials.name.claws_of_the_night_ultimate_boss","暗夜之爪"
"specials.name.cleansing_determination","淨化決心"
"specials.name.cleansing_determination_pve","淨化決心"
"specials.name.cleansing_strike","俐落攻擊"
"specials.name.cleave_and_reflect","劈擊與反射"
"specials.name.cleave_counter","劈裂反擊"
"specials.name.clever_stratagem","錦囊妙計"
"specials.name.cloak_of_feathers","羽毛斗篷"
"specials.name.close_order_formation","密集隊形"
"specials.name.cloth_of_constellations","星座之衣"
"specials.name.cloud_axe","雲端斧頭"
"specials.name.cloud_hammer","雲端大錘"
"specials.name.clowns_blessing","小丑的祝福"
"specials.name.coastal_recharge","海岸補充"
"specials.name.coiling_whip","捲圈鞭打"
"specials.name.coins_of_pain","痛苦之幣"
"specials.name.cold_blast","暴風雪"
"specials.name.cold_blast_single","冰冷爆裂"
"specials.name.cold_command","冰冷指揮"
"specials.name.cold_fire","冷火"
"specials.name.colossal_bite","怪力啃咬"
"specials.name.colossal_carry","怪力攜帶"
"specials.name.colossal_chops","怪力劈砍"
"specials.name.comet","燒灼光線"
"specials.name.command_pack","指揮群體"
"specials.name.command_sand_golems","指揮砂巨像"
"specials.name.command_to_advance","全軍出擊"
"specials.name.command_to_advance_costume_fire_bat","進攻指令"
"specials.name.commanders_gauntlet","司令手套"
"specials.name.commodores_malice","准將的惡意"
"specials.name.commodores_revenge","准將復仇"
"specials.name.compact_lance","長槍衝擊"
"specials.name.concussive_charge","震盪衝鋒"
"specials.name.confident_strategy","自信策略"
"specials.name.conjure_the_azure_spirit","召喚蔚藍靈魂"
"specials.name.connect_ki","氣之連結"
"specials.name.connect_ki_pve","氣之連結"
"specials.name.conquerors_command","征服者之命"
"specials.name.constellation_crush","星座粉碎"
"specials.name.corals_of_nourishment","營養品珊瑚"
"specials.name.core_beam","核心光束"
"specials.name.core_blast","核心爆裂"
"specials.name.core_burst","核心爆發"
"specials.name.corroding_cutlass","腐蝕彎刀"
"specials.name.corrosive_acid","腐蝕酸液"
"specials.name.corrosive_burn_claws_dragon_pve","腐蝕燃燒爪"
"specials.name.corrosive_claws_dragon_pve","腐蝕毒爪"
"specials.name.corrosive_pollen","腐蝕花粉"
"specials.name.corrupting_idol","腐朽中的偶像"
"specials.name.cosmic_clock","宇宙鐘"
"specials.name.cosmic_devotion","宇宙奉獻"
"specials.name.countering_hammock","反擊吊床"
"specials.name.counterstance","反擊姿態"
"specials.name.couriers_dash","信差衝刺"
"specials.name.cover_slam","隱密猛撞"
"specials.name.covert_stab","無悔戳擊"
"specials.name.cracked_skull_strike","碎骨打擊"
"specials.name.crawling_vines","纏繞藤蔓"
"specials.name.crazed_lunge","瘋狂戳刺"
"specials.name.crazed_stampede","瘋狂踩踏"
"specials.name.creative_hands","創意之手"
"specials.name.creeping_venom","蔓延毒液"
"specials.name.creeping_vines","匍匐藤蔓"
"specials.name.crescent_moon_strike","新月打擊"
"specials.name.crescent_shield","新月盾牌"
"specials.name.crescent_spear","新月長矛"
"specials.name.crimson_blade","深紅之刃"
"specials.name.crimson_calamity","腥紅災難"
"specials.name.crimson_calamity2","腥紅災難"
"specials.name.crimson_hunt","腥紅狩獵"
"specials.name.crippling_claws","重創利爪"
"specials.name.crippling_claws_pve","重創利爪"
"specials.name.crippling_grapple","致殘抓握"
"specials.name.critical_cookout","極限野炊"
"specials.name.critical_tactics","關鍵戰術"
"specials.name.croc_bite","鱷魚撕咬"
"specials.name.crush_of_avarice","貪婪粉碎"
"specials.name.crush_of_hel","冥界粉碎"
"specials.name.crush_of_malice","惡意重壓"
"specials.name.crush_of_toon_hel","赫爾公仔粉碎"
"specials.name.crushing_claws","粉碎之爪"
"specials.name.crushing_shot","粉碎射擊"
"specials.name.crust_of_divinity","神聖外殼"
"specials.name.cry_for_absolution","呼求寬恕"
"specials.name.crystal_barrage","水晶箭雨"
"specials.name.crystal_bombardment","水晶轟炸"
"specials.name.crystal_embrace","水晶擁抱"
"specials.name.crystalis","冰凍水晶"
"specials.name.crystalline_strike","水晶打擊"
"specials.name.cub_leader_cut","幼獸領袖切割"
"specials.name.cube_of_dark_realm","黑暗立方王國"
"specials.name.cult_of_arachnid","蛛形邪教"
"specials.name.cunning_knife","狡詐刀刃"
"specials.name.cup_of_mead","一杯蜂蜜酒"
"specials.name.curse_of_sargasso","馬尾藻詛咒"
"specials.name.curse_of_the_cephaloid","頭顱的詛咒"
"specials.name.curse_of_the_depths","深處的詛咒"
"specials.name.curse_of_the_sea","海之詛咒"
"specials.name.curse_of_the_specter","幽魂詛咒"
"specials.name.curse_of_the_specter_pve","幽魂詛咒"
"specials.name.cursed_fumes","詛咒煙霧"
"specials.name.cursed_fumes2","詛咒煙霧"
"specials.name.cursed_garden","詛咒花園"
"specials.name.cursed_painting","受詛咒的畫作"
"specials.name.cursed_plan","受詛咒的計畫"
"specials.name.cursed_strike","受詛打擊"
"specials.name.cursed_tail_whip","詛咒尾鞭"
"specials.name.cut_cure_and_craze","劃傷、治癒和瘋狂"
"specials.name.cut_down_the_competition","消減競爭"
"specials.name.cute_and_dangerous","可愛又危險"
"specials.name.cuts_of_hulu","乎魯切痕"
"specials.name.dagger_of_shadows","暗影匕首"
"specials.name.dance_of_fire","烈火之舞"
"specials.name.dance_of_flame","火焰之舞"
"specials.name.dance_of_glass","玻璃舞"
"specials.name.dance_of_ignition","燃火之舞"
"specials.name.dance_of_siegfried","齊格弗里德舞"
"specials.name.dance_of_spirits","靈魂之舞"
"specials.name.dance_of_the_dunes","沙丘舞"
"specials.name.dance_of_the_heron","蒼鷺舞"
"specials.name.dance_of_the_little_swan","小天鵝舞"
"specials.name.dance_of_the_queen","皇后舞"
"specials.name.dance_of_the_raven","黑天鵝之舞"
"specials.name.dance_of_the_slimy","黏膩之舞"
"specials.name.dance_of_the_swan","天鵝舞"
"specials.name.dance_of_the_yellow_swan","光明天鵝舞"
"specials.name.dance_of_toons","公仔之舞"
"specials.name.dancestance","跳舞姿態"
"specials.name.dancing_dodge","舞動閃避"
"specials.name.dancing_slash","跳舞連斬"
"specials.name.dantes_inferno","但丁的煉獄"
"specials.name.dark_barrage","暗黑箭雨"
"specials.name.dark_bolt","暗黑閃電"
"specials.name.dark_lord","冰霜之刺"
"specials.name.dark_mirror","火焰之鏡"
"specials.name.dark_orb","暗黑之球"
"specials.name.dark_shock","暗黑震波"
"specials.name.darts_of_the_deep","深淵飛鏢"
"specials.name.dauntless_bladestorm","猛烈刀雨"
"specials.name.dawn_strike","黎明打擊"
"specials.name.dawnlight_rally","曙光集結"
"specials.name.day_of_judgement","審判日"
"specials.name.day_of_reckoning","清算之日"
"specials.name.dazzling_gleam","炫目閃光"
"specials.name.dazzling_grin","粲然一笑"
"specials.name.dazzling_sweep_dragon_pve","炫目橫掃"
"specials.name.deadly_claw","致命之爪"
"specials.name.deadly_constriction","致命壓縮"
"specials.name.deadly_riposte","致命還擊"
"specials.name.deadly_sting","致命之螫"
"specials.name.deafening_parade","巨響遊行"
"specials.name.deathly_glaive","奪命闊劍"
"specials.name.deathstrike","死亡打擊"
"specials.name.debt_drain_boboosang","債務流失"
"specials.name.deceiving_glow","欺瞞輝光"
"specials.name.deceptive_smalltalk","欺瞞小語"
"specials.name.deep_sea_ritual","深海儀式"
"specials.name.defensive_tactics","防禦策略"
"specials.name.delay_the_inevitable","延遲宿命"
"specials.name.delicious_demise","美味滅亡"
"specials.name.delicious_idol","美味偶像"
"specials.name.demolishing_crush","拆除碎擊"
"specials.name.demoralizing_banter","令人低落的取笑"
"specials.name.depth_blast","深淵爆裂"
"specials.name.deranged_existence","瘋狂存在"
"specials.name.desert_blessing","沙漠庇佑"
"specials.name.destructive_strike","三叉戟猛刺"
"specials.name.deteriorating_morale","士氣衰敗"
"specials.name.devastating_slash","毀滅斬"
"specials.name.devastating_thrust","毀滅突刺"
"specials.name.dewling_strike","露水打擊"
"specials.name.dewling_sweep","露水拂掃"
"specials.name.dewling_warcry","露水戰嚎"
"specials.name.dig_a_hole","挖洞"
"specials.name.dinner_with_the_beast","與野獸共宴"
"specials.name.dire_ghost","恐怖幽靈"
"specials.name.directors_blessing","團長庇佑"
"specials.name.directors_blessing_pve","團長庇佑"
"specials.name.disabling_decree","禁止令"
"specials.name.disabling_study","禁用研究"
"specials.name.disarming_gaze_dragon_pve","繳械凝視"
"specials.name.disheartening_riddle","沮喪謎語"
"specials.name.dishonorable_ploy","無恥奸計"
"specials.name.disir_of_dreams","夢之幽靈"
"specials.name.disir_of_dusk","黃昏幽靈"
"specials.name.dispelling_curse","驅散詛咒"
"specials.name.dispelling_judgement","驅散審判"
"specials.name.dispelling_potion","驅散藥水"
"specials.name.dispelling_strike","驅散打擊"
"specials.name.dispelling_willpower","誅心之力"
"specials.name.dispelling_willpower_pve","誅心之力"
"specials.name.disquieting_tune","不安曲調"
"specials.name.disrupting_charge","暴虐衝鋒"
"specials.name.disrupting_charge_costume_tiger_lord","毀滅衝鋒"
"specials.name.divine_connection","神聖連接"
"specials.name.divine_current","神聖電流"
"specials.name.divine_light1","神聖光輝"
"specials.name.divine_lunge","神聖猛刺"
"specials.name.divine_protection","神聖守護"
"specials.name.divine_protection_deadly","神聖守護"
"specials.name.divine_reflection","神聖反射"
"specials.name.divine_reversal","神聖逆轉"
"specials.name.dizzying_strike","目眩打擊"
"specials.name.donut_to_the_rescue","甜甜圈來救援了！"
"specials.name.doomrend","末日審判"
"specials.name.doomstrike","冰霜之刺"
"specials.name.double_flail_mayhem","雙鏈枷混亂"
"specials.name.double_strike","雙重打擊"
"specials.name.doublebarreled_starstick","雙管星槍"
"specials.name.dozy_mead","昏睡蜜酒"
"specials.name.dragon_autumn_blaze","秋日熾焰"
"specials.name.dragon_blaze_of_fatigue","疲憊熾焰"
"specials.name.dragon_blaze_of_mortality","死亡熾焰"
"specials.name.dragon_blaze_of_protection","保護熾焰"
"specials.name.dragon_blaze_of_suppression","壓制之焰"
"specials.name.dragon_blaze_of_the_hydra","九頭蛇熾焰"
"specials.name.dragon_blaze_of_the_undying","不死熾焰"
"specials.name.dragon_blaze_of_torment","折磨熾焰"
"specials.name.dragon_blazing_inferno","熾焰煉獄"
"specials.name.dragon_blazing_storm","熾焰風暴"
"specials.name.dragon_blinding_blaze","致盲熾焰"
"specials.name.dragon_blinding_blaze_duskwing","致盲熾焰"
"specials.name.dragon_blinding_blaze_jawbreaker","致盲熾焰"
"specials.name.dragon_blinding_blaze_wildheart","致盲熾焰"
"specials.name.dragon_breath_of_bulwark","壁壘之息"
"specials.name.dragon_breath_of_compassion","憐憫之息"
"specials.name.dragon_breath_of_nourishment","營養之息"
"specials.name.dragon_breath_of_retribution","懲戒之息"
"specials.name.dragon_breath_of_revival","復活之息"
"specials.name.dragon_cauterizing_blaze","燒灼熾焰"
"specials.name.dragon_charring_blaze","焦化熾焰"
"specials.name.dragon_claws","龍爪"
"specials.name.dragon_cleansing_flame","淨化火焰"
"specials.name.dragon_corrosive_blaze","腐蝕熾焰"
"specials.name.dragon_cracking_blaze","碎裂熾焰"
"specials.name.dragon_crackling_blaze_smoldercoil","碎裂熾焰"
"specials.name.dragon_crashing_blaze","撞擊熾焰"
"specials.name.dragon_crippling_blaze","致殘熾焰"
"specials.name.dragon_crippling_blaze_belzaas","致殘熾焰"
"specials.name.dragon_crushing_blaze","粉碎熾焰"
"specials.name.dragon_dampening_blaze","抑制熾焰"
"specials.name.dragon_dazing_blaze","眩暈熾焰"
"specials.name.dragon_delivery_service","巨龍運送服務"
"specials.name.dragon_destabilizing_blaze","動蕩熾焰"
"specials.name.dragon_devastating_blaze","毀滅熾焰"
"specials.name.dragon_disarming_blaze","繳械熾焰"
