"heroes.name_fancy.astral_cosmicspeaker","القزم النجمي عالم الفلك"
"heroes.name_fancy.beauty_beast_the_beast","أمير القلعة المسحورة الوحيد"
"heroes.name_fancy.beowulf_aeschere","حكيم السكيلدنغز"
"heroes.name_fancy.beowulf_beowulf","سيف الغيتس"
"heroes.name_fancy.beowulf_breca","الصديق المخلص"
"heroes.name_fancy.beowulf_ecgtheow","قائد الحرب الشرس"
"heroes.name_fancy.beowulf_freawaru","صانعة السلام"
"heroes.name_fancy.beowulf_grendel","وحش الجحيم مدمّر السيوف"
"heroes.name_fancy.beowulf_grendels_mother","الساحرة العجوز المروعة"
"heroes.name_fancy.beowulf_hrothgar","سيد قاعة الميد"
"heroes.name_fancy.beowulf_hygd","ملكة الغيتس"
"heroes.name_fancy.beowulf_modthryth","المحاربة الوحشية"
"heroes.name_fancy.beowulf_nithgaest","هلاك بيوولف"
"heroes.name_fancy.beowulf_unferth","حامل سيف هرونتينغ"
"heroes.name_fancy.beowulf_wealhtheow","مزين بخاتم، ذو قلب ملكي"
"heroes.name_fancy.beowulf_weland","الحداد البارع"
"heroes.name_fancy.beowulf_wiglaf","ابن ويوهستان"
"heroes.name_fancy.blackguard_commander","الدوق الكئيب"
"heroes.name_fancy.blackguard_commander_costume_cute","الكرتوني الحزين"
"heroes.name_fancy.blackguard_commander_costume_feather","الدوق المفجوع"
"heroes.name_fancy.blackguard_commander_costume_glass","فيتريل الحزين"
"heroes.name_fancy.blackguard_commander_costume_metal","دوق الروك"
"heroes.name_fancy.blackguard_female_archer","رامي السهام الطموح"
"heroes.name_fancy.blackguard_female_captain","الآمر الحازم"
"heroes.name_fancy.blackguard_female_captain_costume_cute","الحازمة الكرتونية"
"heroes.name_fancy.blackguard_female_captain_costume_glass","فيتريل الحازمة"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","المشرف الحازم"
"heroes.name_fancy.blackguard_knight","الفارس النبيل"
"heroes.name_fancy.blackguard_knight_costume_cute","الفارس الكرتوني"
"heroes.name_fancy.blackguard_knight_costume_elegant","النبيل المتأنق"
"heroes.name_fancy.blackguard_knight_costume_glass","فارس الزجاج"
"heroes.name_fancy.blackguard_knight_costume_healer","الشافي النبيل"
"heroes.name_fancy.blackguard_scout","الفارّ المورغوفي"
"heroes.name_fancy.blackguard_skulker","القاتل المعتوه"
"heroes.name_fancy.blackguard_skulker_costume_cute","الكرتوني المعتوه"
"heroes.name_fancy.blackguard_skulker_costume_doctor","الجراح المعتوه"
"heroes.name_fancy.blackguard_skulker_costume_glass","القاتل الزجاجي"
"heroes.name_fancy.castle_bear_armel","سفير القطب الشمالي"
"heroes.name_fancy.castle_bear_bearnadette","رسامة البورتريه"
"heroes.name_fancy.castle_bear_humbert","المدافع عن المرتفعات"
"heroes.name_fancy.castle_bear_koda","فارس غابة البرقوق"
"heroes.name_fancy.castle_bear_teddy","القلب النقي"
"heroes.name_fancy.castle_bear_torben","سيد المرتفعات"
"heroes.name_fancy.castle_bear_winnie","صانعة السلاح أورسين"
"heroes.name_fancy.castle_bear_yona","مهرجة المرتفعات"
"heroes.name_fancy.castle_raven_aderyn","مسعف القلعة"
"heroes.name_fancy.castle_raven_eloise","ساحر القلعة"
"heroes.name_fancy.castle_raven_franz","حامي القلعة"
"heroes.name_fancy.castle_raven_lewena","رامي القلعة"
"heroes.name_fancy.castle_raven_quintin","مطارد القلعة"
"heroes.name_fancy.castle_raven_quintin_costume_ice","صائد صقيع الغربان"
"heroes.name_fancy.castle_raven_rayne","كابتن القلعة"
"heroes.name_fancy.castle_raven_rayne_costume_energy","كابتن الغربان"
"heroes.name_fancy.castle_raven_wren","كشافة القلعة"
"heroes.name_fancy.castle_stag_alvar","المستكشف"
"heroes.name_fancy.castle_stag_cecilia","المباركة من الغسق"
"heroes.name_fancy.castle_stag_daemon","منتقم التالفين"
"heroes.name_fancy.castle_stag_fawn","المرافقة المخلصة"
"heroes.name_fancy.castle_stag_lysanor","عرافة الحلم الياقوتي"
"heroes.name_fancy.castle_stag_raleigh","باحث الغابة الزمردية"
"heroes.name_fancy.castle_stag_siofra","حافظة العهد"
"heroes.name_fancy.castle_stag_xiamara","حارسة الغابة الزمردية"
"heroes.name_fancy.castle_wolf_bertulf","طباخ القلعة"
"heroes.name_fancy.castle_wolf_esme","كبير سحرة القلعة"
"heroes.name_fancy.castle_wolf_ferant","مأمور سجن القلعة"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","حارس الذئاب"
"heroes.name_fancy.castle_wolf_ludwig","مدافع القلعة"
"heroes.name_fancy.castle_wolf_quenell","بطل القلعة"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","بطل الذئاب"
"heroes.name_fancy.castle_wolf_wolfgang","قائد القلعة"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","قائد الذئاب"
"heroes.name_fancy.champions_lazara","بطلة البيسبول"
"heroes.name_fancy.champions_mistra","بطل رمي الأقراص"
"heroes.name_fancy.champions_nogu","بطل رمي الرمح"
"heroes.name_fancy.champions_norman","بطل المبارزة"
"heroes.name_fancy.champions_ramona","بطلة الخروف توريزمو"
"heroes.name_fancy.champions_satori","بطل السومو"
"heroes.name_fancy.christmas_albin","ذواقة الشوكولاتة الساخنة"
"heroes.name_fancy.christmas_augustus","كبير الأقزام"
"heroes.name_fancy.christmas_buster","قزم الحديقة الغاضب"
"heroes.name_fancy.christmas_carol","مساعد بابا نويل الصغير"
"heroes.name_fancy.christmas_cookie","القزم العالِم"
"heroes.name_fancy.christmas_dizzy","القزم المهرج"
"heroes.name_fancy.christmas_elf","مساعد بابا نويل الصغير"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","محاسب سانتا"
"heroes.name_fancy.christmas_florencia","حارسة الثلج"
"heroes.name_fancy.christmas_frosty","الحارس الشمالي"
"heroes.name_fancy.christmas_ginger","القزم المستكشف"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","القزمة سيدة الهدايا"
"heroes.name_fancy.christmas_holly","القزمة رئيسة الطهاة"
"heroes.name_fancy.christmas_jolly","القزم الحطاب"
"heroes.name_fancy.christmas_krampus","غول العطلة"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","مهرج العطلات"
"heroes.name_fancy.christmas_mr_pengi","كابتن حراس بابا نويل"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","قائد فريق التزلج على الجليد"
"heroes.name_fancy.christmas_mrs_claus","القائدة الشمالية"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","عاشقة سترات العطلات"
"heroes.name_fancy.christmas_noel","طفل الزلاجة المرح"
"heroes.name_fancy.christmas_ottilia","مزيّنة الأقزام"
"heroes.name_fancy.christmas_peppermint","القزم الخيميائي"
"heroes.name_fancy.christmas_reindeer","فرس بابا نويل المخلص"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","جواد سانتا النبيل"
"heroes.name_fancy.christmas_santa","جالب الهدايا"
"heroes.name_fancy.christmas_santa_costume_metal","بابا نويل هارد روك"
"heroes.name_fancy.christmas_tinsel","القزمة المُصلحة"
"heroes.name_fancy.christmas_zappa","القزم الساحر"
"heroes.name_fancy.circus_bobo","يتي يتمتع بالقلب الأكثر دفئًا"
"heroes.name_fancy.circus_candy","مهرجة مبتهجة"
"heroes.name_fancy.circus_dandre","حاوي ماهر"
"heroes.name_fancy.circus_director_zuri","سيد السيرك"
"heroes.name_fancy.circus_director_zuri_costume_clown","سيد المهرجين"
"heroes.name_fancy.circus_eichbelborg","لاعب كمال أجسام مغرور"
"heroes.name_fancy.circus_eiora_and_fluffy","زوج ديناميكي"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","الثنائي المظلم"
"heroes.name_fancy.circus_emilio","مروض العنقاء العظمى"
"heroes.name_fancy.circus_emilio_costume_frog","مروض الضفدع العظيم"
"heroes.name_fancy.circus_faline","البهلوان المذهل"
"heroes.name_fancy.circus_marcel","أكثر المهرجين خبثًا"
"heroes.name_fancy.circus_theobald","دب معجزة قاذف للسكاكين"
"heroes.name_fancy.circus_whacker","المدمر المجنون"
"heroes.name_fancy.construct_arzen","مركز المراقب الشرير"
"heroes.name_fancy.construct_blue_mage","مركز ساحر ستاربورن"
"heroes.name_fancy.construct_bonechill","مركز الصقيع"
"heroes.name_fancy.construct_brimstone","مركزالجحيم"
"heroes.name_fancy.construct_carta","بناء رسام الخرائط"
"heroes.name_fancy.construct_dancrag","مركز العملاق القديم"
"heroes.name_fancy.construct_ferrus","مركز القرصان"
"heroes.name_fancy.construct_frond","مركز الجني"
"heroes.name_fancy.construct_glacivolt","مركز المراقب الثلجي"
"heroes.name_fancy.construct_gwynn","بناء تدفق الطاقة"
"heroes.name_fancy.construct_halwinter","بناء ذو درع ثقيل"
"heroes.name_fancy.construct_haulstone","مركز حمل الكل"
"heroes.name_fancy.construct_hornfel","مركز المينوتور"
"heroes.name_fancy.construct_hotspin","مركز إعصار اللهب"
"heroes.name_fancy.construct_ironheart","مركز الحارس المجيد"
"heroes.name_fancy.construct_ironvein","مركز المساعد المجيد"
"heroes.name_fancy.construct_japanese_doll","مركز دمية الخزف"
"heroes.name_fancy.construct_nautica","مركز الملاح"
"heroes.name_fancy.construct_nocturne","مركز الخزان الفارغ"
"heroes.name_fancy.construct_rhineglow","بناء المكثف الفائق"
"heroes.name_fancy.construct_rustbeak","مركز البومة"
"heroes.name_fancy.construct_scoria","البناء دائم الاحتراق"
"heroes.name_fancy.construct_shaal","مركز إكليركي"
"heroes.name_fancy.construct_shacklebolt","مركز السجين"
"heroes.name_fancy.construct_sizzleomatic","مركز الطاهي المتحمس"
"heroes.name_fancy.construct_skarn","بناء صقيع الشقاء"
"heroes.name_fancy.construct_sylosis","مركز ممارس الفنون القتالية"
"heroes.name_fancy.construct_tenebrae","مركز أميرة الظلام"
"heroes.name_fancy.construct_zavok","مركز الساحر الفوضوي"
"heroes.name_fancy.cultist_female_poisoner","المحتال المتمرد"
"heroes.name_fancy.cultist_inventor","العالِم المجنون"
"heroes.name_fancy.cultist_inventor_costume_cute","العالِم الكرتوني"
"heroes.name_fancy.cultist_inventor_costume_glass","العالم الزجاجي"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","طبيب الحب"
"heroes.name_fancy.cultist_inventor_costume_steam","إلكترو العالِم"
"heroes.name_fancy.cultist_mage","الساحر الملعون"
"heroes.name_fancy.cultist_mage_costume_cute","الساحر الكرتوني"
"heroes.name_fancy.cultist_mage_costume_glass","الساحر الزجاجي"
"heroes.name_fancy.cultist_mage_costume_stylish","الذواق الأنيق"
"heroes.name_fancy.cultist_mage_costume_voodoo","الساحر الميت الحي"
"heroes.name_fancy.cultist_sorceress","منفذة ديسينثيا"
"heroes.name_fancy.cultist_sorceress_costume_cute","الجلاد الكرتوني"
"heroes.name_fancy.cultist_sorceress_costume_glass","فيتريل من ديسينثيا"
"heroes.name_fancy.cultist_sorceress_costume_shaman","وحشة ديسينثيا"
"heroes.name_fancy.cultist_sorceress_costume_snake","ثعبان ديسينثيا"
"heroes.name_fancy.cultist_sorceress_costume_stylish","منفِّذ الأحكام الأنيق"
"heroes.name_fancy.cultist_thief","لص طموح"
"heroes.name_fancy.dark_god_aeron","قاض مخلص"
"heroes.name_fancy.dark_god_aeron_costume_periwig","قاضٍ بشعر مستعار"
"heroes.name_fancy.dark_god_akilius","الماكر الشرير"
"heroes.name_fancy.dark_god_anoushka","العرّافة المنعزلة"
"heroes.name_fancy.dark_god_arfanias","قاتل الظلال"
"heroes.name_fancy.dark_god_chakkoszrot","كاهن السحالي الأعلى"
"heroes.name_fancy.dark_god_clarissa","الموجِّهة المتهوّرة"
"heroes.name_fancy.dark_god_eldwren","أب القطيع"
"heroes.name_fancy.dark_god_grimble","القزم راكب الماعز"
"heroes.name_fancy.dark_god_hel","كائنة الظلام السماوية"
"heroes.name_fancy.dark_god_hel_costume_cute","كائنة الظلام السماوية الكرتونية"
"heroes.name_fancy.dark_god_hel_costume_omen","نذير الظلام"
"heroes.name_fancy.dark_god_kunchen","المتشرد الصوفي"
"heroes.name_fancy.dark_god_malicna","ليكتور الشريرة"
"heroes.name_fancy.dark_god_morax","ضربة العالم السفلي"
"heroes.name_fancy.dark_god_september","قاتلة السراب"
"heroes.name_fancy.dark_god_september_costume_engineer","مهندسة السراب"
"heroes.name_fancy.dark_god_seshat","الصيادة المعاد إحيائها"
"heroes.name_fancy.dark_god_seshat_costume_revenant","كبير الرماة الشبح"
"heroes.name_fancy.dark_god_sir_casmir","الحارس المتشرد"
"heroes.name_fancy.dark_god_turgruk","مطارد الأشرار"
"heroes.name_fancy.dark_god_uthragan","البغض السام"
"heroes.name_fancy.dark_god_viscaro","كاهن فاسد"
"heroes.name_fancy.dark_god_zed","الرمّاح الإمبراطوري"
"heroes.name_fancy.dark_god_zulag","الباسلة"
"heroes.name_fancy.dwarven_guard","المدافع الشجاع"
"heroes.name_fancy.dwarven_guard_costume_cute","المدافع الكرتوني"
"heroes.name_fancy.dwarven_guard_costume_glass","المدافع الزجاجي"
"heroes.name_fancy.dwarven_guard_costume_ram","المدافع الجاد"
"heroes.name_fancy.dwarven_guard_costume_tavern","المدافع عن الحانة"
"heroes.name_fancy.dwarven_scout","المُعارك المخضرم"
"heroes.name_fancy.dwarven_smasher","ذو الدم الحار"
"heroes.name_fancy.dwarven_smasher_costume_cute","الكرتوني الأرعن"
"heroes.name_fancy.dwarven_smasher_costume_glass","فيتريل المُنفعل"
"heroes.name_fancy.dwarven_smasher_costume_smith","المتحمس"
"heroes.name_fancy.dwarwen_brewmaster","سيّد البيرة"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","صانع الشراب الكرتوني"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","فيتريل صانع الشراب"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","السيد المقطّع"
"heroes.name_fancy.dwarwen_brewmaster_costume_stylish","محمصة خبز عصرية"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","السيد نحات الخشب"
"heroes.name_fancy.easter_archie","لاما تروبادور المسافرة"
"heroes.name_fancy.easter_archie_costume_gallant","لاما تروبادور الشجاع"
"heroes.name_fancy.easter_chick_jr","حامل دروع سبرينغفايل"
"heroes.name_fancy.easter_jasper","الثور بائع الزهور"
"heroes.name_fancy.easter_jasper_costume_fisherman","الثور الصياد"
"heroes.name_fancy.easter_killhare","حامية سبرينغفايل المتوحشة"
"heroes.name_fancy.easter_killhare_costume_farmer","المزارعة الفائقة"
"heroes.name_fancy.easter_lady_woolerton","مداوي سبرينغفايل"
"heroes.name_fancy.easter_miss_ethel","مدافعة سبرينغفايل"
"heroes.name_fancy.easter_sadie","البطة الماكرة"
"heroes.name_fancy.easter_sir_roostley","فارس سبرينغفايل الجبار"
"heroes.name_fancy.easter_timothy","الخنزير الشجاع"
"heroes.name_fancy.easter_viscount_cluckwood","مشعوذ سبرينغفايل"
"heroes.name_fancy.elemental_aconia","محتال إلكتروني"
"heroes.name_fancy.elemental_aconia_costume_courier","الساعي الإلكتروني"
"heroes.name_fancy.elemental_alfie","مهرّج جوهري"
"heroes.name_fancy.elemental_anzia","منقذ المجرة"
"heroes.name_fancy.elemental_anzia_costume_jailer","السجّان الكوني"
"heroes.name_fancy.elemental_ash","صائد المكافآت الشرس"
"heroes.name_fancy.elemental_ash_costume_savage","صائدة المكافآت المتوحشة"
"heroes.name_fancy.elemental_craum","شامان العناصر"
"heroes.name_fancy.elemental_craum_costume_occultist","مشعوذ العناصر"
"heroes.name_fancy.elemental_desmond","خيميائي النصال"
"heroes.name_fancy.elemental_desmond_costume_assassin","القاتل بالنصال"
"heroes.name_fancy.elemental_doxan","سيف البلازما المنفي"
"heroes.name_fancy.elemental_doxan_costume_hacker","مُخترق البلازما المنفي"
"heroes.name_fancy.elemental_farrah","سيدة النصل الأسرع من الصوت"
"heroes.name_fancy.elemental_farrah_costume_cyber","سيدة النصل الإلكتروني"
"heroes.name_fancy.elemental_gastille","مغامرة متعددة الأبعاد"
"heroes.name_fancy.elemental_gastille_costume_sporty","الخطر الرياضي"
"heroes.name_fancy.elemental_griffex","معدِّل الواقع"
"heroes.name_fancy.elemental_griffex_costume_camera","معدِّل الظلمة"
"heroes.name_fancy.elemental_grilka","ضابط الإمدادات المضياف"
"heroes.name_fancy.elemental_grilka_costume_treasure","أمينة الإمدادات الثمينة"
"heroes.name_fancy.elemental_ignazio","موصل اللهب"
"heroes.name_fancy.elemental_ignazio_costume_medic","جراح اللهب"
"heroes.name_fancy.elemental_ironmaw","سيد الحرب لجنود الأورك التي لا تتزعزع"
"heroes.name_fancy.elemental_ironmaw_costume_legion","سيد الحرب للفيلق"
"heroes.name_fancy.elemental_jequn","اللغز الكوني"
"heroes.name_fancy.elemental_jequn_costume_gilded","اللغز المُذهب"
"heroes.name_fancy.elemental_jolt","موجّهة الصدمة الكهربائية"
"heroes.name_fancy.elemental_jolt_costume_mythic","الملاحة الأسطورية"
"heroes.name_fancy.elemental_lexi","حرفي طاقة العناصر"
"heroes.name_fancy.elemental_linus","مجرم هادئ"
"heroes.name_fancy.elemental_niki","سيد المنجل في البحر المظلم"
"heroes.name_fancy.elemental_niki_costume_music","سيدة منجل الموسيقى"
"heroes.name_fancy.elemental_nova","جامع روح النار"
"heroes.name_fancy.elemental_nylora","القاتل ذو الدم البارد"
"heroes.name_fancy.elemental_nylora_costume_jewelled","القاتلة المرصعة بالجواهر"
"heroes.name_fancy.elemental_quinn","طباخ كوني"
"heroes.name_fancy.elemental_quinn_costume_alchemist","الخيميائي الكوني"
"heroes.name_fancy.elemental_roz","قناصة ماهرة بالفطرة"
"heroes.name_fancy.elemental_roz_costume_disco","قناص الديسكو"
"heroes.name_fancy.elemental_vander","القبطان السايبورغ"
"heroes.name_fancy.elemental_vander_costume_clown","القائد المهرج"
"heroes.name_fancy.elemental_xandrella","سيدة في الإبداعات الجوهرية"
"heroes.name_fancy.elemental_xandrella_costume_idol","محبوبة الإبداعات الجوهرية"
"heroes.name_fancy.elemental_xavier","متخصص السيف الثنائي"
"heroes.name_fancy.elemental_xavier_costume_arthropod","مفصلي الأرجل مزدوج النصال"
"heroes.name_fancy.elemental_zandria","مدافع الزمكان"
"heroes.name_fancy.elemental_zandria_costume_planet","المُدافع عن المجرات"
"heroes.name_fancy.elemental_zaria","الوسيط الروحاني ذو ثلاث عيون"
"heroes.name_fancy.elemental_zaria_costume_enchanter","الساحرة ذات الثلاث أعين"
"heroes.name_fancy.elemental_zengar","الوحش العالمي"
"heroes.name_fancy.elemental_zengar_costume_farmer","وحش الزراعة"
"heroes.name_fancy.elemental_zione","خبير التوصيل الآلي"
"heroes.name_fancy.elemental_zuni","جنية بحوامة"
"heroes.name_fancy.elemental_zuni_costume_mage","ساحرة اللوح الطائر"
"heroes.name_fancy.elven_archer","القلب النبيل"
"heroes.name_fancy.elven_archer_costume_cute","النبيلة الكرتونية"
"heroes.name_fancy.elven_archer_costume_glass","فيتريل نبيل"
"heroes.name_fancy.elven_archer_costume_moon","الحارس النبيل"
"heroes.name_fancy.elven_archer_costume_raven","الغراب النبيل"
"heroes.name_fancy.elven_captain","الجني المخضرم"
"heroes.name_fancy.elven_captain_costume_cavalier","الفارس الجني"
"heroes.name_fancy.elven_captain_costume_cute","الجني الكرتوني"
"heroes.name_fancy.elven_captain_costume_glass","فيتريل الجني"
"heroes.name_fancy.elven_captain_costume_mask","الجني المنتقم"
"heroes.name_fancy.elven_captain_costume_stylish","القزم الأنيق"
"heroes.name_fancy.exalted_female_statue","عجوز الحجر"
"heroes.name_fancy.exalted_female_statue_costume_cute","الكرتوني الحجري"
"heroes.name_fancy.exalted_female_statue_costume_glass","فيتريل المتحجر"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","عجوز الشمس"
"heroes.name_fancy.exalted_female_statue_costume_thorns","عجوز الأشواك"
"heroes.name_fancy.exalted_warrior","عجوز الثلج"
"heroes.name_fancy.exalted_warrior_costume_cute","الكرتون الثلجي"
"heroes.name_fancy.exalted_warrior_costume_glass","فيتريل الثلج"
"heroes.name_fancy.exalted_warrior_costume_ice","مونوليث الثلج"
"heroes.name_fancy.exalted_warrior_costume_stylish","عتيق أنيق من الجليد"
"heroes.name_fancy.exalted_warrior_costume_underworld","عجوز العالم السفلي"
"heroes.name_fancy.fables_boss_wolf","حاكم غابة الظلام"
"heroes.name_fancy.fables_cinderella","خادمة غابة الظلام"
"heroes.name_fancy.fables_frog_prince","وريث العرش"
"heroes.name_fancy.fables_gnomer","حارس الغابة المروعة"
"heroes.name_fancy.fables_gretel","ذابح ساحرات غابة الظلام"
"heroes.name_fancy.fables_hansel","صياد ساحرات غابة الظلام"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","صياد مصاصي دماء غابة الظلام"
"heroes.name_fancy.fables_pixie","جنّي غابة الظلام"
"heroes.name_fancy.fables_puss_in_boots","قطة غابة الظلام"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","القط الملثم"
"heroes.name_fancy.fables_red_hood","حامي غابة الظلام"
"heroes.name_fancy.fables_rumpelstiltskin","مهرّج غابة الظلام"
