"herocard.family.title.abyss","عائلة العالم السفلي"
"herocard.family.title.journey.short","الرحلة"
"herocard.family.title.jungle_hunter","عائلة صياد الأدغال"
"herocard.family.title.jungle_hunter.short","صياد الأدغال"
"herocard.family.title.kalevala","عائلة كاليفالا"
"herocard.family.title.kalevala.short","كاليفالا"
"herocard.family.title.kingdom","عائلة المملكة"
"herocard.family.title.kingdom.short","المملكة"
"herocard.family.title.knight","عائلة افالون"
"herocard.family.title.knight.short","افالون"
"herocard.family.title.lagoon","عائلة لاغون"
"herocard.family.title.lagoon.short","البحيرة"
"herocard.family.title.magic","عائلة السحر"
"herocard.family.title.magic.short","السحر"
"herocard.family.title.magic_carpet","عائلة السجادة السحرية"
"herocard.family.title.magic_carpet.short","السجادة السحرية"
"herocard.family.title.mahayoddha","عائلة المهايوذّة"
"herocard.family.title.mahayoddha.short","المهايوذّة"
"herocard.family.title.masquerade","عائلة السيد المقنع"
"herocard.family.title.masquerade.short","السيد المقنع"
"herocard.family.title.masquerade_pve","عائلة السيد المقنع"
"herocard.family.title.masquerade_pve.short","السيد المقنع"
"herocard.family.title.midgard","عالم مدغارد"
"herocard.family.title.midgard.short","مدكارد"
"herocard.family.title.mighty_pet","عائلة الحيوانات الأليفة القوية"
"herocard.family.title.mighty_pet.short","الحيوان الأليف القوي"
"herocard.family.title.mimic","عائلة المحاكاة"
"herocard.family.title.mimic.short","المحاكاة"
"herocard.family.title.moon","عائلة القمر"
"herocard.family.title.moon.short","القمر"
"herocard.family.title.moths","عائلة العثة"
"herocard.family.title.moths.short","العثة"
"herocard.family.title.musketeer","عائلة الفارس"
"herocard.family.title.musketeer.short","الفارس"
"herocard.family.title.muspelheim","عالم موسبلهايم"
"herocard.family.title.muspelheim.short","موسبلهايم"
"herocard.family.title.myrkheim","ميركهايم"
"herocard.family.title.myrkheim.short","ميركهايم"
"herocard.family.title.mystery","عائلة الغموض"
"herocard.family.title.mystery.short","الغموض"
"herocard.family.title.nidavellir","عالم نيدافيلير"
"herocard.family.title.nidavellir.short","نيدافيلير"
"herocard.family.title.niflheim","عالم نيفلهايم"
"herocard.family.title.niflheim.short","نيفلهايم"
"herocard.family.title.ninja","عائلة النينجا"
"herocard.family.title.ninja.short","النينجا"
"herocard.family.title.ninja2","عائلة النينجا"
"herocard.family.title.ninja2.short","النينجا"
"herocard.family.title.opera","عائلة الأوبرا"
"herocard.family.title.opera.short","الأوبرا"
"herocard.family.title.outlaw","أفراد أسرة ليانغشان الخارجون عن القانون"
"herocard.family.title.outlaw.short","ليانغشان الخارجون عن القانون"
"herocard.family.title.owl","عائلة البومة"
"herocard.family.title.owl.short","البومة"
"herocard.family.title.pirate","عائلة القراصنة"
"herocard.family.title.pirate.short","القرصان"
"herocard.family.title.plains_hunter","عائلة صائد السهول"
"herocard.family.title.plains_hunter.short","صائد السهول"
"herocard.family.title.raven","عائلة الغراب"
"herocard.family.title.raven.short","الغراب"
"herocard.family.title.raven_pve.short","الغراب"
"herocard.family.title.rodent","عائلة القوارض المغامرة"
"herocard.family.title.rodent.short","القوارض المغامرة"
"herocard.family.title.ronin","عائلة رونين"
"herocard.family.title.ronin.short","رونين"
"herocard.family.title.sand","عائلة إمبراطورية الرمال"
"herocard.family.title.sand.short","امبراطورية الرمال"
"herocard.family.title.shady_scoundrels","عائلة الأوغاد المريبين"
"herocard.family.title.shady_scoundrels.short","الأوغاد المريبون"
"herocard.family.title.slayers","عائلة القاتل"
"herocard.family.title.slayers.short","قاتل"
"herocard.family.title.slime","عائلة السلايم"
"herocard.family.title.slime.short","سلايم"
"herocard.family.title.stag","عائلة الأيل"
"herocard.family.title.stag.short","الأيل"
"herocard.family.title.stag_pve.short","الأيل"
"herocard.family.title.styx","عائلة ستيكس"
"herocard.family.title.styx.short","ستيكس"
"herocard.family.title.sun","عائلة الشمس"
"herocard.family.title.sun.short","الشمس"
"herocard.family.title.super_elemental","مجموعة العناصر الفائقة"
"herocard.family.title.super_elemental.short","عنصر فائق"
"herocard.family.title.svartalfheim","عالم سفارتالفهايم"
"herocard.family.title.svartalfheim.short","سفارتالفهايم"
"herocard.family.title.tales1_baddies","عائلة كوابيس أطلانطس"
"herocard.family.title.tales1_baddies.short","كوابيس أطلانطس"
"herocard.family.title.tales1_goodies","عائلة المدافعين عن أطلانطس"
"herocard.family.title.tales1_goodies.short","المدافعون عن أطلانطس"
"herocard.family.title.titan_hunter","عائلة صائد العمالقة"
"herocard.family.title.titan_hunter.short","صائد العمالقة"
"herocard.family.title.vanaheim","عالم فاناهايم"
"herocard.family.title.vanaheim.short","فاناهايم"
"herocard.family.title.vegetable","عائلة الخضراوات الباسلة"
"herocard.family.title.vegetable.short","الخضراوات الباسلة"
"herocard.family.title.villains","عائلة الشرير"
"herocard.family.title.villains.short","شرير"
"herocard.family.title.wild_cat","عائلة القط البري"
"herocard.family.title.wild_cat.short","القط البري"
"herocard.family.title.winter","عائلة الشتاء"
"herocard.family.title.winter.short","الشتاء"
"herocard.family.title.wolf","عائلة الذئب"
"herocard.family.title.wolf.short","الذئب"
"herocard.family.title.wolf_pve.short","الذئب"
"herocard.family.title.wonderland","عائلة بلاد العجائب"
"herocard.family.title.wonderland.short","بلاد العجائب"
"herocard.family.title.zodiac","عائلة السنة القمرية"
"herocard.family.title.zodiac.short","السنة القمرية"
