"herocard.passive_skill.description.addmana.all.allies","Tüm müttefikler küçük bir miktar mana kazanırlar."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","Bu karakter, bir durum engelinden hasar aldığında hasar almak yerine o kadar sağlık yeniler. İyileştirilen miktar, hasarın %{MULTIPLIER} kadarıdır."
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","%{CRITICALMODIFIER} kritik şansı."
"herocard.passive_skill.description.damage.all.enemies","Tüm düşmanlara %{DAMAGE} hasar verir."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","Her {TURNS} turda bir tüm düşman Hizmetkarlara ve Mega Hizmetkarlara {DAMAGEPERTURN} hasar verir."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","Her turun başında tüm düşman Hizmetkarlara ve Mega Hizmetkarlara {DAMAGEPERTURN} hasar verir."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","Her turun başında tüm düşman Hizmetkarlara ve Mega Hizmetkarlara {DAMAGEPERTURN} hasar verir."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Bu karakterin normal saldırıları ve Özel Yetenekleri tarafından verilen tüm hasar, bu karakterin her {INSANITYPERSTEP} Deliliği başına en fazla %{MAXDAMAGEINCREASE} olmak üzere %{DAMAGEINCREASEPERSTEP} oranında artar."
"herocard.passive_skill.description.dealtdamagemodifieragainststatuseffect.bloodlily.stacks.troop.specialskill.npcnormalattack.add_modifier_per_stack","Bu karakterin tüm normal saldırılarından ve Özel Yeteneklerinden alınan hasar, hedefteki Kanlı Zambak başına %{MODIFIER} artar."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","Bu kahramanın Birlikleri zayıf elemente karşı ekstra elementer hasar verir.

Verilen ekstra elementer hasar: +%{MODIFIER}"
"herocard.passive_skill.description.debuffdamagereduction","Durum engellerinin verdiği hasar %{DAMAGEREDUCTION} azaltılır"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","Bu karakter için durum engellerinin verdiği hasar %{DAMAGEREDUCTION} azaltılır."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","Bu karakterin Yapı Merkezi Yıkıcı Merkezdir.

Yıkıcı Merkez bu karakterin Özel Yeteneği her uygulandığında etkinleşir:

 Tamamen dolan bir Yıkıcı Merkezle tüm düşmanlara %{CHARGEDPOWER1} hasar verir. 
 Hasar, Merkezin dolum miktarına göre değişir. Merkez etkinleştirildiğinde doluluk oranı tamamen boşaltılır."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","Bu karaktere ait bir Hizmetkar yok edildiğinde karakter durum engellerinden arındırılır."
"herocard.passive_skill.description.dodgespecialdamage","Bu karakterin, hasar veren Özel Yetenekleri atlatmak için %{CHANCE} şansı bulunur."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","Bu karakter Özel Yeteneğini uyguladığında sahip olduğu tüm Canavarlar yok edilir."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Her {TURNS} turda bir, rastgele bir düşmanın hizmetkarlarını yer ve yediği her Hizmetkar için küçük miktarda mana kazanır."
"herocard.passive_skill.description.effectondamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.specialskill.only_criticals.once","Bu karakter, Özel Yeteneği ile bir kritik darbe uyguladığında tüm müttefiklerden son arındırılabilir durum engelini arındırır. Bu efekt tur başına bir defa etkinleşebilir."
"herocard.passive_skill.description.effectondamagedone.healthboost.all.allies.specialskill.only_criticals.once","Bu karakter, Özel Yeteneği ile bir kritik darbe uyguladığında tüm müttefiklerinin sağlığını %{HEALTHBOOST} artırır. Bu efekt yalnızca turda bir defa etkinleşebilir."
"herocard.passive_skill.description.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill.single.allies.onceperturn"," Bu karakter, Özel Yeteneği ile daha yüksek mevcut SP'ye sahip bir karaktere isabet ederse %{PASSIVESKILL1HEALTHBOOST} güçlendirilmiş sağlık kazanırsın.
 Bu karakter, daha yüksek mevcut SP'ye sahip bir karakterin Özel Yeteneğinden isabet alırsa %{PASSIVESKILL2POWER} mana kazanırsın.
Bu efektlerin her biri tur başına bir defa etkinleşebilir."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","Bu karakter, Özel Yeteneklerden hasar aldığında %{POWER} mana alır."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","Bu karakter, Özel Yeteneklerden veya Normal Saldırılardan doğrudan hasar aldığında az miktarda mana alır. 
 Tur başına en fazla %{MAXMANAGAINPERTURN} mana kazanılır."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","Bu karakter Özel Yeteneklerden veya Koruma altındaki karakterin yerine hasar alırsa alınan hasarın %{POWER} kadarını tüm düşmanlara vermek için %{CHANCE} şans bulunur."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","Bu karakter Özel Yeteneklerden hasar aldığında %{STATUSEFFECT1ATTACK} saldırı İstifi (maks.: {STATUSEFFECT1MAXSTACK}) alır. Her turda bir İstif kazanılabilir."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","Bu karakter Özel Yeteneklerden hasar aldığında %{STATUSEFFECT1ATTACK} saldırı İstifi (maks.: {STATUSEFFECT1MAXSTACK}) alır. Her turda bir İstif kazanılabilir."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Bir müttefik, Özel Yetenekleri kullanarak arındırmaya çalıştığında tüm müttefikler {POWER} artırılmış sağlık alır. Bu efekt her turda sadece bir defa etkinleşebilir."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Bir düşman, Özel Yetenekleri kullanarak arındırmaya çalıştığında tüm düşmanlar {POWER} hasar alır. Bu efekt her turda sadece bir defa etkinleşebilir."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","Bu karakter, kendisinden her buff bozulduğunda %{POWER} mana alır. Bu efekt tur başına yalnızca bir defa etkinleşebilir."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Bu karakter; her bir durum engelinin süresi dolduğunda veya kendisinden bir durum engeli arındırıldığında, kaldırıldığında veya bir durum engeli kendisine yeniden tahsis edildiğinde %{POWER} sağlık alabilir. Bu efekt tur başına yalnızca bir defa etkinleşebilir."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","Bu karakter %{CHANCE} şansla her bir durum engelinin süresi dolduğunda veya kendisinden bir durum engeli arındırıldığında, kaldırıldığında veya bir durum engeli kendisine yeniden tahsis edildiğinde %{POWER} sağlık alabilir. Bu efekt tur başına yalnızca bir defa etkinleşebilir."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","Bu karakter, kendisinden her buff bozulduğunda {POWER} artırılmış sağlık alır. Bu efekt, tur başına yalnızca bir defa etkinleşebilir."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","Karakterin sahip olduğu Hizmetkarların her vuruşu {TURNS} tur boyunca {DAMAGE} Ayaz hasarı verir"
"herocard.passive_skill.description.effectonheal.addmana","Bu karakter her sağlık yenilediğinde %{POWER} mana alır."
"herocard.passive_skill.description.effectonheal.heal","Bu karakter her sağlık yenilediğinde %{POWER} sağlık alır."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","Bu karakter her sağlık yenilediğinde %{POWER} sağlık alır."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Bu karakter, başarılı direnmelerde %{HEALTHBOOST} artırılmış sağlık ve %{MANA} mana kazanır."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Bu karakter, bir düşman her sağlığı doğrudan artıran bir Özel Yetenek uyguladığında %{POWER} mana kazanır."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","Bu karakter, bir düşman her sağlığı doğrudan artıran bir Özel Yetenek uyguladığında {POWER} artırılmış sağlık alır."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","Bu karakter, Özel Yeteneğini uyguladığında %{CHANCE} şansla aşağıdaki eylemler gerçekleştirilebilir:"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","Bu karakter, Özel Yeteneği ile bir kritik darbe uyguladığında tüm müttefiklerden son arındırılabilir durum engelini arındırır."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","Bu karakter, Özel Yeteneği ile bir kritik darbe uyguladığında tüm müttefiklerinin sağlığını %{HEALTHBOOST} artırır."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","Bu karakter, Özel Yeteneği ile bir kritik darbe uyguladığında tüm müttefiklerinin sağlığını %{HEALTHBOOST} artırır."
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","Bir düşman Özel Yetenek uyguladığında bu karakterin, sağlığını {HEALTHBOOST} artırmak için %{CHANCE} şansı bulunur."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","Bu Kahramanın Özel Yeteneği tamamen doluyken tüm müttefiklere %{POWER} mana vermesi için %{CHANCE} şans bulunur. Özel Yetenek tamamen doluysa %{CHANCEFULLYCHARGED} şans bulunur."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","Bu Kahramanın Özel Yeteneği tamamen doluyken Buz elementinden olmayan tüm müttefiklere %{POWER} mana vermesi için %{CHANCE} şans bulunur. Özel Yetenek tamamen doluysa %{CHANCEFULLYCHARGED} şans bulunur."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","Bu karakter Özel Yeteneğini uyguladığında tüm düşmanlardan en yeni durum efekti buff'ını bozar."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","Bu karakter Özel Yeteneğini uyguladığında tüm müttefiklerden en yeni durum engelini arındırır."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","Bu Kahramanın Özel Yeteneği tamamen doluyken tüm düşmanlara %{POWER} hasar vermesi için %{CHANCE} şans bulunur. Özel Yetenek tamamen doluysa %{CHANCEFULLYCHARGED} şans bulunur."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","Bu Kahramanın Özel Yeteneği tamamen doluyken Karanlık elementinden olmayan tüm düşmanlara %{POWER} hasar vermesi için %{CHANCE} şans bulunur. Özel Yetenek tamamen doluysa %{CHANCEFULLYCHARGED} şans bulunur."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","Bu Kahramanın Özel Yeteneği tamamen doluyken Ateş elementinden olmayan tüm düşmanlara %{POWER} hasar vermesi için %{CHANCE} şans bulunur. Özel Yetenek tamamen doluysa %{CHANCEFULLYCHARGED} şans bulunur."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","Bu Kahramanın Özel Yeteneği tamamen doluyken tüm müttefiklere %{POWER} sağlık yenilemesi için %{CHANCE} şans bulunur. Özel Yetenek tamamen doluysa %{CHANCEFULLYCHARGED} şans bulunur."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","Bu Kahramanın Özel Yeteneği tamamen doluyken Doğa elementinden olmayan tüm müttefiklere %{POWER} sağlık yenilemesi için %{CHANCE} şans bulunur. Özel Yetenek tamamen doluysa %{CHANCEFULLYCHARGED} şans bulunur."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","Bu Kahramanın Özel Yeteneği tamamen doluyken Ateş elementinden olmayan tüm müttefiklere %{POWER} sağlık yenilemesi için %{CHANCE} şans bulunur. Özel Yetenek tamamen doluysa %{CHANCEFULLYCHARGED} şans bulunur."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","Bu Kahramanın Özel Yeteneği tamamen doluyken Kutsal elementinden olmayan tüm müttefiklere %{POWER} sağlık yenilemesi için %{CHANCE} şans bulunur. Özel Yetenek tamamen doluysa %{CHANCEFULLYCHARGED} şans bulunur."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","Bu karakter Özel Yeteneğini uyguladığında tüm müttefiklerinin sağlığını %{POWER} artırır."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","Ortalama veya daha hızlı mana hızına sahip bir düşman Özel Yetenek uygularsa tüm düşmanlar {DAMAGE} hasar alır. Bu efekt her turda yalnızca bir defa etkinleşebilir."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Bir düşman her bir Alay durum efekti aldığında bu karakterin manası, %{POWER} artırılır."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Bir düşman, savunmayı etkileyen bir durum efekti buff'ı aldığında bu karakter %{POWER} mana alır. Bu efekt, tur başına yalnızca bir defa etkinleştirilebilir."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","Bu karakter bir buff ya da pozitif bir istif aldığında %{POWER} mana kazanır."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","Bu karakter, bir durum engeli ya da negatif bir istif aldığında %{POWER} mana kazanır."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","Bu karakter bir buff ya da pozitif bir istif aldığında %{POWER} sağlık yeniler."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","Bu karakter bir durum engeli ya da negatif bir istif aldığında %{POWER} sağlık yeniler."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","Bu karakter bir durum engeli ya da negatif bir istif aldığında {POWER} SP yeniler."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","Bu karakter buff veya pozitif bir istif aldığında %{POWER} mana kazanmak için %{CHANCE} şansı bulunur."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","Buff veya pozitif bir istif aldığında bu karakterin %{POWER} sağlık yenilemek için %{CHANCE} şansı bulunur."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","Bu karakter buff veya pozitif bir istif aldığında %{POWER} sağlık yenilemek için %{CHANCE} şansı bulunur."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","Her {TURNS} turda bir, yakındaki yenilen müttefikleri %{POWER} SP ile diriltir."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","Düşman takımının her bir turun başında sahip olduğu aktif durum efekti buff'ı (maksimum {MAXSTATUSEFFECTCOUNT} buff) için küçük bir miktarda mana kazanır."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","Her turun başında, Zehir ile vurulan her düşman için bu karakterin ve yakındaki müttefiklerin sağlığını %{INCREMENTPERSTATUSEFFECT1} artırır. Artırılan sağlık, maksimum SP'yi aşabilir."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Bir müttefike bir Hizmetkar çağrıldığında bu karakter %{POWER} mana kazanır. Bu efekt her turda yalnızca bir defa etkinleşebilir."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Bir müttefike bir Hizmetkar çağrıldığında bu karakter %{HEALTH} sağlık ve %{MANA} mana kazanır. Bu efekt her turda yalnızca bir defa etkinleşebilir."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Bir düşmana bir Canavar çağrıldığında bu karakter %{POWER} mana kazanır. Bu efekt her turda yalnızca bir defa etkinleşebilir."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","Bir düşmana bir Canavar çağrıldığında bu karakter tüm düşmanlara %{DAMAGE} hasar verir. Bu efekt her turda yalnızca bir defa etkinleşebilir."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","Bir düşmana bir Canavar çağrıldığında bu karakter {POWER} artırılmış sağlık alır. Bu efekt her turda yalnızca bir defa etkinleşebilir."
"herocard.passive_skill.description.extraactionsafterspecial","Bu karakter, Özel Yeteneğini uyguladığında %{CHANCE} şansla ek eylemler uygulanabilir."
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","Tüm düşmanların Hizmetkarları %{MINIONMODIFIER} isabetliliğe sahiptir.
Tüm düşmanların Mega Hizmetkarları %{MEGAMINIONMODIFIER} isabetliliğe sahiptir."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","Bu karakterin Yapı Merkezi Hizmetkar Merkezidir.

Hizmetkar Merkezi, bu karakterin Özel Yeteneği her uygulandığında etkinleşir:

 Tamamen dolan bir Hizmetkar Merkezi, eylemciden tüm müttefiklere miras kalan %{FAMILIARHEALTHPERCENT} SP'ye ve %{FAMILIARATTACK} saldırıya sahip bir Katil Bot Hizmetkar çağırır.
 Eylemciden miras kalan SP ve saldırı, Merkezin dolum miktarına göre değişir. Merkez etkinleştirildiğinde doluluk oranı tamamen boşaltılır.
 Katil Bot Hizmetkar, hedefe vurmadan önce hedefteki tüm Hizmetkarları yok eder ve Mega Hizmetkarlara hasar verir."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","Düşman Mega Hizmetkarların %{HEALTHMODIFIER} SP'si bulunur."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","Düşman Hizmetkarların {HEALTHMODIFIER}% SP'si bulunur."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","Düşman Mega Hizmetkarlar saldıramaz veya kabiliyet kullanamaz."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","Düşman Hizmetkarlar saldıramaz veya kabiliyet kullanamaz."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","Bir düşman her Ayaz hasarı aldığında bu karakter %{POWER} mana kazanır."
"herocard.passive_skill.description.growth","Bu Kahramanın temel saldırısı ve temel savunması {MAXACTIVATIONCOUNT} tur boyunca her turda {STATINCREASE} artar."
"herocard.passive_skill.description.guaranteedeffectonspecial","Bu karakter, Özel Yeteneğini kullandığında kullanılınca ekstra efekt veren Pasif Yeteneklerinden herhangi birinin etkinleşmesi garantidir."
"herocard.passive_skill.description.heal.all.allies","Tüm müttefikler için %{HEALTH} sağlık yeniler."
"herocard.passive_skill.description.healmodifier","Alınan her şifa için %{HEALMULTIPLIER} artış."
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","Tüm düşmanlar %{HEALMULTIPLIER} şifa alır."
"herocard.passive_skill.description.healmodifier.decrease","Alınan her şifa için %{HEALMULTIPLIER} düşüş."
"herocard.passive_skill.description.healonheal.can_stack.heal","Bu karakter her sağlık yenilediğinde %{POWER} sağlık alır."
"herocard.passive_skill.description.healonownfamiliardeath.minion","Bu karaktere ait bir Hizmetkar yok edildiğinde karakter {HEALTH} sağlık yeniler."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","Bu karaktere ait bir Hizmetkar yok edildiğinde karakter {HEALTH} güçlendirilmiş sağlık yeniler."
"herocard.passive_skill.description.healthboost.all.allies","Tüm müttefiklerin sağlığını %{HEALTHBOOST} artırır. Güçlendirilen sağlık, maks. SP'yi geçebilir."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","Her savaşın başında Doğa elementinden olmayan her düşman için bu karakterin saldırısı %{ATTACK} artar. Birden fazla dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","Doğa elementinden olmayan ve hayatta olan her düşman için bu karakterin saldırısı %{ATTACK} artar. Efekt her dalganın başında yenilenir. (Şu anda: %{CURRENTMODIFIER})"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","Her savaşın başında Ateş elementinden olmayan her düşman için bu karakterin saldırısı %{ATTACK} artar. Birden fazla dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","Ateş elementinden olmayan ve hayatta olan her düşman için bu karakterin saldırısı %{ATTACK} artar. Efekt her dalganın başında yenilenir. (Şu anda: %{CURRENTMODIFIER})"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","Hizmetkarlara karşı %{DAMAGEMULTIPLIER} daha çok hasar verir."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","Bu karakter, Hizmetkarlara ve Mega Hizmetkarlara %{DAMAGEMULTIPLIER} hasar verir."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","Bu karakterin Özel Yeteneği isabet ettiğinde hedefin Alayı varsa ek %{POWERADDITION} güç verir."
"herocard.passive_skill.description.increasespecialdamage","Bu karakterin, hasar veren bir Özel Yeteneği uyguladığı ilk {MAXACTIVATIONCOUNT} seferde karakterin gücüne %{POWERADDITION} daha eklenir."
"herocard.passive_skill.description.increasespecialdamage.usable_once","Bu karakter, hasar veren bir Özel Yeteneği ilk defa uyguladığında gücüne %{POWERADDITION} daha eklenir."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","Bu karakter, hasar veren bir Özel Yeteneği her uyguladığında gücüne %{POWERADDITION} daha eklenir."
"herocard.passive_skill.description.insanitydamagereduction","Bu karakterin aldığı tüm hasar, bu karakterdeki için {DISPLAYSCALE} Delilik başına %{DAMAGEREDUCTION} azaltılır. En fazla %{MAXDAMAGEREDUCTION} azaltılabilir."
"herocard.passive_skill.description.iterateeffectonspecial","Bu karakter, Özel Yeteneğini kullandığında kullanılınca ekstra efekt veren Pasif Yeteneklerinden herhangi birinin etkinleşmesi için {APPLYCOUNT} şans bulunur."
"herocard.passive_skill.description.league.featured_family","Bu Kahraman Öne Çıkan ailenin bir parçasıdır!"
"herocard.passive_skill.description.league.non_featured_family","Bu Kahraman Öne Çıkan ailenin parçası değildir!"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","Öne Çıkan ailelerin Kahramanlarına karşı %{POWERMULTIPLIER} isabetlilik."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","Öne Çıkan aileleri etkileyen şifalar %{POWERMULTIPLIER} etkilidir."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","Vitrinde Olmayan ailelerden %{POWERMULTIPLIER} hasar alınır."
"herocard.passive_skill.description.managenerationmodifier","%{MODIFIER} mana üretimi."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","Özel Yeteneklerin artırdığı mana miktarını %{MODIFIER} azaltır. Efekt, savaştaki tüm düşmanlar için geçerlidir."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect","Özel Yeteneklerin, Pasif Yeteneklerin, aile bonuslarının ve durum efektlerinin artırdığı mana miktarını %{MODIFIER} azaltır. Efekt, savaştaki tüm düşmanlar için geçerlidir."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect.realm","Özel Yeteneklerin, Pasif Yeteneklerin, aile bonuslarının ve durum efektlerinin artırdığı mana miktarını %{MODIFIER} azaltır. Efekt, savaştaki tüm düşmanlar için geçerlidir."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","Bu karaktere ait bir Hizmetkar yok edildiğinde Kahraman küçük bir miktar mana kazanır."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","Bu karakterin, düşmanların Özel Yetenekleriyle çağrılan tüm Hizmetkarları veya Canavarları Ezberlemek içi doğal kabiliyeti bulunur. Düşmanların çağırdığı son Hizmetkar veya Canavar, Özel Yetenek uygulanana kadar ezberde kalır."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","Bu karakterin, düşmanların Özel Yetenekleriyle çağrılan tüm Hizmetkarları veya Canavarları Ezberlemek içi doğal kabiliyeti bulunur. Düşmanların çağırdığı son {0} Hizmetkar veya Canavar, Özel Yetenek uygulanana kadar ezberde kalır."
