"herocard.passive_skill.description.addmana.all.allies","Alle bondgenoten krijgen er een kleine hoeveelheid mana bij."
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","Schade veroorzaakt door statusaandoeningen en negatieve cumulatieve effecten wordt verminderd met {DAMAGEREDUCTION}% voor dit personage."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","De constructiekern van dit personage is een vernietigingskern.

De vernietigingskern wordt geactiveerd als de speciale vaardigheid van dit personage gebruikt wordt:

 Met een volledig geladen vernietigingskern wordt {CHARGEDPOWER1}% schade toegebracht aan alle vijanden. 
 De schade hangt af van de lading in de kern. De lading wordt volledig gebruikt als de kern geactiveerd wordt."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","De statuseffecten van het personage worden verwijderd als een volgeling van het personage wordt vernietigd."
"herocard.passive_skill.description.dodgespecialdamage","Dit personage maakt {CHANCE}% kans om speciale vaardigheden te ontwijken die schade toebrengen."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","Wanneer dit personage de speciale vaardigheid gebruikt, worden alle demonen erdoor vernietigd."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Om de {TURNS} beurten eet de held alle volgelingen van een willekeurige vijand op en krijgt een kleine hoeveelheid mana voor elke opgegeten volgeling."
"herocard.passive_skill.description.effectondamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.specialskill.only_criticals.once","Als dit personage een speciale vaardigheid gebruikt en een  kritieke treffer maakt, worden de nieuwste zuiverbare statusaandoeningen van alle bondgenoten gezuiverd. Dit effect kan maar één keer per beurt geactiveerd worden."
"herocard.passive_skill.description.effectondamagedone.healthboost.all.allies.specialskill.only_criticals.once","Als dit personage een speciale vaardigheid gebruikt en een kritieke treffer maakt, krijgt de gezondheid van alle bondgenoten van het personage een boost van {HEALTHBOOST}%. Dit effect kan één keer per beurt geactiveerd worden."
"herocard.passive_skill.description.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill.single.allies.onceperturn","Als de speciale vaardigheid van dit personage een personage treft met een hogere huidige HP, krijgt het {PASSIVESKILL1HEALTHBOOST}% gezondheidsverhoging.
 Als dit personage wordt getroffen door de speciale vaardigheid van een personage met een hogere huidige HP, krijgt het {PASSIVESKILL2POWER}% mana.
Elk van deze effecten kan maar één keer per beurt geactiveerd worden."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","Als dit personage schade oploopt door een speciale vaardigheid, ontvangt het {POWER}% mana."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","Als dit personage directe schade oploopt door een speciale vaardigheid of normale aanvallen, krijgt het een kleine hoeveelheid mana. Het kan maximaal {MAXMANAGAINPERTURN}% mana per beurt krijgen."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","Wanneer dit personage schade oploopt van speciale vaardigheden of in plaats van een personage in dekking, is er een kans van {CHANCE}% dat er {POWER}% van de opgelopen schade wordt toegebracht aan alle vijanden."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","Als dit personage schade van speciale vaardigheden oploopt, krijg het {STATUSEFFECT1ATTACK}% cumulatieve aanvalskracht (max: {STATUSEFFECT1MAXSTACK}). Kan maar één keer per beurt ontvangen worden."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","Als dit personage schade van speciale vaardigheden oploopt, krijg het {STATUSEFFECT1ATTACK}% cumulatieve aanvalskracht (max: {STATUSEFFECT1MAXSTACK}). Kan maar één keer per beurt ontvangen worden."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Als een bondgenoot probeert te zuiveren met een speciale vaardigheid, krijgen alle bondgenoten {POWER} verhoogde gezondheid. Dit effect kan per beurt één keer geactiveerd worden."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Als een vijand probeert te zuiveren met een speciale vaardigheid, lopen alle vijanden {POWER} schade op. Dit effect kan per beurt één keer geactiveerd worden."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","Dit personage recupereert {POWER}% mana telkens als er een oppepper wordt verwijderd van het personage. Dit effect kan per beurt één keer geactiveerd worden."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Dit personage krijgt {POWER}% genezing als een statuseffect afloopt of wordt gezuiverd, verwijderd of verplaatst van het personage. Dit effect kan per beurt één keer geactiveerd worden."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","Dit personage heeft {CHANCE}% kans om {POWER}% genezing te krijgen als een statuseffect afloopt of wordt gezuiverd, verwijderd of verplaatst van het personage. Dit effect kan per beurt één keer geactiveerd worden."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","Dit personage ontvangt {POWER} extra gezondheid telkens als er een oppepper wordt verwijderd van het personage. Dit effect kan per beurt één keer geactiveerd worden."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","Iedere treffer van de volgelingen van het personage brengt {DAMAGE} vorstschade toe verdeeld over {TURNS} beurten"
"herocard.passive_skill.description.effectonheal.addmana","Dit personage ontvangt {POWER}% mana telkens als de gezondheid ervan is hersteld."
"herocard.passive_skill.description.effectonheal.heal","Dit personage ontvangt {POWER}% gezondheid telkens als de gezondheid ervan wordt hersteld."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","Dit personage ontvangt {POWER}% gezondheid telkens als de gezondheid ervan wordt hersteld."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Dit personage krijgt {HEALTHBOOST}% meer gezondheid en {MANA}% mana bij succesvol verzet."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Dit personage krijgt elke keer als een vijand een speciale vaardigheid gebruikt die gezondheid verhoogt onmiddellijk {POWER}% mana."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","Dit personage krijgt elke keer als een vijand een speciale vaardigheid gebruikt die gezondheid verhoogt onmiddellijk {POWER} verhoogde gezondheid."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","{CHANCE}% kans om de volgende acties uit te voeren als dit personage de speciale vaardigheid gebruikt:"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","Als dit personage een speciale vaardigheid gebruikt en een  kritieke treffer maakt, worden de nieuwste zuiverbare statusaandoeningen van alle bondgenoten gezuiverd."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","Als dit personage een speciale vaardigheid gebruikt en een kritieke treffer maakt, krijgt de gezondheid van alle bondgenoten van het personage een boost van {HEALTHBOOST}%."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","Als dit personage een speciale vaardigheid gebruikt en een  kritieke treffer maakt, krijgt de gezondheid van alle bondgenoten van het personage een boost van {HEALTHBOOST}%."
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","Als een vijand een speciale vaardigheid gebruikt, heeft dit personage {CHANCE}% kans op een gezondheidsboost van {HEALTHBOOST}."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","Als dit personage een speciale vaardigheid gebruikt, heeft hij of zij {CHANCE}% kans om {POWER}% mana te geven aan alle bondgenoten. Bij een volledig opgeladen speciale vaardigheid is de kans {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","Als dit personage een speciale vaardigheid gebruikt, heeft hij of zij {CHANCE}% kans om {POWER}% mana te geven aan alle bondgenoten die geen ijshelden zijn. Bij een volledig opgeladen speciale vaardigheid, is de kans {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","Als dit personage een speciale vaardigheid gebruikt, worden de nieuwste oppeppers door statuseffecten van alle vijanden verwijderd."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","Als dit personage een speciale vaardigheid gebruikt, worden de nieuwste negatieve statuseffecten van alle bondgenoten gezuiverd."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","Als dit personage een speciale vaardigheid gebruikt, heeft hij of zij {CHANCE}% kans om {POWER}% schade toe te brengen aan alle vijanden. Bij een volledig opgeladen speciale vaardigheid, is de kans {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","Als dit personage een speciale vaardigheid gebruikt, heeft hij of zij {CHANCE}% kans om {POWER}% schade toe te brengen aan alle vijanden die geen duistere helden zijn. Bij een volledig opgeladen speciale vaardigheid, is de kans {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","Als dit personage een speciale vaardigheid gebruikt, heeft hij of zij {CHANCE}% kans om {POWER}% schade toe te brengen aan alle vijanden die geen vuurhelden zijn. Bij een volledig opgeladen speciale vaardigheid, is de kans {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","Als dit personage een speciale vaardigheid gebruikt, heeft hij of zij {CHANCE}% kans om {POWER}% gezondheid te herstellen bij alle bondgenoten. Bij een volledig opgeladen speciale vaardigheid, is de kans {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","Als dit personage een speciale vaardigheid gebruikt, heeft hij of zij {CHANCE}% kans om {POWER}% gezondheid te herstellen bij alle bondgenoten die geen natuurhelden zijn. Bij een volledig opgeladen speciale vaardigheid, is de kans {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","Als dit personage een speciale vaardigheid gebruikt, heeft hij of zij {CHANCE}% kans om {POWER}% gezondheid te herstellen bij alle bondgenoten die geen vuurhelden zijn. Bij een volledig opgeladen speciale vaardigheid, is de kans {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","Als dit personage een speciale vaardigheid gebruikt, heeft hij of zij {CHANCE}% kans om {POWER}% gezondheid te herstellen bij alle bondgenoten die geen heilige helden zijn. Bij een volledig opgeladen speciale vaardigheid, is de kans {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","Als dit personage een speciale vaardigheid gebruikt, krijgt de gezondheid van alle bondgenoten van het personage een boost van {POWER}%."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","Als een vijand met minimaal gemiddelde manasnelheid een speciale vaardigheid gebruikt, lopen alle vijanden {DAMAGE} schade op. Dit effect kan maar één keer per beurt geactiveerd worden."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Elke keer dat een vijand een uitlokstatuseffect ontvangt, wordt de mana van dit personage verhoogd met {POWER}%."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Dit personage krijgt {POWER}% mana als een vijand een oppepper door statuseffect krijgt die betrekking heeft op de verdediging. Dit effect kan per beurt één keer geactiveerd worden."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","Dit personage ontvangt {POWER}% mana als het een oppepper of een positief cumulatief effect krijgt."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","Dit personage ontvangt {POWER}% mana als het een statuseffect of negatief cumulatief effect krijgt."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","Dit personage herstelt {POWER}% gezondheid als het een oppepper of een positief cumulatief effect krijgt."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","Dit personage herstelt {POWER}% gezondheid als hij of zij een statuseffect of een negatief cumulatief effect krijgt."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","Dit personage herstelt {POWER} gezondheid als hij of zij een statuseffect of een negatief cumulatief effect krijgt."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","Dit personage heeft een kans van {CHANCE}% om {POWER}% mana te ontvangen als het een oppepper of een positief cumulatief effect krijgt."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","Dit personage heeft {CHANCE}% kans om {POWER}% gezondheid te herstellen als het een oppepper of een positief cumulatief effect krijgt."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","Dit personage heeft een kans van {CHANCE}% om {POWER}% gezondheid te herstellen als het een oppepper of een positief cumulatief effect krijgt."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","Laat om de {TURNS} beurten alle verslagen bondgenoten in de buurt terugkeren met {POWER}% gezondheid."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","Krijgt een kleine hoeveelheid mana voor elke actieve oppepper door statuseffecten die het vijandelijke team heeft aan het begin van elke beurt (maximaal {MAXSTATUSEFFECTCOUNT} oppeppers)."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","Verhoogt de gezondheid van dit personage en bondgenoten in de buurt met {INCREMENTPERSTATUSEFFECT1}% voor elke vergiftigde vijand aan het begin van elke beurt. De verhoogde gezondheid kan hoger zijn dan de maximale gezondheid."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Wanneer een volgeling wordt aangeroepen voor een bondgenoot, krijgt dit personage {POWER}% mana. Dit effect kan slechts één keer per beurt worden geactiveerd."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Wanneer een volgeling wordt aangeroepen voor een bondgenoot, krijgt dit personage {HEALTH}% gezondheid en {MANA}% mana. Dit effect kan slechts één keer per beurt worden geactiveerd."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Wanneer een demon wordt aangeroepen voor een vijand, krijgt dit personage {POWER}% mana. Dit effect kan slechts één keer per beurt worden geactiveerd."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","Wanneer een demon wordt aangeroepen voor een vijand, brengt dit personage {DAMAGE}% schade aan bij alle vijanden. Dit effect kan slechts één keer per beurt worden geactiveerd."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","Als er een demon wordt aangeroepen voor een vijand, krijgt dit personage {POWER} verhoogde gezondheid. Dit effect kan slechts één keer per beurt worden geactiveerd."
"herocard.passive_skill.description.extraactionsafterspecial","{CHANCE}% kans op extra acties wanneer dit personage de speciale vaardigheid gebruikt."
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","Alle volgelingen van vijanden hebben een nauwkeurigheid van {MINIONMODIFIER}%.
Alle megavolgelingen van vijanden hebben een nauwkeurigheid van {MEGAMINIONMODIFIER}%."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","De constructiekern van dit personage is een volgelingkern.

De volgelingkern wordt geactiveerd als de speciale vaardigheid van dit personage gebruikt wordt:

 Met een volledig opgeladen volgelingkern, wordt een killerbotvolgeling aangeroepen. Deze erft {FAMILIARHEALTHPERCENT}% HP en {FAMILIARATTACK}% aanvalskracht van de spreukspreker voor alle bondgenoten.
 De HP en aanvalskracht die van de spreukspreker worden geërfd, worden opgeschaald op basis van de hoeveelheid lading in de kern. De lading wordt volledig gebruikt wanneer de kern wordt geactiveerd.
 Voordat de killerbotvolgeling een doel raakt, vernietigt hij alle volgelingen van het doelwit en beschadigt hij megavolgelingen."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","Vijandelijke megavolgelingen hebben {HEALTHMODIFIER}% gezondheid."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","Vijandelijke volgelingen hebben {HEALTHMODIFIER}% gezondheid."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","Vijandelijke megavolgelingen kunnen niet aanvallen en kunnen geen vaardigheden gebruiken."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","Vijandelijke volgelingen kunnen niet aanvallen en kunnen geen vaardigheden gebruiken."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","Dit personage krijgt telkens als een vijand vorstschade oploopt {POWER}% mana."
"herocard.passive_skill.description.growth","De basisaanval en basisverdeding van deze held worden vergroot met {STATINCREASE} per beurt, gedurende {MAXACTIVATIONCOUNT} beurten."
"herocard.passive_skill.description.guaranteedeffectonspecial","Als dit personage de speciale vaardigheid gebruikt, zijn passieve vaardigheden van dit personage die extra effecten toekennen bij spreuken gegarandeerd actief."
"herocard.passive_skill.description.heal.all.allies","Herstelt {HEALTH}% gezondheid voor alle bondgenoten."
"herocard.passive_skill.description.healmodifier","{HEALMULTIPLIER}% extra genezing ontvangen."
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","Alle vijanden krijgen {HEALMULTIPLIER}% genezing."
"herocard.passive_skill.description.healmodifier.decrease","{HEALMULTIPLIER}% minder genezing ontvangen."
"herocard.passive_skill.description.healonheal.can_stack.heal","Dit personage ontvangt {POWER}% gezondheid telkens als de gezondheid ervan wordt hersteld."
"herocard.passive_skill.description.healonownfamiliardeath.minion","Dit personage herstelt {HEALTH} gezondheid als een volgeling van de held wordt vernietigd."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","Dit personage herstelt {HEALTH} verhoogde gezondheid als een volgeling waar het eigenaar van is wordt vernietigd"
"herocard.passive_skill.description.healthboost.all.allies","Verhoogt de gezondheid van alle bondgenoten met {HEALTHBOOST}%. De verhoogde gezondheid kan hoger zijn dan de maximale gezondheid."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","Aan het begin van elk gevecht wordt de aanvalskracht van dit personage verhoogd met {ATTACK}% voor elke vijand die niet van het natuurlement is. In gevechten met meerdere aanvalsgolven wordt het effect aan het begin van elke golf vernieuwd."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","De aanvalskracht van dit personage wordt verhoogd met {ATTACK}% voor elke levende vijand die niet van het natuurlement is. Het effect wordt aan het begin van elke golf vernieuwd. (momenteel: {CURRENTMODIFIER}%)"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","Aan het begin van elk gevecht wordt de aanvalskracht van dit personage verhoogd met {ATTACK}% voor elke vijand die niet van het vuurlement is. In gevechten met meerdere aanvalsgolven wordt het effect aan het begin van elke golf vernieuwd."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","De aanvalskracht van dit personage wordt verhoogd met {ATTACK}% voor elke levende vijand die niet van het vuurlement is. Het effect wordt aan het begin van elke golf vernieuwd. (momenteel: {CURRENTMODIFIER}%)"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","Brengt {DAMAGEMULTIPLIER}% meer schade toe aan volgelingen."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","Dit personage brengt {DAMAGEMULTIPLIER}% schade toe aan volgelingen en megavolgelingen."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","Treffers met de speciale vaardigheid van dit personage hebben {POWERADDITION}% extra kracht als het doelwit uitlokking heeft."
"herocard.passive_skill.description.increasespecialdamage","De eerste {MAXACTIVATIONCOUNT} keer dat dit personage een speciale vaardigheid gebruikt die schade toebrengt, wordt er {POWERADDITION}% extra toegevoegd aan de kracht."
"herocard.passive_skill.description.increasespecialdamage.usable_once","De eerste keer dat dit personage een speciale vaardigheid gebruikt die schade toebrengt, wordt er {POWERADDITION}% extra toegevoegd aan de kracht."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","Elke keer als dit personage een speciale vaardigheid gebruikt die schade toebrengt, wordt er {POWERADDITION}% extra toegevoegd aan de kracht."
"herocard.passive_skill.description.insanitydamagereduction","Alle door dit personage opgelopen schade wordt verminderd met {DAMAGEREDUCTION}% per {DISPLAYSCALE} waanzin op dit personage, tot een maximale vermindering van {MAXDAMAGEREDUCTION}%."
"herocard.passive_skill.description.iterateeffectonspecial","Als dit personage de speciale vaardigheid gebruikt, hebben passieve vaardigheden van dit personage die extra effecten toekennen bij spreuken {APPLYCOUNT} kansen om geactiveerd te worden."
"herocard.passive_skill.description.league.featured_family","Deze held is onderdeel van een uitgelichte familie!"
"herocard.passive_skill.description.league.non_featured_family","Deze held maakt not deel uit van een uitgelichte familie!"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","{POWERMULTIPLIER}% nauwkeurigheid ten opzichte van helden van uitgelichte families."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","Genezingen van leden van de uitgelichte families hebben {POWERMULTIPLIER}% effectiviteit."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","{POWERMULTIPLIER}% schade door niet-uitgelichte families."
"herocard.passive_skill.description.managenerationmodifier","{MODIFIER}% manarecuperatie."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","Vermindert de hoeveelheid mana die wordt verhoogd door speciale vaardigheden met {MODIFIER}%. Het effect is van toepassing op alle vijanden in het gevecht."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect","Vermindert de hoeveelheid mana die verhoogd wordt door speciale vaardigheden, passieve vaardigheden, familiebonussen en statuseffecten met {MODIFIER}%. Het effect is van toepassing op alle vijanden in het gevecht."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect.realm","Vermindert de hoeveelheid mana die verhoogd wordt door speciale vaardigheden, passieve vaardigheden, familiebonussen en statuseffecten met {MODIFIER}%. Het effect is van toepassing op alle vijanden in het gevecht."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","Dit personage recupereert een kleine hoeveelheid mana als een volgeling van het personage wordt vernietigd."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","Dit personage heeft de aangeboren vaardigheid om een volgeling of demon die is aangeroepen door speciale vaardigheden van vijanden te onthouden. De laatste volgeling en demon die vijanden aanroepen, worden onthouden tot de speciale vaardigheid is toegepast."
